,tags,assigned rubrics
0,'нобелевская премия',"""Мусор"""
1,'некролог',"""Мусор"""
2,'голограмма',Технологии
3,'мультипликация',Технологии
4,'микроорганизмы',Биология
5,'физтехи шутят',Затрудняюсь ответить
6,'все как у зверей',Биология
7,'митт ромни',"""Мусор"""
8,'научно-популярное',"""Мусор"""
9,'блог компании даджет',"""Мусор"""
10,'музей',"Философия;Физика;""Мусор"""
11,'норманны',История
12,'мегагранты',"Физика;""Мусор"""
13,'шотландия',Физика
14,'искусство',Культура
15,'нобелевская премия',"""Мусор"""
16,'некролог',"""Мусор"""
17,'голограмма',Технологии
18,'мультипликация',Технологии
19,'микроорганизмы',Биология
20,'физтехи шутят',Затрудняюсь ответить
21,'все как у зверей',Биология
22,'митт ромни',"""Мусор"""
23,'научно-популярное',"""Мусор"""
24,'блог компании даджет',"""Мусор"""
25,'музей',"Философия;Физика;""Мусор"""
26,'норманны',История
27,'мегагранты',"Физика;""Мусор"""
28,'шотландия',Физика
29,'искусство',Культура
30,'подводные лодки',Технологии
31,'византия',История
32,'этология',Биология
33,'ios',Технологии
34,'стартапы',Технологии
35,'блог компании ibm',Технологии
36,'инвалиды',Затрудняюсь ответить
37,'теодор шанин',Физика;Computer Science
38,'великий новгород',История
39,'блог компании простая наука',"""Мусор"""
40,'эволюционная биология',Биология
41,'теология',"""Мусор"""
42,'большой адронный коллайдер',Технологии
43,'ирландия',Культура;Нейронауки
44,'таможня',"Язык;""Мусор"""
45,'софт',Computer Science
46,'информационные технологии',Computer Science
47,'оружие',Технологии
48,'блог компании pult.ru',Computer Science
49,'технологии',"""Мусор"""
50,'казахстан',"Физика;""Мусор"""
51,'гендерные исследования',Психология
52,'антарктида',История
53,'искусственный интеллект',Математика
54,'социальные сети',Технологии
55,'геномика',Биология;Химия;Медицина
56,'нумизматы',Культура;История;Медицина
57,'google',"Астрономия;""Мусор"""
58,'социология в россии',Социология
59,"'блог компании alconost, inc.'",Право;Computer Science
60,'викинги',Культура;История
61,'урбанистика',Культура;Социология;Технологии
62,'мексика',Затрудняюсь ответить
63,'блог компании хоттабыч',Computer Science
64,'премия «просветитель»',Культура
65,'нефть',Технологии
66,'иосиф сталин',История
67,'компьютерные игры',Культура;Технологии;Computer Science
68,'proscience театр',Культура
69,'канада',Социология
70,'twitter',Культура;Технологии
71,'темная материя',Астрономия
72,'компаративистика',Язык
73,'блог компании кристалл сервис',Computer Science
74,'общество',Социология
75,'блог компании тechmedia',Computer Science
76,'энергетика',Технологии
77,'алкоголь',Психология;Культура;Медицина
78,'гаджеты',Технологии;Computer Science
79,'вопросы экономистам',Экономика
80,'прошлое земли',История
81,'статистика',Социология
82,'квантовые технологии',Математика
83,'раскопки',История
84,'авторское право',"""Мусор"""
85,'русский язык',Язык;Computer Science
86,'вертикаль власти',Право
87,'железо',Нейронауки
88,'it-биографии',Computer Science
89,'блог компании darta systems',Computer Science
90,'деньги',"""Мусор"""
91,'фестиваль публичных лекций',Затрудняюсь ответить
92,'норвегия',"""Мусор"""
93,'звук',"""Мусор"""
94,'кги',"""Мусор"""
95,'сетевые технологии',Computer Science
96,'нанотехнологии',Затрудняюсь ответить
97,'футурология',Астрономия;Технологии
98,'кипр',"""Мусор"""
