path,source,date,title,subtitle,author,rubrics,tags
https://chrdk.ru/sci/10_salt_lakes,https://chrdk.ru/,16.08.2017,Десять самых известных соленых озер,,Егор Задереев,,География_Экология
https://chrdk.ru/sci/33_fractures,https://chrdk.ru/,08.08.2017,33 перелома,Скелет мужчины с 33 переломами нашли археологи в Ставропольском крае,Екатерина Боровикова,,Российская наука_Антропология
https://chrdk.ru/sci/46_chromosomes,https://chrdk.ru/,04.08.2017,46 — норма?,Считаем хромосомы: сколько человеку для счастья нужно,Полина Лосева,,Генетика_Медицина
https://chrdk.ru/sci/750gev,https://chrdk.ru/,23.08.2016,Несбывшиеся надежды на новую физику,Какие «страшные сценарии» физики хотели забыть с помощью частицы в 750 ГэВ,Екатерина Боровикова,,Физика_Интервью_Закрытия
https://chrdk.ru/sci/alien_anatomy,https://chrdk.ru/,22.05.2017,Анатомия каменных пришельцев,Спецпроект «Чердака» и «Красивой науки»,,,Геология_Космос
https://chrdk.ru/sci/alma_mater,https://chrdk.ru/,17.11.2016,Зарубежные университеты: где учились гении?,"Альма-матер Эйнштейна, Хокинга и других ученых",,,Образование
https://chrdk.ru/sci/almost_lifelike,https://chrdk.ru/,13.04.2017,Почти как живой,"Биологи обнаружили гигантский вирус, в геноме которого есть почти все необходимое для того, чтобы признать его живым",Иван Шунин,,Науки о живом_Молекулярная биология
https://chrdk.ru/sci/AlphaGo_vs_LiSedol,https://chrdk.ru/,15.03.2016,"Игры, в которые играли люди ",Программа AlphaGo обыграла признанного чемпиона со счетом 4-1,Михаил Петров,,Информационные технологии_Футурология_Технологии_Неделя Го
https://chrdk.ru/sci/Alzheimers_news,https://chrdk.ru/,29.06.2016,"Немец, от которого все без ума",Обзор новых исследований болезни Альцгеймера,Алексей Паевский,,Молекулярная биология_Медицина_Выбор редакции
https://chrdk.ru/sci/animals_vs_climate,https://chrdk.ru/,02.12.2016,Погоды не сделают,"Какие животные, кроме людей, влияют на мировой климат?",Михаил Петров,,Науки о живом_Животные_Климат_Изменение климата
https://chrdk.ru/sci/animal_dialects,https://chrdk.ru/,03.08.2017,"На своем, на птичьем",Четыре истории про диалекты животных,Михаил Петров,,Животные_Этология
https://chrdk.ru/sci/Antarctic_60,https://chrdk.ru/,13.02.2016,Наука за точкой замерзания,Как российские исследователи уже 60 лет изучают Антарктику,Михаил Петров,,Климат_Рациональное природопользование_Российская наука_Микробиология
https://chrdk.ru/sci/antibiotics_full_course_questioned,https://chrdk.ru/,27.07.2017,Прямо по курсу,"Главный совет врачей об антибиотиках — вредный, утверждают британские ученые",Ольга Добровидова,,Медицина
https://chrdk.ru/sci/anti_crispr,https://chrdk.ru/,14.07.2017,Хватит уже редактировать!,"Дженнифер Дудна и ее коллеги придумали, как выключить CRISPR-Cas",Иван Шунин,,Генетика_Молекулярная биология_Медицина
https://chrdk.ru/sci/archean_magma,https://chrdk.ru/,22.05.2017,Тело еще не остыло,"Земля остывает медленнее, чем считалось ранее, выяснили ученые",Екатерина Боровикова,,Геология
https://chrdk.ru/sci/aspirin_almighty,https://chrdk.ru/,10.08.2017,Аспирин всемогущий,"Что может, чего не может",Полина Лосева,,Медицина
https://chrdk.ru/sci/asteroid-hazard-stability,https://chrdk.ru/,30.08.2017,Гром грянул — мужик не перекрестился,Ни одно громкое обещание после «Челябинского метеорита» не выполнено,Ольга Добровидова,,Астрономия_Космос
