path,source,url,date,title,subtitle,author,rubrics,tags,genre
chrdk.ru/articles/sci_10_salt_lakes.txt,https://chrdk.ru/,https://chrdk.ru/sci/10_salt_lakes,16.08.2017,Десять самых известных соленых озер,,Егор Задереев,,География_Экология,Статьи
chrdk.ru/articles/sci_33_fractures.txt,https://chrdk.ru/,https://chrdk.ru/sci/33_fractures,08.08.2017,33 перелома,Скелет мужчины с 33 переломами нашли археологи в Ставропольском крае,Екатерина Боровикова,,Российская наука_Антропология,Статьи
chrdk.ru/articles/sci_46_chromosomes.txt,https://chrdk.ru/,https://chrdk.ru/sci/46_chromosomes,04.08.2017,46 — норма?,Считаем хромосомы: сколько человеку для счастья нужно,Полина Лосева,,Генетика_Медицина,Статьи
chrdk.ru/articles/sci_750gev.txt,https://chrdk.ru/,https://chrdk.ru/sci/750gev,23.08.2016,Несбывшиеся надежды на новую физику,Какие «страшные сценарии» физики хотели забыть с помощью частицы в 750 ГэВ,Екатерина Боровикова,,Физика_Интервью_Закрытия,Статьи
chrdk.ru/articles/sci_alien_anatomy.txt,https://chrdk.ru/,https://chrdk.ru/sci/alien_anatomy,22.05.2017,Анатомия каменных пришельцев,Спецпроект «Чердака» и «Красивой науки»,,,Геология_Космос,Статьи
chrdk.ru/articles/sci_alma_mater.txt,https://chrdk.ru/,https://chrdk.ru/sci/alma_mater,17.11.2016,Зарубежные университеты: где учились гении?,"Альма-матер Эйнштейна, Хокинга и других ученых",,,Образование,Статьи
chrdk.ru/articles/sci_almost_lifelike.txt,https://chrdk.ru/,https://chrdk.ru/sci/almost_lifelike,13.04.2017,Почти как живой,"Биологи обнаружили гигантский вирус, в геноме которого есть почти все необходимое для того, чтобы признать его живым",Иван Шунин,,Науки о живом_Молекулярная биология,Статьи
chrdk.ru/articles/sci_AlphaGo_vs_LiSedol.txt,https://chrdk.ru/,https://chrdk.ru/sci/AlphaGo_vs_LiSedol,15.03.2016,"Игры, в которые играли люди ",Программа AlphaGo обыграла признанного чемпиона со счетом 4-1,Михаил Петров,,Информационные технологии_Футурология_Технологии_Неделя Го,Статьи
chrdk.ru/articles/sci_Alzheimers_news.txt,https://chrdk.ru/,https://chrdk.ru/sci/Alzheimers_news,29.06.2016,"Немец, от которого все без ума",Обзор новых исследований болезни Альцгеймера,Алексей Паевский,,Молекулярная биология_Медицина_Выбор редакции,Статьи
chrdk.ru/articles/sci_animals_vs_climate.txt,https://chrdk.ru/,https://chrdk.ru/sci/animals_vs_climate,02.12.2016,Погоды не сделают,"Какие животные, кроме людей, влияют на мировой климат?",Михаил Петров,,Науки о живом_Животные_Климат_Изменение климата,Статьи
