path,source,date,title,subtitle,author,rubrics,tags
https://chrdk.ru/news/-gigantskiy-pingvin,https://chrdk.ru/,28.02.2017,Древнейшие останки гигантского пингвина нашли в Новой Зеландии,,,,Палеонтология
https://chrdk.ru/news/14_iulya_proizoidet_soedinenie_luny_i_marsa,https://chrdk.ru/,14.07.2016,14 июля произойдет соединение Луны и Марса,,,,Астрономия_История
https://chrdk.ru/news/15-000-uchenykh-predupredili-ob-ekologicheskoi-katastrofe,https://chrdk.ru/,14.11.2017,15?000 ученых предупредили об экологической катастрофе,,,,Экология
https://chrdk.ru/news/150-minut-khodby-v-nedelyu-minimum,https://chrdk.ru/,24.10.2017,150 минут ходьбы в неделю — минимум для поддержания здоровья в старости,,,,Статистика
https://chrdk.ru/news/200-genov-oblyseniya,https://chrdk.ru/,16.02.2017,"Найдено более 200 новых генов, связанных с облысением",,,,Генетика
https://chrdk.ru/news/2016-god-na-planete-okazalsya-rekordno-teplym,https://chrdk.ru/,09.08.2017,2016 год на планете оказался рекордно теплым,,,,Климат_Изменение климата
https://chrdk.ru/news/208-novykh-mineralov,https://chrdk.ru/,06.03.2017,Геологи предложили доказательство в пользу наступления эпохи антропоцена,,,,Геология
https://chrdk.ru/news/22-novykh-opornykh-vuza-rossii,https://chrdk.ru/,18.04.2017,Минобр назвал 22 новых опорных вуза России,,,,Образование
https://chrdk.ru/news/2809-gmstorm,https://chrdk.ru/,28.09.2017,Сильная магнитная буря обрушилась на Землю,,,,Астрономия
https://chrdk.ru/news/2D_magnet,https://chrdk.ru/,09.06.2017,Физики сделали двумерный магнит,,,,Физика_Материаловедение
https://chrdk.ru/news/3d-pechat-nashla-primenenie-v-fundamentalnoi-nauke,https://chrdk.ru/,28.04.2017,3D-печать нашла применение в фундаментальной науке,,,,Физика_Химия_Материаловедение
https://chrdk.ru/news/3d-printer-s-kvartcevym-steklom,https://chrdk.ru/,20.04.2017,Инженеры из Германии научились печатать кварцевым стеклом,,,,
https://chrdk.ru/news/3d-struktury-iz-nanozolota,https://chrdk.ru/,10.10.2017,Бактерий научили собирать 3D-структуры из нанозолота,,,,Химия_Материаловедение_Биология
https://chrdk.ru/news/3radialene,https://chrdk.ru/,14.07.2016,Органическая электроника стала быстрее,,,,Физика_Химия_Материаловедение_Российская наука_Наука в университетах
https://chrdk.ru/news/57_codon_genome,https://chrdk.ru/,22.08.2016,Биологи изменили геном кишечной палочки,,,,Генетика_Микробиология
https://chrdk.ru/news/800-tys-let-nazad,https://chrdk.ru/,12.10.2017,Гипотеза ученых о времени появления первых людей в Сибири подтвердилась,,,,Археология
https://chrdk.ru/news/82_percent_obesity,https://chrdk.ru/,09.11.2017,"В ДНК 82% россиян есть вариант «гена полноты», повышающий риск набора веса",,,,Российская наука_Медицина
https://chrdk.ru/news/akademiki_razoblachili_metod_testirovaniya_lichnosti_po_otpechatkam_paltsev,https://chrdk.ru/,19.05.2016,Академики разоблачили метод тестирования личности по отпечаткам пальцев,,,,Российская наука_Технологии
https://chrdk.ru/news/aktivnost-v-sotcsetyakh-svyazana-s-dolgoletiem,https://chrdk.ru/,02.11.2016,Активность в соцсетях связана с долголетием,,,,
https://chrdk.ru/news/akuly_sposobny_vesti_sebya_v_gruppah_kak_vysshie_mlekopitaushhie,https://chrdk.ru/,06.10.2016,Акулы способны вести себя в группах как высшие млекопитающие,,,,Науки о живом_Животные
https://chrdk.ru/news/alaid_cinder_cone,https://chrdk.ru/,26.04.2016,Курильский вулкан Алаид начал расти,,,,Геология_Российская наука_География
https://chrdk.ru/news/alkogol-portit,https://chrdk.ru/,10.03.2017,Алкоголь портит систему поощрения,,,,Нейронауки_Биология
https://chrdk.ru/news/alternativnye-kremnievym-solnechnye-batarei-pokazali-rekordnoe-kpd,https://chrdk.ru/,29.09.2017,Альтернативные кремниевые солнечные батареи показали рекордный КПД,,,,Материаловедение
https://chrdk.ru/news/altruizm-bez-napriaga,https://chrdk.ru/,03.07.2017,"Люди готовы помогать другим, если это не слишком трудозатратно",,,,Психология
https://chrdk.ru/news/amazonka-dvazhdy-zatoplyalas,https://chrdk.ru/,04.05.2017,Амазонка дважды затоплялась морем,,,,Геология
https://chrdk.ru/news/amerikanskie_uchenye_zapustili_otkrytuu_observatoriu_sotsialnyh_media,https://chrdk.ru/,06.05.2016,Американские ученые запустили открытую «Обсерваторию социальных медиа»,,,,Социология_Информационные технологии
https://chrdk.ru/news/ammonium_trichloroacetate,https://chrdk.ru/,06.05.2016,Физхимики МГУ разработали «экологичный» метод выделения РНК,,,,Науки о живом_Молекулярная биология_Биология_Российская наука_Наука в университетах_МГУ им. М.В. Ломоносова
https://chrdk.ru/news/amoralnye-ateisty,https://chrdk.ru/,07.08.2017,"Атеисты считают атеистов более аморальными, чем верующих",,,,Психология_Социология
https://chrdk.ru/news/analiticheskogo-myshleniya-nedostatochno,https://chrdk.ru/,20.11.2017,Для рационального взгляда на мир аналитического мышления недостаточно,,,,Психология_Социология
https://chrdk.ru/news/analiz-uchastka-gena-pomog-otkryt,https://chrdk.ru/,10.10.2017,Анализ участка гена помог открыть новый вид ящериц,,,,Науки о живом_Животные
https://chrdk.ru/news/ancient_timor_ornamentation,https://chrdk.ru/,19.08.2016,В Восточном Тиморе найдены древнейшие украшения Юго-Восточной Азии,,,,Археология_Наука в университетах
https://chrdk.ru/news/and-oskar-goes-tooo,https://chrdk.ru/,07.02.2017,«Оскары» чаще выигрывают американские актеры в фильмах об американской культуре,,,,Психология_Социология
https://chrdk.ru/news/anomalnoe-poteplenie-snizhaet-urozhai,https://chrdk.ru/,11.07.2017,Аномальное потепление в Арктике снижает урожаи в Северной Америке,,,,Климат_Изменение климата_Экология
https://chrdk.ru/news/Antarctic_Bacteria_Skoltech,https://chrdk.ru/,28.04.2016,"Биологи показали, что бактерии попадают в Антарктиду с других континентов",,,,Молекулярная биология_Российская наука_Наука в университетах_Микробиология_Экология
https://chrdk.ru/news/antibakterialnye-veshchestva-peredayutsya-potomstvu,https://chrdk.ru/,10.08.2017,Антибактериальное мыло вредит потомству в организме матери,,,,Химия_Биология
https://chrdk.ru/news/antibiotik-protiv-ustoichivykh-bakterii,https://chrdk.ru/,11.05.2017,Ученые создали эффективный антибиотик против устойчивых бактерий,,,,Микробиология
https://chrdk.ru/news/antibiotiki-vredyat-pchelam,https://chrdk.ru/,16.03.2017,"Антибиотики вредят пчелам так же, как и людям",,,,Биология_Животные_Микробиология
https://chrdk.ru/news/Antikythera_inscriptions,https://chrdk.ru/,14.06.2016,Ученые расшифровали надписи на древнем астрономическом приборе,,,,Археология_История_Репортаж_Видео_Выбор редакции
https://chrdk.ru/news/antioksidanty-snizhayut-risk-diabeta,https://chrdk.ru/,10.11.2017,Антиоксиданты снижают риск возникновения диабета,,,,Биология_Медицина
https://chrdk.ru/news/antropologi_predpolozhili_kogda_i_pochemu_ludi_priruchili_ogon,https://chrdk.ru/,13.04.2016,"Антропологи объяснили, как люди «приручили» огонь",,,,Науки о живом_Палеонтология_Климат_Антропология
https://chrdk.ru/news/ants_underground,https://chrdk.ru/,06.09.2016,Муравьи провалились под землю и построили там муравейник,,,,Биология_Животные
https://chrdk.ru/news/apostasia-sdala-vseh,https://chrdk.ru/,13.09.2017,Секвенирование генома апостасии прояснило эволюцию всех орхидных,,,,Генетика_Ботаника_Эволюционная биология
