,path,source,url,date,title,subtitle,author,rubrics,tags,genre
0,/indicator_clear_text/2017_01_04_chem-klimatologam-zapomnilsya-2016-god_,indicator.ru,https://indicator.ru/article/2017/01/04/chem-klimatologam-zapomnilsya-2016-god/,2017_01_04,"Плюсы, минусы, коралловые рифы",Чем климатологам запомнился 2016 год,Дарья Сапрыкина,Науки о Земле,,Статьи
0,/indicator_clear_text/2017_05_22_patent-na-pianolu_,indicator.ru,https://indicator.ru/article/2017/05/22/patent-na-pianolu/,2017_05_22,История науки: окончательный рассказ о механическом пианино,117 лет назад был выдан патент на пианолу,,Технические науки,,Статьи
0,/indicator_clear_text/2016_09_30_boeing_,indicator.ru,https://indicator.ru/article/2016/09/30/boeing/,2016_09_30,История науки: мечта в металлическом корпусе,135 лет назад родился основатель фирмы «Боинг»,Алёна Манузина,Технические науки,,Статьи
0,/indicator_clear_text/2017_08_09_bibliometriya-ot-majkla-kurca_,indicator.ru,https://indicator.ru/article/2017/08/09/bibliometriya-ot-majkla-kurca/,2017_08_09,Наука подобрать: помогает ли наукометрия принимать кадровые решения,"Астроном Майкл Курц о том, как использовать наукометрические показатели для подбора научных сотрудников",,Астрономия,,Статьи
0,/indicator_clear_text/2017_03_18_tri-v-odnom-lekarstva-dnk-i-magnitorecepciya-video_,indicator.ru,https://indicator.ru/article/2017/03/18/tri-v-odnom-lekarstva-dnk-i-magnitorecepciya-video/,2017_03_18,"Три в одном: лекарства, ДНК и магниторецепция. Видео",Трансляция биологического лектория Indicator.Ru и Архэ,,Биология,,Статьи
0,/indicator_clear_text/2016_09_29_uchenye-iz-rossii-sozdayut-analgetiki-na-baze-yada-mollyuska-ubijcy_,indicator.ru,https://indicator.ru/article/2016/09/29/uchenye-iz-rossii-sozdayut-analgetiki-na-baze-yada-mollyuska-ubijcy/,2016_09_29,"Ученые из России создают анальгетики на базе яда ""моллюска-убийцы""","Изучен яд улитки-конуса и рецептор, на который он действует",Яна Комарова,Биология,,Статьи
0,/indicator_clear_text/2017_05_27_nobelevskie-laureaty-aleksis-karrel_,indicator.ru,https://indicator.ru/article/2017/05/27/nobelevskie-laureaty-aleksis-karrel/,2017_05_27,Нобелевские лауреаты: Алексис Каррель,Отец сосудистого шва,Алексей Паевский,Медицина,,Статьи
0,/indicator_clear_text/2016_10_19_istoriya-nauki-novaya-gvineya-tyan-shan-i-krugosvetka_,indicator.ru,https://indicator.ru/article/2016/10/19/istoriya-nauki-novaya-gvineya-tyan-shan-i-krugosvetka/,2016_10_19,"История науки: Новая Гвинея, Тянь-Шань и кругосветка ",Прошел 171 год с начала работы Русского географического общества,Алёна Манузина,Науки о Земле,,Статьи
0,/indicator_clear_text/2016_12_09_istoriya-nauki-indikator-x-y_,indicator.ru,https://indicator.ru/article/2016/12/09/istoriya-nauki-indikator-x-y/,2016_12_09,История науки: индикатор X-Y,48 лет назад была представлена компьютерная мышь,Алена Манузина,Технические науки,,Статьи
0,/indicator_clear_text/2017_01_12_hram-nauki-i-kultury_,indicator.ru,https://indicator.ru/article/2017/01/12/hram-nauki-i-kultury/,2017_01_12,Дорога к храму и благие намерения: Исаакиевский собор передают РПЦ,Чего ждут и чего боятся научные сотрудники музея-памятника «Исаакиевский собор»,Дарья Сапрыкина,Гуманитарные науки,,Статьи
0,/indicator_clear_text/2016_11_21_istoriya-lzhenauki-poverit-esli-ochen-hochetsya_,indicator.ru,https://indicator.ru/article/2016/11/21/istoriya-lzhenauki-poverit-esli-ochen-hochetsya/,2016_11_21,"Поверить, если очень хочется: история одной мистификации",104 года назад мир узнал о находке Пилтдаунского человека,Алёна Манузина,Гуманитарные науки,,Статьи
0,/indicator_clear_text/2016_10_09_selskoe-hozyajstvo_,indicator.ru,https://indicator.ru/article/2016/10/09/selskoe-hozyajstvo/,2016_10_09,Каждому картофелю по паспорту: как ФАНО выполняло указы президента,Как российские генетики помогают импортозамещению в сельскохозяйственной отрасли,Анастасия Лебедева,Сельское хозяйство,,Статьи
0,/indicator_clear_text/2017_04_19_ernest-rezerford_,indicator.ru,https://indicator.ru/article/2017/04/19/ernest-rezerford/,2017_04_19,Нобелевские лауреаты: Эрнест Резерфорд ,По прозвищу «Крокодил»,Алексей Паевский,Физика,,Статьи
