,path,source,url,date,title,subtitle,author,rubrics,tags,genre
0,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-10-waranimals.txt
",nplus1.ru,nplus1.ru/material/2015/04/10/waranimals,2015-04-10,"Вы звери, господа",,Александр Ершов,_Наука_Археология_,,Статьи
1,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-11-greencloud.txt
",nplus1.ru,nplus1.ru/material/2015/04/11/greencloud,2015-04-11,Зеленые рукава галактик,,Владимир Королев,_Космос_,,Статьи
2,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-11-seasontwo.txt
",nplus1.ru,nplus1.ru/material/2015/04/11/seasontwo,2015-04-11,Коллайдер: Перезагрузка,,Александр Ершов,_Наука_Второй сезон Коллайдера_,,Статьи
3,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-15-just-read-the-instructions.txt
",nplus1.ru,nplus1.ru/material/2015/04/15/just-read-the-instructions,2015-04-15,Посадка Falcon 9 на платформу,,Николай Воронцов,_Космос_Мезонин_,,Статьи
4,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-15-nasa-vehicle.txt
",nplus1.ru,nplus1.ru/material/2015/04/15/nasa-vehicle,2015-04-15,Автомобиль нового поколения по версии NASA,,Николай Воронцов,_Блоги_Мезонин_,,Статьи
5,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-15-uniquegallery.txt
",nplus1.ru,nplus1.ru/material/2015/04/15/uniquegallery,2015-04-15,Облачный атлас,,Аня Савченко,_Наука_И о погоде_,,Статьи
6,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-16-actinides.txt
",nplus1.ru,nplus1.ru/material/2015/04/16/actinides,2015-04-16,Элемент неожиданности,,Владимир Королев,_Наука_Разное_,,Статьи
7,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-16-moon-maps.txt
",nplus1.ru,nplus1.ru/material/2015/04/16/moon-maps,2015-04-16,Лунные карты,,Николай Воронцов,_Блоги_Мезонин_,,Статьи
8,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-17-gallery.txt
",nplus1.ru,nplus1.ru/material/2015/04/17/gallery,2015-04-17,«Нужно больше минералов!»,,Аня Савченко,_Наука_Разное_,,Статьи
9,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-20-celldivision.txt
",nplus1.ru,nplus1.ru/material/2015/04/20/celldivision,2015-04-20,Делим на два,,Аня Савченко,_Наука_,,Статьи
10,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-20-x47b-to-mothball.txt
",nplus1.ru,nplus1.ru/material/2015/04/20/x47b-to-mothball,2015-04-20,Свое отработал,,Василий Сычев,_Оружие_Технологии_Разное_,,Статьи
11,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-21-3d-print.txt
",nplus1.ru,nplus1.ru/material/2015/04/21/3d-print,2015-04-21,Приказано распечатать,,Василий Сычев,_Оружие_Разное_,,Статьи
12,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-21-dirigibles.txt
",nplus1.ru,nplus1.ru/material/2015/04/21/dirigibles,2015-04-21,Легки на подъем,,Тарас Молотилин,_Наука_Разное_,,Статьи
13,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-23-calbucovolcano.txt
",nplus1.ru,nplus1.ru/material/2015/04/23/calbucovolcano,2015-04-23,Извержение Кальбуко,,Аня Савченко,_Наука_Геология_,,Статьи
14,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-23-hubble25images.txt
",nplus1.ru,nplus1.ru/material/2015/04/23/hubble25images,2015-04-23,«Просто космос!»,,Аня Савченко,_Космос_,,Статьи
15,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-24-hubble25history.txt
",nplus1.ru,nplus1.ru/material/2015/04/24/hubble25history,2015-04-24,Отработал на 52,,Аня Савченко,_Космос_Технологии_Разное_,,Статьи
16,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-27-rubik-record.txt
",nplus1.ru,nplus1.ru/material/2015/04/27/rubik-record,2015-04-27,Новый мировой рекорд сборки кубика Рубика,,Николай Воронцов,_Блоги_Мезонин_,,Статьи
17,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-28-friday-robots-2.txt
",nplus1.ru,nplus1.ru/material/2015/04/28/friday-robots-2,2015-04-28,"Роботы, окружающий мир и снова роботы - 2",,Николай Воронцов,_Технологии_Мезонин_,,Статьи
18,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-28-lasers.txt
",nplus1.ru,nplus1.ru/material/2015/04/28/lasers,2015-04-28,Транклюкатор для эцилоппа,,Василий Сычев,_Оружие_Технологии_Разное_,,Статьи
19,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-28-stalker-animals.txt
",nplus1.ru,nplus1.ru/material/2015/04/28/stalker-animals,2015-04-28,Жизнь в мертвой зоне,,Таисия Филиппова,_Наука_Разное_,,Статьи
20,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-29-aluminum-watermelon.txt
",nplus1.ru,nplus1.ru/material/2015/04/29/aluminum-watermelon,2015-04-29,Расплавленный алюминий залили в арбуз,,Николай Воронцов,_Блоги_Мезонин_,,Статьи
21,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-30-messenger.txt
",nplus1.ru,nplus1.ru/material/2015/04/30/messenger,2015-04-30,«Похороните меня за кратером»,,Аня Савченко,_Космос_,,Статьи
22,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-04-30-pillars-of-render.txt
",nplus1.ru,nplus1.ru/material/2015/04/30/pillars-of-render,2015-04-30,Четвертая колонна,,Николай Воронцов,_Блоги_Мезонин_,,Статьи
23,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-01-antarcticmountains.txt
",nplus1.ru,nplus1.ru/material/2015/05/01/antarcticmountains,2015-05-01,Хребты безумия,,Аня Савченко,_Наука_Разное_,,Статьи
24,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-01-friday-robots-3.txt
",nplus1.ru,nplus1.ru/material/2015/05/01/friday-robots-3,2015-05-01,"Роботы, окружающий мир и снова роботы - 3",,Николай Воронцов,_Блоги_Мезонин_,,Статьи
25,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-05-nikon-small-world-2014.txt
",nplus1.ru,nplus1.ru/material/2015/05/05/nikon-small-world-2014,2015-05-05,Оно живое и движется,,Таисия Филиппова,_Наука_,,Статьи
26,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-06-blackbook.txt
",nplus1.ru,nplus1.ru/material/2015/05/06/blackbook,2015-05-06,Сквозь тусклое стекло,,Александр Ершов,_Наука_Языкознание_,,Статьи
27,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-06-vsekakuzverei.txt
",nplus1.ru,nplus1.ru/material/2015/05/06/vsekakuzverei,2015-05-06,Скрипки и немножко нервно,,Евгения Тимонова,_Блоги_Все как у зверей_,,Статьи
28,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-07-gif.txt
",nplus1.ru,nplus1.ru/material/2015/05/07/gif,2015-05-07,Короткий метр,,Аня Савченко,_Технологии_,,Статьи
29,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-08-villademisteri.txt
",nplus1.ru,nplus1.ru/material/2015/05/08/villademisteri,2015-05-08,Компресс для Диониса,,Александр Ершов,_Наука_,,Статьи
30,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-12-so-awesome.txt
",nplus1.ru,nplus1.ru/material/2015/05/12/so-awesome,2015-05-12,Полеты на реактивных ранцах над Дубаем,,Николай Воронцов,_Технологии_Мезонин_,,Статьи
31,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-13-embryophoto.txt
",nplus1.ru,nplus1.ru/material/2015/05/13/embryophoto,2015-05-13,Зарождение жизни,,Аня Савченко,_Наука_,,Статьи
32,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-15-codpiece.txt
",nplus1.ru,nplus1.ru/material/2015/05/15/codpiece,2015-05-15,Гульфик: история взлета и падения,,Александр Ершов,_Наука_,,Статьи
33,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-15-friday-robots-4.txt
",nplus1.ru,nplus1.ru/material/2015/05/15/friday-robots-4,2015-05-15,"Роботы, окружающий мир и снова роботы - 4",,Николай Воронцов,_Блоги_Мезонин_,,Статьи
34,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-16-red-sky-dead-land.txt
",nplus1.ru,nplus1.ru/material/2015/05/16/red-sky-dead-land,2015-05-16,Прекрасные рекламные плакаты о путешествии на Марс от SpaceX,,Николай Воронцов,_Блоги_Мезонин_,,Статьи
35,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-19-aircraft-carrier.txt
",nplus1.ru,nplus1.ru/material/2015/05/19/aircraft-carrier,2015-05-19,Адмирал Шторм,,Василий Сычев,_Оружие_Технологии_Разное_,,Статьи
36,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-20-animatus.txt
",nplus1.ru,nplus1.ru/material/2015/05/20/animatus,2015-05-20,Felis Catus Animatus,,Таисия Филиппова,_Наука_Политех_,,Статьи
37,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-21-massacre-of-the-innocents-works.txt
",nplus1.ru,nplus1.ru/material/2015/05/21/massacre-of-the-innocents-works,2015-05-21,Библейскую историю оживили на 3D-принтере,,Николай Воронцов,_Блоги_3D-печать_,,Статьи
38,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-22-Solar-sail.txt
",nplus1.ru,nplus1.ru/material/2015/05/22/Solar-sail,2015-05-22,На всех парусах,,Владимир Королев,_Космос_Технологии_LightSail: Космический парусник_,,Статьи
39,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-25-nash.txt
",nplus1.ru,nplus1.ru/material/2015/05/25/nash,2015-05-25,Равновесие и вложение,,Андрей Коняев,_Наука_,,Статьи
40,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-26-dementia-praecox.txt
",nplus1.ru,nplus1.ru/material/2015/05/26/dementia-praecox,2015-05-26,Расщепление расщепления,,Даниил Кузнецов,_Наука_Наука_,,Статьи
41,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-27-emp-weapon.txt
",nplus1.ru,nplus1.ru/material/2015/05/27/emp-weapon,2015-05-27,"Приходя, гасите свет",,Василий Сычев,_Оружие_Технологии_,,Статьи
42,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-05-29-reareevents.txt
",nplus1.ru,nplus1.ru/material/2015/05/29/reareevents,2015-05-29,Раритеты микромира,,Александр Ершов,_Наука_Второй сезон Коллайдера_,,Статьи
43,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-01-lidar-as-art.txt
",nplus1.ru,nplus1.ru/material/2015/06/01/lidar-as-art,2015-06-01,Точки в пространстве,,Таисия Филиппова,_Оружие_Технологии_,,Статьи
44,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-05-ecloga.txt
",nplus1.ru,nplus1.ru/material/2015/06/05/ecloga,2015-06-05,Эклога летняя,,Аня Савченко,_Наука_,,Статьи
45,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-06-bjork-360.txt
",nplus1.ru,nplus1.ru/material/2015/06/06/bjork-360,2015-06-06,Бьорк сняла в Исландии панорамный музыкальный клип,,Николай Воронцов,_Блоги_Мезонин_,,Статьи
46,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-08-darpa-robotics-challenge.txt
",nplus1.ru,nplus1.ru/material/2015/06/08/darpa-robotics-challenge,2015-06-08,Людям здесь не место,,Василий Сычев,_Технологии_Оружие_,,Статьи
47,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-10-rarephysicsparttwo.txt
",nplus1.ru,nplus1.ru/material/2015/06/10/rarephysicsparttwo,2015-06-10,Раритеты микромира: Возвращение неуловимых,,Александр Ершов,_Наука_,,Статьи
48,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-15-67P-churyumov-gerasimenko.txt
",nplus1.ru,nplus1.ru/material/2015/06/15/67P-churyumov-gerasimenko,2015-06-15,"Комета, которую мы догнали",,Таисия Филиппова,_Космос_«Филы» и «Розетта»_,,Статьи
49,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-16-19-century-electric.txt
",nplus1.ru,nplus1.ru/material/2015/06/16/19-century-electric,2015-06-16,Предметный обзор,,Таисия Филиппова,_Наука_,,Статьи
50,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-17-942.txt
",nplus1.ru,nplus1.ru/material/2015/06/17/942,2015-06-17,Горе от ума,,Таисия Филиппова,_Наука_,,Статьи
51,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-17-dont-miss-pluto-flyby.txt
",nplus1.ru,nplus1.ru/material/2015/06/17/dont-miss-pluto-flyby,2015-06-17,NSS опубликовало трейлер пролета «New Horizons» мимо Плутона,,Владимир Королев,_Блоги_New Horizons_,,Статьи
52,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-18-drones-are-awesome.txt
",nplus1.ru,nplus1.ru/material/2015/06/18/drones-are-awesome,2015-06-18,Десять дронов из десяти,,Николай Воронцов,_Реклама_Роботы и дроны_,,Статьи
53,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-18-sputniki-saturna.txt
",nplus1.ru,nplus1.ru/material/2015/06/18/sputniki-saturna,2015-06-18,Семеро серых,,Таисия Филиппова,_Космос_,,Статьи
54,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-19-traininventions.txt
",nplus1.ru,nplus1.ru/material/2015/06/19/traininventions,2015-06-19,Ту-ту!,,Аня Савченко,_Наука_,,Статьи
55,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-22-aurora.txt
",nplus1.ru,nplus1.ru/material/2015/06/22/aurora,2015-06-22,Borealis и Australis,,Таисия Филиппова,_Космос_,,Статьи
56,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-23-gtaceptado.txt
",nplus1.ru,nplus1.ru/material/2015/06/23/gtaceptado,2015-06-23,"Лавировали-лавировали, да и вылавировали",,Александр Березин,_Наука_Астрономические дневники_,,Статьи
57,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-24-helicopters.txt
",nplus1.ru,nplus1.ru/material/2015/06/24/helicopters,2015-06-24,Винтокрылые лошадки,,Василий Сычев,_Оружие_,,Статьи
58,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-25-codename-colossus.txt
",nplus1.ru,nplus1.ru/material/2015/06/25/codename-colossus,2015-06-25,"Гексапод, 3D-печать и военная техника с ароматом стимпанка",,Николай Воронцов,_Блоги_Сделай сам_,,Статьи
59,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-25-tvorogov.txt
",nplus1.ru,nplus1.ru/material/2015/06/25/tvorogov,2015-06-25,Про Слово,,Андрей Коняев,_,,Статьи
60,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-27-polyhedron.txt
",nplus1.ru,nplus1.ru/material/2015/06/27/polyhedron,2015-06-27,Доступ к телу,,Аня Савченко,_Наука_,,Статьи
61,"nplus1.ru/nplus1_materials/nplus1.ru-material-2015-06-30-google-earth.txt
",nplus1.ru,nplus1.ru/material/2015/06/30/google-earth,2015-06-30,"Окей Гугл, покажи Землю",,Таисия Филиппова,_Технологии_,,Статьи
