,path,source,url,date,title,subtitle,author,rubrics,tags,genre
0,politru_lectures/politru_lectures_clear_text/2016_03_27_sokolov_lecture_.txt,polit.ru/lectures,https://polit.ru/article/2016/03/27/sokolov/lecture/,27 марта 2016,Как становятся профессорами? ,,,,_гуманитарные и социальные  науки_наука в современной россии_социология,Лекции
0,politru_lectures/politru_lectures_clear_text/2009_06_25_crisis_.txt,polit.ru/lectures,https://polit.ru/article/2009/06/25/crisis/,25 июня 2009,Российская политическая механика и кризис,,Николай Петров,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_политология_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2013_10_24_anons_reznikova_.txt,polit.ru/lectures,https://polit.ru/article/2013/10/24/anons/reznikova/,24 октября 2013,Есть ли у животных культура? Гипотеза распределенного социального обучения,,,,_биология _естественные и точные науки_культура_сообщества_экология,Лекции
0,politru_lectures/politru_lectures_clear_text/2013_03_26_vladimir_selegey_.txt,polit.ru/lectures,https://polit.ru/article/2013/03/26/vladimir/selegey/,26 марта 2013,От автоматической обработки текста к машинному пониманию,,,,_гуманитарные и социальные  науки_искусственный интеллект_компьютерная лингвистика_лингвистика,Лекции
0,politru_lectures/politru_lectures_clear_text/2010_08_26_history_.txt,polit.ru/lectures,https://polit.ru/article/2010/08/26/history/,26 августа 2010,Упражнения с историей по-украински: итоги и перспективы,,Александр Даниэль,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_историческая политика_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2008_04_03_regiony_.txt,polit.ru/lectures,https://polit.ru/article/2008/04/03/regiony/,03 апреля 2008,Культура регионального развития,,Сергей Зуев,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_общество_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2011_04_08_deroche_.txt,polit.ru/lectures,https://polit.ru/article/2011/04/08/deroche/,08 апреля 2011,Возможна ли новая Кремниевая долина?,,Пьер Дероше,,_география_гуманитарные и социальные  науки_публичные лекции_экономика,Лекции
0,politru_lectures/politru_lectures_clear_text/2005_11_17_kamensk_.txt,polit.ru/lectures,https://polit.ru/article/2005/11/17/kamensk/,17 ноября 2005,Реформы в России с точки зрения историка,,Александр Каменский,,_гуманитарные и социальные  науки_история_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2008_04_24_gelfand_.txt,polit.ru/lectures,https://polit.ru/article/2008/04/24/gelfand/,24 апреля 2008,Геномы и эволюция,,Михаил Гельфанд,,_биология _видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_генетика_естественные и точные науки_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2005_11_14_pomerants_.txt,polit.ru/lectures,https://polit.ru/article/2005/11/14/pomerants/,14 ноября 2005,История России в свете теории цивилизаций,,Григорий  Померанц,,_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2010_03_31_armorment_.txt,polit.ru/lectures,https://polit.ru/article/2010/03/31/armorment/,31 марта 2010,Стратегические вооружения России и Америки: проблемы сокращения,,Владимир  Дворкин,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2010_03_23_history_.txt,polit.ru/lectures,https://polit.ru/article/2010/03/23/history/,23 марта 2010,Реванш социальной истории,,Павел Уваров,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_история_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2007_11_02_serdce_.txt,polit.ru/lectures,https://polit.ru/article/2007/11/02/serdce/,02 ноября 2007,Как лечить разбитые сердца: Современные биоинженерные подходы к сердечно-сосудистым заболеваниям: от молекулы до пациента,,Игорь Ефимов,,_биология _биомедицина_биомеханика_естественные и точные науки_инженерия_медицина_публичные лекции_сердце,Лекции
0,politru_lectures/politru_lectures_clear_text/2014_06_22_lecture_kovalev_.txt,polit.ru/lectures,https://polit.ru/article/2014/06/22/lecture/kovalev/,22 июня 2014,«РадиоАстрон» и тайны Вселенной,,,,_астрономия_вселенная_космос_радиоастрон,Лекции
0,politru_lectures/politru_lectures_clear_text/2009_02_12_butov_.txt,polit.ru/lectures,https://polit.ru/article/2009/02/12/butov/,12 февраля 2009,Эволюционные основы агрессии и примирения у человека,,Марина Бутовская,,_биология _видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_естественные и точные науки_публичные лекции_физическая антропология_эволюция _эволюция человека_этология,Лекции
0,politru_lectures/politru_lectures_clear_text/2013_09_18_anons_surdin_.txt,polit.ru/lectures,https://polit.ru/article/2013/09/18/anons/surdin/,18 сентября 2013,Спутники Земли: от искусственного до естественного,,,,_астрономия_естественные и точные науки_космос,Лекции
0,politru_lectures/politru_lectures_clear_text/2006_06_18_sergeitzev_.txt,polit.ru/lectures,https://polit.ru/article/2006/06/18/sergeitzev/,18 июня 2006,Политика и политическая деятельность,,Тимофей Сергейцев,,_гуманитарные и социальные  науки_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2011_08_27_kondrashov_anons_.txt,polit.ru/lectures,https://polit.ru/article/2011/08/27/kondrashov/anons/,27 августа 2011,Филогенетический анализ сложного отбора в молекулярной эволюции,,,,_биология _генетика_естественные и точные науки_эволюция _эволюция человека,Лекции
0,politru_lectures/politru_lectures_clear_text/2004_05_01_selianov_.txt,polit.ru/lectures,https://polit.ru/article/2004/05/01/selianov/,01 мая 2004,"Сергей Сельянов «Сказки, сюжеты и сценарии современной России» - публичные лекции на ""Полит.ру""",,Сергей Сельянов,,_кино_культура_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2008_11_05_trenin_.txt,polit.ru/lectures,https://polit.ru/article/2008/11/05/trenin/,05 ноября 2008,Мир после Августа,,Дмитрий Тренин,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_внешняя политика_грузия_гуманитарные и социальные  науки_политология_публичные лекции_регионоведение,Лекции
0,politru_lectures/politru_lectures_clear_text/2011_01_03_starostin_.txt,polit.ru/lectures,https://polit.ru/article/2011/01/03/starostin/,03 января 2011,Как создается единая классификация языков мира,,Георгий Старостин,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_история_лингвистика_публичные лекции_язык,Лекции
0,politru_lectures/politru_lectures_clear_text/2016_09_26_saburova_anons_.txt,polit.ru/lectures,https://polit.ru/article/2016/09/26/saburova/anons/,26 сентября 2016,"«""Другая"" жизнь народников в России: как революционеры становились фотографами, журналистами и страховыми агентами»",,,,_гуманитарные и социальные  науки_история_история россии,Лекции
0,politru_lectures/politru_lectures_clear_text/2015_05_01_dmitriev_.txt,polit.ru/lectures,https://polit.ru/article/2015/05/01/dmitriev/,01 мая 2015,Лекция Игоря Дмитриева о Галилее. Видео,,Игорь Дмитриев,,_история науки_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2011_02_02_severinov_.txt,polit.ru/lectures,https://polit.ru/article/2011/02/02/severinov/,02 февраля 2011,Как устроен генетический переключатель,,Константин Северинов,,_биология _генетика_естественные и точные науки,Лекции
0,politru_lectures/politru_lectures_clear_text/2012_05_09_anons_malakhov_.txt,polit.ru/lectures,https://polit.ru/article/2012/05/09/anons/malakhov/,09 мая 2012,Жизнь и смерть планеты Земля,,,,,Лекции
0,politru_lectures/politru_lectures_clear_text/2017_05_18_anisimov_.txt,polit.ru/lectures,https://polit.ru/article/2017/05/18/anisimov/,18 мая 2017,"Кого спасал Сусанин, или Мифы русской истории в русском искусстве",,Евгений Анисимов,,,Лекции
0,politru_lectures/politru_lectures_clear_text/2013_09_29_muravyov_.txt,polit.ru/lectures,https://polit.ru/article/2013/09/29/muravyov/,29 сентября 2013,Старообрядчество: конфликт в русском обществе и православии,,Алексей Муравьев,,_гуманитарные и социальные  науки_религиоведение_старообрядцы,Лекции
0,politru_lectures/politru_lectures_clear_text/2012_11_24_anons_sossinsky_.txt,polit.ru/lectures,https://polit.ru/article/2012/11/24/anons/sossinsky/,24 ноября 2012,Теорема Гёделя о неполноте,,,,_естественные и точные науки_математика,Лекции
0,politru_lectures/politru_lectures_clear_text/2013_09_22_anons_dybo_.txt,polit.ru/lectures,https://polit.ru/article/2013/09/22/anons/dybo/,22 сентября 2013,Сюнну-гунны – кто же они?,,,,_гуманитарные и социальные  науки_лингвистика,Лекции
0,politru_lectures/politru_lectures_clear_text/2013_05_31_nechaev_.txt,polit.ru/lectures,https://polit.ru/article/2013/05/31/nechaev/,31 мая 2013,"О топологии веревок, неевклидовой геометрии и фрактальной укладке ДНК в хромосомах",,Сергей Нечаев,,_днк_естественные и точные науки_топология,Лекции
0,politru_lectures/politru_lectures_clear_text/2007_12_27_respublica_.txt,polit.ru/lectures,https://polit.ru/article/2007/12/27/respublica/,27 декабря 2007,Что такое республиканская традиция?,,Олег Хархордин,,_гуманитарные и социальные  науки_политология_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2016_07_10_lecture_vinkovetsky_.txt,polit.ru/lectures,https://polit.ru/article/2016/07/10/lecture/vinkovetsky/,10 июля 2016,Русская Америка: административный эксперимент Российской империи,,,,_гуманитарные и социальные  науки_история_история россии_русская америка,Лекции
0,politru_lectures/politru_lectures_clear_text/2016_01_29_panchin_anons_.txt,polit.ru/lectures,https://polit.ru/article/2016/01/29/panchin/anons/,29 января 2016,50 оттенков биотехнологий,,,,_биоинформатика_биология _биотехнологии_естественные и точные науки,Лекции
0,politru_lectures/politru_lectures_clear_text/2017_05_30_mazur_.txt,polit.ru/lectures,https://polit.ru/article/2017/05/30/mazur/,30 мая 2017,Искусствознание: казнить нельзя помиловать,,Наталия Мазур,,,Лекции
0,politru_lectures/politru_lectures_clear_text/2005_02_02_mid_.txt,polit.ru/lectures,https://polit.ru/article/2005/02/02/mid/,02 февраля 2005,Средний класс и стратификация российского общества,,Михаил Тарусин,,_гуманитарные и социальные  науки_публичные лекции_социология,Лекции
0,politru_lectures/politru_lectures_clear_text/2011_10_19_ivanov_.txt,polit.ru/lectures,https://polit.ru/article/2011/10/19/ivanov/,19 октября 2011,Царьградский следопыт,,Сергей Иванов,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_история_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2008_10_02_lecture_.txt,polit.ru/lectures,https://polit.ru/article/2008/10/02/lecture/,02 октября 2008,Российский политический режим: модели и реальность,,Сергей Рыженков,,_гуманитарные и социальные  науки_политология_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2015_12_02_russian_america_.txt,polit.ru/lectures,https://polit.ru/article/2015/12/02/russian/america/,02 декабря 2015,Русская Америка: административный эксперимент Российской империи,,,,_гуманитарные и социальные  науки_история_российская империя_сша,Лекции
0,politru_lectures/politru_lectures_clear_text/2009_12_03_epshteyn_.txt,polit.ru/lectures,https://polit.ru/article/2009/12/03/epshteyn/,03 декабря 2009,Почему не болит чужая боль: память и забвение в Израиле и в России,,Алек Эпштейн,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_израиль_история_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2009_03_19_communication_.txt,polit.ru/lectures,https://polit.ru/article/2009/03/19/communication/,19 марта 2009,Язык и коммуникация: новые тенденции,,Максим Кронгауз,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_лингвистика_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2013_02_28_drtrv_.txt,polit.ru/lectures,https://polit.ru/article/2013/02/28/drtrv/,28 февраля 2013,"День рождения ""Троицкого варианта""-2012",,Михаил Гельфанд,,_астрофизика_биоинформатика_выборы_геология_естественные и точные науки_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2013_02_02_anons_tsaturyan_.txt,polit.ru/lectures,https://polit.ru/article/2013/02/02/anons/tsaturyan/,02 февраля 2013,"Звуки Короткова или что слушает врач, когда измеряет артериальное давление крови",,,,_биология _биомеханика_естественные и точные науки_история науки_медицина,Лекции
0,politru_lectures/politru_lectures_clear_text/2014_12_23_dubinin_.txt,polit.ru/lectures,https://polit.ru/article/2014/12/23/dubinin/,23 декабря 2014,Центральные банки,,Сергей Дубинин,,_банковский сектор_гуманитарные и социальные  науки_центробанк_экономика,Лекции
0,politru_lectures/politru_lectures_clear_text/2012_06_02_anons_ivanov_.txt,polit.ru/lectures,https://polit.ru/article/2012/06/02/anons/ivanov/,02 июня 2012,Массовые вымирания на Земле или кто убил динозавров?,,,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_вулканы_геофизика_динозавры_естественные и точные науки_публичные лекции_эволюция ,Лекции
0,politru_lectures/politru_lectures_clear_text/2004_12_20_sedakova_.txt,polit.ru/lectures,https://polit.ru/article/2004/12/20/sedakova/,20 декабря 2004,Посредственность как социальная опасность,,Ольга Седакова,,_культура_общество_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2009_12_10_gaidar_.txt,polit.ru/lectures,https://polit.ru/article/2009/12/10/gaidar/,10 декабря 2009,Смуты и институты,,Егор Гайдар,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_егор гайдар_история человека. история институтов_публичные лекции_экономика,Лекции
0,politru_lectures/politru_lectures_clear_text/2009_02_26_levinson_.txt,polit.ru/lectures,https://polit.ru/article/2009/02/26/levinson/,26 февраля 2009,Средний класс и кризис,,Алексей Левинсон,,_видеозаписи публичных лекций «полит.ру»_видео «полит.ру»_гуманитарные и социальные  науки_публичные лекции_социология,Лекции
0,politru_lectures/politru_lectures_clear_text/2013_08_30_anons_volkov_.txt,polit.ru/lectures,https://polit.ru/article/2013/08/30/anons/volkov/,30 августа 2013,Как работают суды общей юрисдикции в России: результаты эмпирических исследований,,,,_гуманитарные и социальные  науки_социология,Лекции
0,politru_lectures/politru_lectures_clear_text/2016_08_16_starostin_anons_.txt,polit.ru/lectures,https://polit.ru/article/2016/08/16/starostin/anons/,16 августа 2016,Языки Африки и их значение для реконструкции древнейшей истории человечества,,,,_гуманитарные и социальные  науки_лингвистика_подцикл современная историческая лингвистика_публичные лекции,Лекции
0,politru_lectures/politru_lectures_clear_text/2017_11_21_bayburin_.txt,polit.ru/lectures,https://polit.ru/article/2017/11/21/bayburin/,21 ноября 2017,Из истории советской паспортной системы,,Альберт Байбурин,,,Лекции
0,politru_lectures/politru_lectures_clear_text/2006_07_18_oslon_.txt,polit.ru/lectures,https://polit.ru/article/2006/07/18/oslon/,18 июля 2006,Общественное мнение в контексте социальной реальности,,Александр Ослон,,_гуманитарные и социальные  науки_общество_публичные лекции_социология,Лекции
