path,source,url,date,title,subtitle,author,rubrics,tags,genre
postnauka.ru\1\81954.txt,https://postnauka.ru,/video/81954,15 November 2017,Тело как текст в антропологии,"Антрополог Марина Бутовская о теле как источнике информации для антрополога, церемониях племени датогов и специфике женских и мужских обрядов  ",Марина Бутовская,культура,,видео
postnauka.ru\1\81478.txt,https://postnauka.ru,/video/81478,18 October 2017,Внутреннее ухо и волосковые рецепторы,"Физиолог Вячеслав Дубынин об эволюции внутреннего уха, вестибулярной системе и строении слухового анализатора ",Вячеслав Дубынин,биология,,видео
postnauka.ru\1\81626.txt,https://postnauka.ru,/video/81626,25 October 2017,Пальцевой индекс,"Антрополог Марина Бутовская о пренатальной андрогенизации, соотношении длины пальцев как маркере этого процесса и других характеристиках, с которыми оно связано",Марина Бутовская,биология,,видео
postnauka.ru\1\81477.txt,https://postnauka.ru,/video/81477,20 October 2017,Фотолюминесценция,"Химик Валентина Уточникова об антистоксовой люминесценции, биовизуализации и повышении эффективности у солнечных батарей",Валентина Уточникова,химия,,видео
postnauka.ru\1\81476.txt,https://postnauka.ru,/video/81476,19 October 2017,Жречество в Древнем Китае VIII–V вв. до н. э.,"Историк Марк Ульянов о сложности интерпретации китайских иероглифов, многообразии жреческих групп в Древнем Китае и функциях каждой из них",Марк Ульянов,история,,видео
postnauka.ru\1\81625.txt,https://postnauka.ru,/video/81625,23 October 2017,Исследования палеолитического пещерного искусcтва,"Археолог Владислав Житенёв о распространении пещерных рисунков, гипотезах их происхождения и пещере как центре социальной жизни",Владислав Житенёв,история,,видео
postnauka.ru\1\82660.txt,https://postnauka.ru,/video/82660,5 December 2017,Исследование структуры мембранных белков,"Биолог Ольга Соколова о двумерной и трехмерной кристаллографии, электронной микроскопии и роли технологических новшеств в структурной биологии",Ольга Соколова,биология,,видео
postnauka.ru\1\82831.txt,https://postnauka.ru,/video/82831,6 December 2017,Искусственный интеллект в кибербезопасности,"Специалист по Computer Science Денис Гамаюнов об искусственном интеллекте в поиске уязвимостей, методе черного ящика и конкурсах роботов в кибербезопасности ",Денис Гамаюнов,,,видео
postnauka.ru\1\79302.txt,https://postnauka.ru,/video/79302,16 August 2017,Размер Вселенной,"Космолог и астрофизик Мартин Рис об истории астрономии, первых наносекундах Вселенной и теории множественных Больших взрывов",Мартин Рис,астрономия,,видео
postnauka.ru\1\78491.txt,https://postnauka.ru,/video/78491,15 August 2017,Родители в развитии ребенка,"Психолог Катерина Поливанова о госпитализме, современных моделях родительства и критике воспитания по Споку",Катерина Поливанова,психология,,видео
postnauka.ru\1\79123.txt,https://postnauka.ru,/video/79123,15 August 2017,Квантовая электродинамика в сверхсильных полях,"Физик Артем Коржиманов о структуре вакуума, лазерах сверхвысокой пиковой мощности и использовании гамма-излучения",Артем Коржиманов,физика,,видео
postnauka.ru\1\78295.txt,https://postnauka.ru,/video/78295,11 August 2017,Различие как концепт современнои? философии ,"Философ Диана Гаспарян о законе тождества, устройстве классической метафизики и методологии различений",Диана Гаспарян,философия,,видео
postnauka.ru\1\79135.txt,https://postnauka.ru,/video/79135,14 August 2017,Вестибулярная система,"Физиолог Вячеслав Дубынин о строении внутреннего уха, вестибулярных рефлексах и органах равновесия",Вячеслав Дубынин,мозг,,видео
