path,source,date,title,subtitle,author,rubrics,tags
"https://postnauka.ru/api/v1/posts/81477?expand=content,date",https://postnauka.ru,20 October 2017,Фотолюминесценция,"Химик Валентина Уточникова об антистоксовой люминесценции, биовизуализации и повышении эффективности у солнечных батарей",Валентина Уточникова,,химия
"https://postnauka.ru/api/v1/posts/81476?expand=content,date",https://postnauka.ru,19 October 2017,Жречество в Древнем Китае VIII–V вв. до н. э.,"Историк Марк Ульянов о сложности интерпретации китайских иероглифов, многообразии жреческих групп в Древнем Китае и функциях каждой из них",Марк Ульянов,,история
"https://postnauka.ru/api/v1/posts/80503?expand=content,date",https://postnauka.ru,22 September 2017,Геонеи?трино и исследование внутреннего строения Земли,"Физик Валерий Синев о калиевых нейтрино, составе планет и альтернативной модели Земли",Валерий Синев,,физика
"https://postnauka.ru/api/v1/posts/82654?expand=content,date",https://postnauka.ru,8 December 2017,Современная китайская поэзия,"Специалист по китайской литературе Юлия Дрейзис о диалоге современной китайской поэзии с классической традицией, движении 4 мая и общности китайского авангарда с западным",Юлия Дрейзис,,культура
"https://postnauka.ru/api/v1/posts/78269?expand=content,date",https://postnauka.ru,22 August 2017,Платоник и пифагореец Нумении? Апамеи?скии?,"Философ Сергей Мельников об учении Нумения Апамейского, платонизме и работах Евсевия Кесарийского",Сергей Мельников,,философия
"https://postnauka.ru/api/v1/posts/79136?expand=content,date",https://postnauka.ru,22 August 2017,Мозг и боль,"Физиолог Вячеслав Дубынин о простагландинах, принципах работы анальгетиков и возникновении хронических болей",Вячеслав Дубынин,,мозг
"https://postnauka.ru/api/v1/posts/79129?expand=content,date",https://postnauka.ru,23 August 2017,Гражданская вои?на в Шотландии и Ирландии 1689–1691,"Историк государства и права Мария-Валерия Моррис о битве при Кромдейле, победах Вильгельма Оранского и роли галлогласов в войне",Мария-Валерия Моррис,,история
"https://postnauka.ru/api/v1/posts/79133?expand=content,date",https://postnauka.ru,24 August 2017,Компьютерное когнитивное моделирование,"Специалист по Computer Science Александр Панов об искусственном интеллекте, целенаправленном действии и вычислительной модели неокортекса",Александр Панов,,математика
"https://postnauka.ru/api/v1/posts/74455?expand=content,date",https://postnauka.ru,25 April 2017,Понятие бреда в философии и психиатрии,"Философ Светлана Бардина о смысле бредовых высказываний, философском зомби и ложном суждении",Светлана Бардина,,философия
"https://postnauka.ru/api/v1/posts/75091?expand=content,date",https://postnauka.ru,26 April 2017,Квантовая механика и химическая связь,"Химик Артем Оганов об истории появления квантовой механики, уравнении Шрёдингера и танце электронов",Артем Оганов,,физика
"https://postnauka.ru/api/v1/posts/79302?expand=content,date",https://postnauka.ru,16 August 2017,Размер Вселенной,"Космолог и астрофизик Мартин Рис об истории астрономии, первых наносекундах Вселенной и теории множественных Больших взрывов",Мартин Рис,,астрономия
"https://postnauka.ru/api/v1/posts/73754?expand=content,date",https://postnauka.ru,27 March 2017,Современные методы управления светом,"Физик Николай Гиппиус о холодном свете, метаматериалах и моделировании оптических свойств сложных структур",Николай Гиппиус,,физика
"https://postnauka.ru/api/v1/posts/76481?expand=content,date",https://postnauka.ru,5 June 2017,Языковая культура в Японии,"Лингвист Владимир Алпатов о японской письменности, изучении японского языка и культурной глобализации",Владимир Алпатов,,язык
"https://postnauka.ru/api/v1/posts/74470?expand=content,date",https://postnauka.ru,14 April 2017,Когнитивные стратегии рассуждения,"Философ Елена Драгалина-Черная о возможности мыслить нелогично, эксперименте Рут Берн и рациональности правила",Елена Драгалина-Черная,,философия
"https://postnauka.ru/api/v1/posts/74117?expand=content,date",https://postnauka.ru,30 March 2017,Байесовские методы машинного обучения,"Специалист по Computer Science Евгений Бурнаев о точности алгоритмов прогнозирования, колмогоровской сложности и децентрализованном машинном обучении",Евгений Бурнаев,,математика
"https://postnauka.ru/api/v1/posts/73755?expand=content,date",https://postnauka.ru,28 March 2017,Наноструктурирование квантовых материалов,"Физик Сергей Косолобов о квантовых точках, методах самоорганизации на поверхностях и перспективах медицинской диагностики",Сергей Косолобов,,физика
"https://postnauka.ru/api/v1/posts/73757?expand=content,date",https://postnauka.ru,31 March 2017,Графен как пример квантового материала,"Химик Александр Слесарев об открытии графена, туннельном эффекте и дираковских носителях заряда",Александр Слесарев,,химия
"https://postnauka.ru/api/v1/posts/73758?expand=content,date",https://postnauka.ru,29 March 2017,Метаматериалы,"Физик Ильдар Габитов о плазмонном резонансе, визуализации больных органов и материалах с отрицательным показателем преломления",Ильдар Габитов,,физика
"https://postnauka.ru/api/v1/posts/73919?expand=content,date",https://postnauka.ru,1 April 2017,Троллинг и хейтерство,"Культуролог Оксана Мороз о сетевом этикете, гендерно окрашенном троллинге и признаках тем, заслуживающих внимания",Оксана Мороз,,культура
"https://postnauka.ru/api/v1/posts/73752?expand=content,date",https://postnauka.ru,2 April 2017,Квантовые материалы,"Физик Василий Перебейнос о черном фосфоре, нанопроцессорах и перспективах микроэлектроники",Василий Перебейнос,,физика
"https://postnauka.ru/api/v1/posts/74323?expand=content,date",https://postnauka.ru,3 April 2017,Машинное обучение в индустриальной инженерии,"Специалист по Computer Science Евгений Бурнаев об уравнении Навье—Стокса, суррогатных моделях и нестандартных задачах машинного обучения",Евгений Бурнаев,,математика
"https://postnauka.ru/api/v1/posts/74128?expand=content,date",https://postnauka.ru,4 April 2017,Генерация изображений и текстур,"Специалист по Computer Science Виктор Лемпицкий о распознающих нейросетях, методах математической статистики и роли теории игр в машинном обучении",Виктор Лемпицкий,,математика
"https://postnauka.ru/api/v1/posts/74185?expand=content,date",https://postnauka.ru,31 March 2017,Классическое моделирование и машинное обучение,"Математик Александр Шапеев о способах распознавания изображений, проблемах классического моделирования и областях применения классических моделей и машинного обучения",Александр Шапеев,,математика
"https://postnauka.ru/api/v1/posts/74324?expand=content,date",https://postnauka.ru,5 April 2017,Глубинное обучение и обучение с подкреплением,"Специалист по Computer Science Евгений Бурнаев о марковском процессе принятия решений, глубинных нейросетках и построении искусственного интеллекта",Евгений Бурнаев,,математика
"https://postnauka.ru/api/v1/posts/72108?expand=content,date",https://postnauka.ru,18 January 2017,Перепутанные состояния,"Физик Алексей Акимов о суперпозиционных состояниях, перепутанных частицах и измерении параметров квантовых состояний",Алексей Акимов,,физика
"https://postnauka.ru/api/v1/posts/71428?expand=content,date",https://postnauka.ru,19 January 2017,Постконструктивизм,"Александра Селиванова о классическом наследии, конце авангарда и методе социалистического реализма в советской архитектуре 1930-х годов",Александра Селиванова,,история
"https://postnauka.ru/api/v1/posts/71884?expand=content,date",https://postnauka.ru,14 January 2017,Ноотропные стимуляторы,"Нейропсихолог Барбара Сахакян о первых клиниках памяти, нейростимуляторах для улучшения концентрации внимания и последствиях употребления ноотропных препаратов здоровыми людьми",Барбара Сахакян,,мозг
"https://postnauka.ru/api/v1/posts/71435?expand=content,date",https://postnauka.ru,15 January 2017,Философия романа «Бесы»,"Философ Владимир Кантор о фольклорном мотиве в романе, прототипах героев и христианстве в произведениях Достоевского",Владимир Кантор,,философия
"https://postnauka.ru/api/v1/posts/71440?expand=content,date",https://postnauka.ru,16 January 2017,Критерии психического здоровья,"Психолог Илья Плужников о поведенческой психологии, методах анализа психического здоровья и функциональном поведении",Илья Плужников,,психология
"https://postnauka.ru/api/v1/posts/71441?expand=content,date",https://postnauka.ru,17 January 2017,Принципы работы GPS и ГЛОНАСС,"Физик Эмиль Ахмедов об определении положения на плоскости и в пространстве, необходимых координатах и атомных часах",Эмиль Ахмедов,,физика
"https://postnauka.ru/api/v1/posts/71195?expand=content,date",https://postnauka.ru,17 January 2017,Хакасский язык,"Какие существуют диалекты в хакасском языке, в каких регионах на нем разговаривают и как изменялась хакасская письменность",Анна Дыбо,,язык
"https://postnauka.ru/api/v1/posts/72615?expand=content,date",https://postnauka.ru,7 February 2017,Просьюмеризм и культура потребления,"Культуролог Оксана Мороз о цифровой среде, культуре соучастия и происхождении просьюмеризма",Оксана Мороз,,культура
"https://postnauka.ru/api/v1/posts/72331?expand=content,date",https://postnauka.ru,30 January 2017,Формирование магматических очагов,"Геолог Павел Плечов о моделях формирования магматических очагов, механизмах плавления вмещающих пород и условиях функционирования магматических очагов",Павел Плечов,,физика
"https://postnauka.ru/api/v1/posts/71442?expand=content,date",https://postnauka.ru,31 January 2017,Ренормализационная группа,"Физик Эмиль Ахмедов об идеализации в решении физических задач, бесконечных частотах и принципах фундаментальной физики",Эмиль Ахмедов,,физика
"https://postnauka.ru/api/v1/posts/72333?expand=content,date",https://postnauka.ru,1 February 2017,Вероятность в квантовои? механике,"Физик Алексей Акимов о суперпозиционных состояниях, эксперименте Шрёдингера и вычислении вероятности в квантовой механике",Алексей Акимов,,физика
"https://postnauka.ru/api/v1/posts/72361?expand=content,date",https://postnauka.ru,2 February 2017,Продолговатыи? мозг и мост,"Физиолог Вячеслав Дубынин о формировании головного мозга, черепных нервах и дыхательном центре продолговатого мозга",Вячеслав Дубынин,,мозг
"https://postnauka.ru/api/v1/posts/72613?expand=content,date",https://postnauka.ru,3 February 2017,Становление России?скои? империи,"Историк Александр Каменский о присоединении земель к Древней Руси, истоках имперской идеи и отличиях континентальных империй от морских",Александр Каменский,,история
"https://postnauka.ru/api/v1/posts/72339?expand=content,date",https://postnauka.ru,4 February 2017,Вирус иммунодефицита человека,"Вирусолог Грег Тауэрс об открытии ВИЧ в Сан-Франциско, симптомах болезни и исследованиях антивирусной терапии",Грег Тауэрс,,биология
"https://postnauka.ru/api/v1/posts/72611?expand=content,date",https://postnauka.ru,6 February 2017,Египетскии? поход Наполеона Бонапарта,"Историк Евгения Прусская о политическом строе мамлюков, битве при Абукире и Сирийской кампании Наполеона ",Евгения Прусская,,история
"https://postnauka.ru/api/v1/posts/72335?expand=content,date",https://postnauka.ru,6 February 2017,Церковь в эпоху Каролингов,"Историк Александр Сидоров о распространении римской литургии, роли папства в Каролингской империи и борьбе с ересью",Александр Сидоров,,история
"https://postnauka.ru/api/v1/posts/72616?expand=content,date",https://postnauka.ru,8 February 2017,Суицидальные и антисуицидальные факторы,"Психолог Илья Плужников о предрасположенности к суициду, проблемах с самооценкой и религиозных убеждениях как антисуицидальном факторе",Илья Плужников,,психология
"https://postnauka.ru/api/v1/posts/72330?expand=content,date",https://postnauka.ru,9 February 2017,Средний мозг,"Физиолог Вячеслав Дубынин о сенсорных центрах среднего мозга, черепно-мозговых нервах и детекции лжи по поведению зрачка",Вячеслав Дубынин,,мозг
"https://postnauka.ru/api/v1/posts/72617?expand=content,date",https://postnauka.ru,10 February 2017,Извержения вулканов,"Геолог Павел Плечов о четырех типах извержений, их влиянии на климат и исландском вулкане Эйяфьядлайёкюдль",Павел Плечов,,физика
"https://postnauka.ru/api/v1/posts/72341?expand=content,date",https://postnauka.ru,12 February 2017,Логические парадоксы,"Философ Стивен Рид о парадоксе лжеца, семантических парадоксах и их прямой связи с основами математики",Стивен Рид,,математика
"https://postnauka.ru/api/v1/posts/72667?expand=content,date",https://postnauka.ru,13 February 2017,Просвещенныи? абсолютизм Екатерины II,"Историк Александр Каменский об идеях французского Просвещения, создании Уложенной комиссии и губернской реформе Екатерины II",Александр Каменский,,история
"https://postnauka.ru/api/v1/posts/72741?expand=content,date",https://postnauka.ru,14 February 2017,Крестьянство в крепостной России,"Историк Игорь Христофоров о развитии крепостного права, крестьянской общине и учебниках для помещиков",Игорь Христофоров,,история
"https://postnauka.ru/api/v1/posts/72670?expand=content,date",https://postnauka.ru,15 February 2017,Репрезентации коллективнои? травмы,"Культуролог Оксана Мороз о типах воспоминаний, проработке травмы и репрезентации Холокоста в культуре",Оксана Мороз,,культура
"https://postnauka.ru/api/v1/posts/73029?expand=content,date",https://postnauka.ru,16 February 2017,Таламус и гипоталамус,"Физиолог Вячеслав Дубынин о сходствах таламуса и больших полушарий, гиперактивности у детей и функциях гипоталамуса",Вячеслав Дубынин,,мозг
"https://postnauka.ru/api/v1/posts/73561?expand=content,date",https://postnauka.ru,7 March 2017,Каролингское историописание,"Историк Александр Сидоров о жанре деяний, политических аспектах историописания и сочинениях Нитхарда",Александр Сидоров,,история
"https://postnauka.ru/api/v1/posts/72665?expand=content,date",https://postnauka.ru,20 February 2017,Робототехника и искусственный интеллект,"Специалист в области Computer Science Константин Яковлев о разнице между роботами и искусственным интеллектом, классической робототехнике и автономности роботов",Константин Яковлев,,
"https://postnauka.ru/api/v1/posts/73037?expand=content,date",https://postnauka.ru,20 February 2017,Инвестиции в зеленые технологии,"Экономист Игорь Макаров о ресурсосберегающих технологиях, дивестициях из грязных отраслей и экономических инструментах регулирования загрязнений ",Игорь Макаров,,экономика
"https://postnauka.ru/api/v1/posts/73038?expand=content,date",https://postnauka.ru,6 March 2017,Анархизм Льва Толстого,"Политолог Борис Прокудин о поиске смысла жизни Львом Толстым, Нагорной проповеди и «непротивленческом» анархизме ",Борис Прокудин,,культура
"https://postnauka.ru/api/v1/posts/72787?expand=content,date",https://postnauka.ru,17 February 2017,Дипломатия эпохи Возрождения,"Историк Екатерина Домнина о династических браках, обязанностях дипломатов и системе сдержек и противовесов ",Екатерина Домнина,,история
