,path,source,url,date,title,subtitle,author,rubrics,tags,genre
0,"polit.ru_proscience/proscience_articles/article-2012-10-01-ps_krill-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/10/01/ps_krill/,01 октября 2012,Антарктика: большая роль маленького криля,,Екатерина  Урюпова,,_биология _глобальное потепление_естественные и точные науки_экология,Статьи
1,"polit.ru_proscience/proscience_articles/article-2012-10-11-ps_sc20_aleksandrov1-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/10/11/ps_sc20_aleksandrov1/,11 октября 2012,"Трудовая миграция: мигрируют не люди, а сети",,,,_гуманитарные и социальные  науки_даниил александров_наука 2.0_социология,Статьи
2,"polit.ru_proscience/proscience_articles/article-2012-10-12-ps_sc20_aleksandrov2-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/10/12/ps_sc20_aleksandrov2/,12 октября 2012,Даниил Александров: «Крупные ученые изменяют реальность вокруг себя»,,,,_даниил александров_мегагранты_наука 2.0,Статьи
3,"polit.ru_proscience/proscience_articles/article-2012-10-14-ps_vakh_coins-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/10/14/ps_vakh_coins/,14 октября 2012,Мелочь ,,Виктор Вахштайн,,,Статьи
4,"polit.ru_proscience/proscience_articles/article-2012-10-29-ps_girusrulez-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/10/29/ps_girusrulez/,29 октября 2012,Лобная извилина избавляет от стресса и вводит в заблуждение,,,,,Статьи
5,"polit.ru_proscience/proscience_articles/article-2012-10-30-ps_googlesand-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/10/30/ps_googlesand/,30 октября 2012,«Кризисная» карта Google: IT против Сэнди,,Ксения Абрамова,,_google_ураган,Статьи
6,"polit.ru_proscience/proscience_articles/article-2012-11-01-ps_kalm_heart-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/01/ps_kalm_heart/,01 ноября 2012,"Найдена мутация, вызывающая внезапную смерть от сердечного приступа",,Марина Зоц,,_сердце,Статьи
7,"polit.ru_proscience/proscience_articles/article-2012-11-02-ps_circle-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/02/ps_circle/,02 ноября 2012,Как всех переженить по алгоритму Гейла-Шепли?,,Андрей  Винокуров,,_договороспособность,Статьи
8,"polit.ru_proscience/proscience_articles/article-2012-11-07-ps_aka_epigene-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/07/ps_aka_epigene/,07 ноября 2012,Эпигенетическое расследование,,"ПОДГОТОВКА ИНТЕРВЬЮ:
                
                  Максим Тужиков",,_эволюция ,Статьи
9,"polit.ru_proscience/proscience_articles/article-2012-11-07-ps_dreamstudy-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/07/ps_dreamstudy/,07 ноября 2012,Обучение во сне строится на ассоциациях,,,,_мозг,Статьи
10,"polit.ru_proscience/proscience_articles/article-2012-11-09-ps_intel_octopus_eye-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/09/ps_intel_octopus_eye/,09 ноября 2012,В глазах осьминога виден интеллект,,Александр  Семенов,,_головоногие,Статьи
11,"polit.ru_proscience/proscience_articles/article-2012-11-11-ps_genemap-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/11/ps_genemap/,11 ноября 2012,Как строятся карты генетики,,,,_расшифровка генома_эволюция ,Статьи
12,"polit.ru_proscience/proscience_articles/article-2012-11-14-ps_edison-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/14/ps_edison/,14 ноября 2012,Старейшую из известных на сегодня аудиозаписей воссоздали в Беркли,,,,,Статьи
13,"polit.ru_proscience/proscience_articles/article-2012-11-15-ps_ragecontrol-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/15/ps_ragecontrol/,15 ноября 2012,Компьютерная игра как способ контролировать детский гнев,,,,,Статьи
14,"polit.ru_proscience/proscience_articles/article-2012-11-16-ps_lostinarktica-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/16/ps_lostinarktica/,16 ноября 2012,По следам пропавшей экспедиции,,Екатерина Колесникова,,,Статьи
15,"polit.ru_proscience/proscience_articles/article-2012-11-20-ps_arabs_siria_wisdom-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/20/ps_arabs_siria_wisdom/,20 ноября 2012,Специфику сирийской цивилизации можно понять на примере сирийских святых,,,,_история цивилизаций_наука 2.0_сирия,Статьи
16,"polit.ru_proscience/proscience_articles/article-2012-11-22-ps_mosquitos-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/22/ps_mosquitos/,22 ноября 2012,Способность ориентироваться в пространстве и модификации конденсированных фаз воды,,Виктор Ковылин,,_биология ,Статьи
17,"polit.ru_proscience/proscience_articles/article-2012-11-22-ps_tender_elephant-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/11/22/ps_tender_elephant/,22 ноября 2012,"Африканские слоны делятся на лидеров, шалунов, тружеников и неженок",,Виктор Ковылин,,_биология ,Статьи
18,"polit.ru_proscience/proscience_articles/article-2012-12-05-ps_HIV-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/05/ps_HIV/,05 декабря 2012,Восточная Европа и Центральная Азия нуждаются в препаратах от ВИЧ,,,,_вич/спид_иммунология_оон,Статьи
19,"polit.ru_proscience/proscience_articles/article-2012-12-05-ps_NICA-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/05/ps_NICA/,05 декабря 2012,Коллайдер превращает золото в кашу из кварков и глюонов,,Наталья Теряева,,_коллайдер,Статьи
20,"polit.ru_proscience/proscience_articles/article-2012-12-05-ps_sc20_fokin-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/05/ps_sc20_fokin/,05 декабря 2012,"Валерий Фокин: химик должен быть осторожен, создавая новые материалы",,,,_молекулы,Статьи
21,"polit.ru_proscience/proscience_articles/article-2012-12-07-ps_mcafee-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/07/ps_mcafee/,07 декабря 2012,Параноик-одиночка - создатель антивируса McAfee - не смог спрятаться от мира,,,,_mcafee_гватемала_компьютерная безопасность_короткоствольное оружие_наркотики_оружие_сша,Статьи
22,"polit.ru_proscience/proscience_articles/article-2012-12-07-ps_tranz-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/07/ps_tranz/,07 декабря 2012,Нанопроводки из индий-галлий-арсенида создадут электронику будущего,,,,,Статьи
23,"polit.ru_proscience/proscience_articles/article-2012-12-10-ps_folk_linguistics-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/10/ps_folk_linguistics/,10 декабря 2012,Носители языка как лексикологи: народная лингвистика,,Максим Руссо,,_лингвистика_русский язык,Статьи
24,"polit.ru_proscience/proscience_articles/article-2012-12-10-ps_sc20_puzanova-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/10/ps_sc20_puzanova/,10 декабря 2012,Куда девать шесть миллиардов лишних людей?,,,,_аральское море_биосфера_сирия_экология,Статьи
25,"polit.ru_proscience/proscience_articles/article-2012-12-12-ps_antiaging-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/12/ps_antiaging/,12 декабря 2012,Алгоритмы долгожительства,,,,_мозг_продолжительность жизни_старение,Статьи
26,"polit.ru_proscience/proscience_articles/article-2012-12-12-ps_sc20_stroganova-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/12/ps_sc20_stroganova/,12 декабря 2012,"Нейрокогнитивистика, психобиология и новые способы изучения мозга",,,,_мозг_наука 2.0_нейробиология_обучение ,Статьи
27,"polit.ru_proscience/proscience_articles/article-2012-12-13-ps_sc20_razborov-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/13/ps_sc20_razborov/,13 декабря 2012,Александр Разборов: «Математика смещается в сторону комбинаторики»,,,,_естественные и точные науки_математика_наука 2.0,Статьи
28,"polit.ru_proscience/proscience_articles/article-2012-12-18-ps_hybrid_tokamak-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/18/ps_hybrid_tokamak/,18 декабря 2012,Гибридные реакторы как ядерный ренессанс,,Евгений Драпико,,_iter_альтернативная энергетика_европейский центр ядерных исследований_реактор_ядерная физика,Статьи
29,"polit.ru_proscience/proscience_articles/article-2012-12-19-ps_aerogel-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/19/ps_aerogel/,19 декабря 2012,Новосибирский аэрогель поставил мировой рекорд в ЦЕРНе,,Мария Роговая,,_большой адронный коллайдер_церн,Статьи
30,"polit.ru_proscience/proscience_articles/article-2012-12-19-ps_sc20_sheval-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/19/ps_sc20_sheval/,19 декабря 2012,Российская наука становится неконкурентоспособной,,,,_госзакупки_наука 2.0_финансирование науки,Статьи
31,"polit.ru_proscience/proscience_articles/article-2012-12-19-ps_superheavyel_dmitriev-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/19/ps_superheavyel_dmitriev/,19 декабря 2012,Фабрика сверхтяжелых элементов,,"ПОДГОТОВКА ИНТЕРВЬЮ:
                
                  Наталья Теряева",,_дубна_ядерная физика,Статьи
32,"polit.ru_proscience/proscience_articles/article-2012-12-20-ps_HFR-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/20/ps_HFR/,20 декабря 2012,«Хоббит»: в кинотеатрах Москвы не знают о способах демонстрации технологии HFR,,Евгений  Краснопольский,,_«хоббит»,Статьи
33,"polit.ru_proscience/proscience_articles/article-2012-12-20-ps_vasyliev-human-origins-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/20/ps_vasyliev-human-origins/,20 декабря 2012,Эволюция человека. Взгляд морфолога,,,,_днк_неандертальцы_происхождение человека_физическая антропология_эволюция человека,Статьи
34,"polit.ru_proscience/proscience_articles/article-2012-12-21-ps_artbrainstorm-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/21/ps_artbrainstorm/,21 декабря 2012,"О технологиях, которые крадут время",,Марина Абрамович,,_интернет_нейробиология,Статьи
35,"polit.ru_proscience/proscience_articles/article-2012-12-21-ps_mayan_calendar-index.txt
",http://polit.ru/rubric/proscience/,polit.ru/article/2012/12/21/ps_mayan_calendar/,21 декабря 2012,"Календарь майя - циклический: конца света быть не может, все повторится",,,,,Статьи
