	left_context	named_entities	right_context
0	Из выступления лауреата Нобелевской премии	Ричарда Фейнмана 	в Калифорнийском технологическом институте в 1959
1	проблема была в 1981 году	Гердом Биннигом 	и Генрихом Рорером сотрудниками швейцарского отделения
2	1981 году Гердом Биннигом и	Генрихом Рорером 	сотрудниками швейцарского отделения IBM сконструировавшими первый
3	сотрудниками IBM Almaden Research Center	Дональдом Эйглером 	и Эрхардом Швейцером в 1990 году
4	Research Center Дональдом Эйглером и	Эрхардом Швейцером 	в 1990 году заключался в том
5	подобная работа была проделана группой	Джозефа Стросцио 	из Национального Института Стандартов и Технологий
6	сотрудниками IBM Almaden Research Center	Дональдом Эйглеро	м и Эрхардом Швейцером в 1990
7	этом больше всех писал академик	Андрей Анатольевич Зализняк 	. Дело в том что написать
8	лингвистике. Это прежде всего книга	Зализняка 	Из заметок о любительской лингвистике книга
9	заметок о любительской лингвистике книга	Ирины Левонтиной 	Русский со словарем очень забавная изящная
10	вполне серьезная книга. Есть книга	Максима Кронгауза 	Русский язык на грани нервного срыва
11	серьезная книга. Есть книга Максима	Кронгауза	Русский язык на грани нервного срыва
12	учебник под редакцией Михаила Викторовича	Панова 	. Но в школьном образовании русский
13	это не так и на	Маркса 	мы не ссылаемся и безыдейный структурализм
14	вам Ньютона разрешают изучать а	Эйнштейна 	уже нет. Что кстати и пытались
15	. Это было при ректоре	Логунове 	что его не красит совершенно. Не
16	всех писал академик Андрей Анатольевич	Зализняк 	. Дело в том что написать
17	объектов можно назвать тогдашнюю аспирантку	Джоселин Белл 	и ее руководителя Энтони Хьюиша .
18	Джоселин Белл и ее руководителя	Энтони Хьюиша 	. Причем понимание того с источниками
19	Белл и ее руководителя Энтони	Хьюиша	. Причем понимание того с источниками
20	1974 году за это открытие	Э. Хьюишу 	была присуждена Нобелевская премия по физике.
21	отмечал 90-летие со дня рождения	Ричарда Ф. Фейнмана 	. Помимо того что он нобелевский
22	со дня рождения Ричарда Ф.	Фейнмана	. Помимо того что он нобелевский
23	комбинациях. Вот например таблица у	Менделеева 	он понял что множество совершенно разных
24	все это любопытно. Вот когда	Максвелл 	в XIX веке открыл что электричество
25	и есть гравитация. Две силы.	Эйнштейн 	пытался их все время объединить и
26	палеонтолога и специалист по трилобитам	Ричарда Форти 	. Автор рассказывает о важнейшей эпохе
27	и специалист по трилобитам Ричарда	Форти 	. Автор рассказывает о важнейшей эпохе
28	древнейших ископаемых - трилобитов. Когда	Гарри Уиттингтон 	и его ученики Дерек Бриггс и
29	Гарри Уиттингтон и его ученики	Дерек Бриггс 	и Саймон Конвей Моррис теперь они
30	его ученики Дерек Бриггс и	Саймон Конвей Моррис 	теперь они уже сами известные профессора
31	всех деталях чего со времен	Уолкотта 	поднявшего занавес этой пьесы никтоне делал.
32	сам по себе. Известны слова	Саймона Конвея Морриса 	когда тот открывая ящик с новым
33	новых идей о кембрийских событиях	Саймону Конвею Моррису 	. Как многому в этой книге
34	древнейших ископаемых - трилобитов. Когда	Гарри Уиттингтон и его ученики Дерек Бриггс и Саймон Конвей Моррис теперь они уже сами известные профессора в 1970 1980-х гг. занимались фауной из Бёрджес они подчеркивали прежде всего своеобразие этих животных. Положим они описывали костюмы своих персонажей впервые и во всех деталях чего со времен Уолкотта поднявшего занавес этой пьесы никтоне делал. Так много различий в строении ножек панцирей так загадочны те или иные признаки найденных животных что все они казалось бы говорят за то что членистоногие и примкнувшие к ним сородичи произошли не от одного а от нескольких предков. Подобные случаи корректно называть полифилетичным происхождением. На пике популярности взрывологии полифилия стала расхожим объяснением. Гарри Уиттингтон считал что разные типы членистоногих из Бёрджес произошли параллельно от разных докембрийских мягкотелых предков. Согласно этой но только доведенной до крайности точке зрения некоторые кембрийские животные настолько отличались от всех остальных что каждый из них заслуживал выделения в высшую таксономическую категорию в отдельный тип. Это и не моллюски и не членистоногие. А кто же тогда Так пусть это будет особый тип сам по себе. Известны слова Саймона Конвея Морриса когда тот открывая ящик с новым материалом и рассматривая новых ископаемых воскликнул Черт Опять новый тип Вероятно потом у него появились причины признать неверными эти слова. В более скромном варианте этих трудноопределимых тварей с экстравагантной внешностью называют неудачными планами строения . В них нет недостатка членистоногие с гигантскими передними конечностями или колоссальными перистыми антеннами или с бессчетными сегментами. И все они появились где-то в районе основания кембрия около 540 млн лет назад в результате невероятного всплеска эволюционного творчества. Настоящий взрыв. Эффектное появление на геологической сцене жизненного многообразия посчитали естественным актом эволюционной истории. Среди выпущенных тогда на сцену пробных персонажей были и трилобиты они безусловно участники всех событий и должны были видеть сквозь чудесные хрустальные глаза своих щетинистых или тонконогих соседей.Ни одно другое пробное кембрийское животное не обзавелось столь изощренным оптическим приспособлением. Когда Гулд в Удивительной жизни представлял первый вариант теории взрыва он описывал различных животных и сопровождал описания выводами следующими из их строения.С известной щедростью он приписывал большинство новых идей о кембрийских событиях Саймону Конвею Моррису . Как многому в этой книге и самим примером и его предварительной проверкой я обязан Саймону Конвею Моррису такая вводная фраза типична для Удивительной жизни . И все же над переописанием фауны из сланцев Бёрджес работала целая команда под руководством Гарри Уиттингтона 	. Саймон Конвей Моррис Дерек Бриггс
35	Саймон Конвей Моррис Дерек Бриггс	Дэвид Брутон 	Крис Хьюз все они изучали разных
36	Моррис Дерек Бриггс Дэвид Брутон	Крис Хьюз 	все они изучали разных животных из
37	по трилобитам туда же в	Кембридж 	в музей Седжвика прибыли мальчики из
38	философствованиях. Я бился вместе с	Дереком Бриггсом 	над ископаемыми членистоногими Sanctacaris и Canadaspis
39	сомневались в правильности концепции представленной	Стивеном Гулдом 	хотя все восхищались самим стилем изложения.
