	mentions	scholar
0	39	Илон Маск
1	26	Беркли
2	26	Макса
3	23	Джорджии
4	19	Моделирование
5	16	Массачусетского
6	15	Калифорнийского
7	15	Каролины
8	14	Рельсотрон
9	13	Флориды
10	13	Беспилотник
11	13	Хаббл
12	11	Гарвардского
13	11	Гарварда
14	10	Седоль
15	10	Маск
16	10	Яндекс
17	10	Неправильно
18	9	Нобелевской
19	9	Нового
20	9	Стивен Хокинг
21	9	Дьюка
22	8	Колорадо
23	8	Кассини
24	8	Квинсленда
25	8	Сколтеха
26	8	Зика
27	8	Карнеги Меллон
28	8	Кеплер
29	7	Эдинбургского
30	7	Карнеги Меллона
31	7	Пенсильвания
32	7	Виргинии
33	7	Хаббла
34	7	Аалто
35	7	Метаматериалами
36	7	Кембриджского
37	7	Юты
38	7	Аллен Пэн
39	6	Тестирование
40	6	Аризоны
41	6	Планетологи
42	6	Альцгеймера
43	6	Джонса Хопкинса
44	6	Принстона
45	6	Роберт
46	6	Хассо Платтнера
47	6	Оксфордского
48	6	Техаса
49	6	Колин
50	6	Джеральд
51	6	Графен
52	6	Питтсбурга
53	6	Джеймс
54	5	Вашингтонского
55	5	Флетчер
56	5	Скриппса
57	5	Навина
58	5	Камкар
59	5	Сванте Паабо
60	5	Стэнфордского
61	5	Батыгин
62	5	Лидар
63	5	Смитсоновского
64	5	Пердью
65	5	Бристольского
66	5	Уильямс
67	5	Чандра
68	5	Эндрю Ын
69	5	Гершель
70	5	Миннесоты
71	5	Штерн
72	5	Дэвид
73	5	Пенсильвании
74	5	Твенте
75	5	Скриншот
76	5	Райса
77	5	Остине
78	5	Брауна
79	5	Миллер
80	4	Фраунгофера
81	4	Новоселов
82	4	Британии
83	4	Лондонского
84	4	Беляева
85	4	Михеев
86	4	Армстронга
87	4	Майкл Браун
88	4	Сиэтле
89	4	Интерфакс
90	4	Туполев
91	4	Дилан
92	4	Син
93	4	Тафтса
94	4	Монаша
95	4	Аделаиды
96	4	Йельского
97	4	Иванов
98	4	Ричард
99	4	Панчин
100	4	Макгилла
101	4	Майк
102	4	Джеймса Кука
103	4	Вандербильта
104	4	Говарда Хьюза
105	4	Массимо
106	4	Борисова
107	4	Клаассен
108	4	Хейлз
109	4	Дрон
110	4	Дюв
111	4	Блумингтоне
112	4	Вольщан
113	4	Теломеры
114	4	Амал Граафстра
115	4	Яндекса
116	4	Стартап
117	4	Техасского
118	4	Консолманьо
119	4	Уоллес
120	3	Келли
121	3	Тохоку
122	3	Ян
123	3	Солнцев
124	3	Эдвард Дженнер
125	3	Калгари
126	3	Алиса
127	3	Михеева
128	3	Рогозина
129	3	Гленна
130	3	Мур
131	3	Сканирование
132	3	Маргарет
133	3	Плунгян
134	3	Шарпа
135	3	Олега Астафьева
136	3	Онтарио
137	3	Римляне
138	3	Власов
139	3	Джорджа
140	3	Макмастера
141	3	Канаверо
142	3	Ломакс
143	3	Копенгагенского
144	3	Лахно
145	3	Бристольской
146	3	Планетологического
147	3	Робер
148	3	Джеффа
149	3	Мичиганского
150	3	Тейлситтер
151	3	Хуабин Чжао
152	3	Википедии
153	3	Щербакова
154	3	Такааки Кадзита
155	3	Сюдзи Накамура
156	3	Мордвинцев Крисофер Ола
157	3	Филипп
158	3	Сиа
159	3	Неймегенского
160	3	Вейцмана
161	3	Карл
162	3	Эндрю
163	3	Тайлера
164	3	Робертса
165	3	Мадисоне
166	3	Чарльз Дарвин
167	3	Пауль
168	3	Флаттером
169	3	Фридман
170	3	Научно-Исследовательская
171	3	Дарвин
172	3	Макеева
173	3	Мартина
174	3	Шувалов
175	3	Аризона
176	3	Корнелловского
177	3	Эмори
178	3	Ключарев
179	3	Ювяскюля
180	3	Дарнелл
181	3	Мариам Мирзахани
182	3	Филдсовской
183	3	Ким Чен Ын
184	3	Абдаллы
185	3	Кардиффа
186	3	Стэндфордского
187	3	Стэнфорда
188	3	Страдивари
189	3	Учинура
190	3	Ди
191	3	Орегон
192	3	Квинсленд
193	3	Цукуба
194	3	Эбола
195	3	Далхаузи
196	3	Андерсон
197	3	Райан
198	3	Орегона
199	3	Джордж Черч
200	3	Джордж
201	3	Эшли
202	3	Экранопланом
203	3	Ньюкасла
204	3	Паркер
205	3	Массачусетса
206	3	Джеймса
207	3	Витсватерсранда
208	3	Зализняк
209	3	Камов
210	3	Фишера
211	3	Юрий
212	3	Пенсильванского
213	3	Эмили
214	3	Джордж Пойнар
215	3	Каролине
216	3	Томкин
217	3	Дэна
218	3	Роджером Шойером
219	3	Артема Оганова
220	3	Боулдере
221	3	Короткова
222	3	Ноам Хомский
223	3	Бэрсма
224	3	Манчестерского
225	3	Ноттингемского
226	3	Токио
227	3	Сара Паркак
228	3	Смит
229	3	Нитин Гадкари
230	3	Церере
231	3	Петр
232	3	Синьнянь Дун
233	3	Техасе
234	3	Стенфорда
235	3	Томас Туэйтес
236	3	Эндрю Бирли
237	3	Дарьина
238	3	Тацит
239	3	Терпин
