	mentions	scholar
0	45	Многие
1	44	Кто-То
2	32	Часто
3	28	Нобелевской
4	25	Сталин
5	23	Эйнштейн
6	22	Аристотель
7	22	Платон
8	22	Декарт
9	19	Дарвин
10	18	Петр
11	18	Ницше
12	17	Ленин
13	17	Шмитт
14	16	Галилей
15	15	Гоффман
16	15	Фрейд
17	14	Путин
18	14	Нобелевский
19	13	Смирнов
20	13	Гоббс
21	12	Достоевский
22	11	Фуко
23	11	Толстой
24	11	Видлар
25	11	Максвелл
26	11	Колмогорова
27	11	Витгенштейн
28	10	Эйнштейна
29	10	Пифагор
30	10	Гарвардского
31	10	Латур
32	9	Геродот
33	9	Смит
34	9	Маркс
35	9	Сталина
36	8	Федотов
37	8	Паули
38	8	Булгаков
39	8	Аузана
40	8	Гельмгольц
41	8	Колмогоров
42	8	Солженицын
43	8	Дэвид
44	8	Фукидид
45	8	Стэнфордского
46	8	Медведев
47	8	Бахтин
48	8	Вулгар
49	8	Винникотт
50	7	Дарвина
51	7	Шюц
52	7	Карл
53	7	Гумбольдта
54	7	Московского
55	7	Колхас
56	7	Соловьев
57	7	Живаго
58	7	Аузан
59	7	Дюркгейм
60	7	Витрувий
61	7	Постепенно
62	7	Макиавелли
63	7	Фрейда
64	7	Томас
65	7	Сергей
66	7	Принстонского
67	7	Саида
68	7	Бельский
69	6	Резерфорд
70	6	Марков
71	6	Руссо
72	6	Флеминг
73	6	Ходорковский
74	6	Беркли
75	6	Ноам Хомский
76	6	Ахматова
77	6	Мэдисон
78	6	Павел
79	6	Лотмана
80	6	Стивен Хокинг
81	6	Роберт
82	6	Сорокин
83	6	Артем Ефимов
84	6	Кеплер
85	6	Скотт
86	6	Патрик
87	6	Лосев
88	6	Гайдар
89	6	Гегель
90	6	Николай
91	6	Скотта
92	6	Мартин
93	6	Дирак
94	6	Кейнс
95	6	Данилевского
96	5	Умберто
97	5	Перельман
98	5	Зигмунд Фрейд
99	5	Гегеля
100	5	Ландау
101	5	Византия
102	5	Бродский
103	5	Массачусетского
104	5	Шекспир
105	5	Гумбольдт
106	5	Перельмана
107	5	Мирзахани
108	5	Хиггса
109	5	Миллер
110	5	Морита
111	5	Дуглас Норт
112	5	Оксфордского
113	5	Куренниеми
114	5	Тынянов
115	5	Курцвейл
116	5	Дженкинс
117	5	Хайям
118	5	Тьюринг
119	5	Сыма Цянь
120	5	Арендт
121	5	Нобелевского
122	5	Павловский
123	5	Сократ
124	5	Пьер
125	5	Гарварда
126	5	Фейнман
127	5	Синъя Яманака
128	5	Эдгар
129	5	Муравьев
130	5	Шеннон
131	5	Калифорнийского
132	5	Кеннеди
133	5	Оксана
134	5	Корнелльского
135	5	Энрике
136	5	Поланьи
137	5	Бейкер
138	5	Сергей Попов
139	5	Филиппов
140	5	Римана
141	5	Левин
142	5	Хадид
143	5	Ви
144	5	Троцкий
145	5	Маркрам
146	5	Чистяков
147	4	Руси
148	4	Арнольд
149	4	Дэвида
150	4	Белинский
151	4	Алексеев
152	4	Жан
153	4	Омского
154	4	Томсон
155	4	Мичиганского
156	4	Сергей Сергеевич Аверинцев
157	4	Юрий
158	4	Мариам Мирзахани
159	4	Анри Пуанкаре
160	4	Киевского
161	4	Батлер
162	4	Путина
163	4	Фридман
164	4	Линде
165	4	Веблен
166	4	Катона
167	4	Федорова
168	4	Августин
169	4	Сергей Старостин
170	4	Эрнандо
171	4	Молодой
172	4	Данте
173	4	Холдейн
174	4	Ксенофонт
175	4	Ричард Фейнман
176	4	Пуанкаре
177	4	Лаплас
178	4	Ким Сен
179	4	Хрущев
180	4	Ганнинга
181	4	Сергей Гуриев
182	4	Кейнса
183	4	Гиппократ
184	4	Роджер Пенроуз
185	4	Кларк
186	4	Горбачев
187	4	Тимонова
188	4	Артема Ефимова
189	4	Кинси
190	4	Я-То
191	4	Лахта
192	4	Ренан
193	4	Рузвельт
194	4	Питер
195	4	Чарльз Дарвин
196	4	Эдисон
