	mentions	scholar
0	40	Многие
1	35	Кто-То
2	31	Часто
3	25	Нобелевской
4	25	Сталин
5	22	Платон
6	22	Декарт
7	21	Аристотель
8	18	Ницше
9	17	Петр
10	17	Ленин
11	17	Эйнштейн
12	17	Шмитт
13	15	Галилей
14	15	Гоффман
15	15	Дарвин
16	14	Путин
17	14	Фрейд
18	13	Гоббс
19	12	Достоевский
20	11	Фуко
21	11	Толстой
22	11	Максвелл
23	11	Колмогорова
24	11	Витгенштейн
25	11	Нобелевский
26	10	Латур
27	9	Смит
28	9	Пифагор
29	9	Маркс
30	9	Сталина
31	8	Федотов
32	8	Паули
33	8	Булгаков
34	8	Колмогоров
35	8	Солженицын
36	8	Фукидид
37	8	Медведев
38	8	Бахтин
39	8	Гарвардского
40	8	Вулгар
41	8	Винникотт
42	7	Шюц
43	7	Карл
44	7	Геродот
45	7	Гумбольдта
46	7	Московского
47	7	Колхас
48	7	Соловьев
49	7	Живаго
50	7	Аузана
51	7	Аузан
52	7	Дюркгейм
53	7	Витрувий
54	7	Макиавелли
55	7	Фрейда
56	7	Саида
57	7	Бельский
58	6	Руссо
59	6	Флеминг
60	6	Ходорковский
61	6	Ноам Хомский
62	6	Ахматова
63	6	Мэдисон
64	6	Павел
65	6	Лотмана
66	6	Эйнштейна
67	6	Постепенно
68	6	Кеплер
69	6	Скотт
70	6	Лосев
71	6	Гайдар
72	6	Гегель
73	6	Николай
74	6	Томас
75	6	Скотта
76	6	Дирак
77	6	Кейнс
78	6	Данилевского
79	5	Умберто
80	5	Резерфорд
81	5	Перельман
82	5	Марков
83	5	Гегеля
84	5	Ландау
85	5	Византия
86	5	Бродский
87	5	Шекспир
88	5	Гумбольдт
89	5	Перельмана
90	5	Оксфордского
91	5	Тынянов
92	5	Дженкинс
93	5	Хайям
94	5	Сыма Цянь
95	5	Арендт
96	5	Павловский
97	5	Сократ
98	5	Пьер
99	5	Синъя Яманака
100	5	Эдгар
101	5	Сергей
102	5	Муравьев
103	5	Шеннон
104	5	Калифорнийского
105	5	Кеннеди
106	5	Оксана
107	5	Принстонского
108	5	Энрике
109	5	Поланьи
110	5	Римана
111	5	Левин
112	5	Ви
113	5	Троцкий
114	5	Маркрам
115	4	Руси
116	4	Дэвида
117	4	Белинский
118	4	Алексеев
119	4	Зигмунд Фрейд
120	4	Сергей Сергеевич Аверинцев
121	4	Анри Пуанкаре
122	4	Киевского
123	4	Батлер
124	4	Путина
125	4	Фридман
126	4	Линде
127	4	Веблен
128	4	Катона
129	4	Федорова
130	4	Августин
131	4	Дуглас Норт
132	4	Сергей Старостин
133	4	Эрнандо
134	4	Данте
135	4	Холдейн
136	4	Ксенофонт
137	4	Пуанкаре
138	4	Лаплас
139	4	Ким Сен
140	4	Хрущев
141	4	Ганнинга
142	4	Сергей Гуриев
143	4	Кейнса
144	4	Гиппократ
145	4	Роберт
146	4	Горбачев
147	4	Сорокин
148	4	Кинси
149	4	Я-То
150	4	Ренан
151	4	Рузвельт
152	4	Чарльз Дарвин
153	4	Пешковский
154	4	Кропоткин
155	4	Хайек
156	4	Фукидида
157	4	Аристотеля
158	4	Штерн
159	4	Дарвина
160	4	Цицерон
161	4	Ельцин
162	4	Хомский
163	4	Апу
164	4	Плиний
165	4	Кругман
166	4	Фердинанд
167	4	Лотман
168	4	Томаса
169	4	Иова
170	4	Бурдье
171	4	Корнелльского
172	4	Декарта
173	4	Берия
174	4	Саша
175	4	Иванова
176	4	Канеман
177	4	Макс
178	4	Бартлетт
179	4	Бейкер
180	4	Массачусетского
181	4	Цуи
182	4	Британия
183	4	Вильгельм Вундт
184	4	Ключевский
185	4	Плунгян
186	4	Гудков
187	4	Толкин
188	4	Дэвид
189	4	Малларме
190	4	Портнова
191	4	Зиммель
192	4	Опанасенко
193	3	Рональд Коуз
194	3	Арнольд
195	3	Паскаль
196	3	Бен Бернанке
197	3	Павлова
198	3	Наталья Самутина
199	3	Харт
200	3	Жан
201	3	Омского
202	3	Сколтеха Игорь Ужинский
203	3	Зализняк
204	3	Бухарин
205	3	Крыштановский
206	3	Фукуяма
207	3	Павлов
208	3	Петербург
209	3	Ленина
210	3	Чернышевский
211	3	Юрий
212	3	Левада-Центра
213	3	Йозеф Шумпетер
214	3	Зиновьев
215	3	Герберт Саймон
216	3	Довженко
217	3	Джекила
218	3	Джекил
219	3	Кронгауза
220	3	Фома Аквинский
221	3	Шеллинг
222	3	Стивен Пинкер
223	3	Белянин
224	3	Гэри Беккер
225	3	Бахтина
226	3	Бердяев
227	3	Сота
228	3	Харшани
229	3	Шкловский
230	3	Карл Поппер
231	3	Керенского
