	index	left_context	left_word	named_entity	right_context
0	1850			Меньше	месяца осталось до начала воплощения проекта
1	191			Виталий Лазаревич Гинзбург	был поистине уникальной личностью. Гениальный ученый
2	1751			Альберт Эйнштейн	1879-1955 опубликовал труды сделавшие его знаменитыми
3	641			Серджио Канаверо	во время лекции в рамках проекта
4	1940	метра под поверхностью Марса .	.	Приборы	ACS и FREND разработаны в Институте
5	1164	из этой нелепой затеи .	.	Эддингтон	не только высказывался в пользу немцев
6	1930	разрешения 4 5 Мп .	.	Она	будет использована для создания точных цифровых
7	782	и Уайтом С. Levin .	.	R. Lippett	. R. К. White в 1939
8	944	курсу должен оставить порядок .	.	Лэйнг	вводит термин карта курса это экзистенциальная
9	39	под руководством Гарри Уиттингтона .	.	Саймон Конвей Моррис	Дерек Бриггс Дэвид Брутон Крис Хьюз
10	783	Levin . R. Lippett .	.	R. К. White	в 1939 году до сих пор
11	1870	в результате биологических процессов .	.	Большая	часть метана в атмосфере Земли образуется
12	2009	play можно прочитать здесь .	.	Эллиот Эведон	изучавший понятия play и game в
13	2049	в терминах музыкальной архитектуры .	.	Эйнштейн	был увлеченным любителем игры на скрипке
14	371	рубрике Как получить Нобелевку .	.	Оуэн Уилланс Ричардсон	Родился 26 апреля 1876 года Дьюсбери
15	1861	Trace Gas Orbi er .	.	Находясь	на орбите на высоте 400 километров
16	1067	ранним работам Джейн Джекобс .	.	Лукас	осознал сколь многим он как и
17	1669	специальную выставку посвященную Уличке .	.	Михаил Владимирович Алпатов	крупнейший советский искусствовед посвятил Уличке несколько
18	546	Джеймс Меллаарт James Mellaart .	.	Меллаарт	даже якобы видел эти камни но
19	1581	или притупленные эмоциональные реакции .	.	Блейлер	был поборником разговорной психотерапии активно использовал
20	1572	а Блейлера как психологический .	.	Ойген Блейлер	заведовал клиникой Бургхельцли при Цюрихском университете
21	1855	космическое агентство и Роскосмос .	.	На	14 марта назначен старт с космодрома
22	569	громких стал Пилтдаунский человек .	.	Чарлз Доусон	археолог-любитель в 1912 1913 годах продемонстрировал
23	931	фраза Ад это Другие .	.	Лэйнг	наблюдая больных шизофренией также пришел к
24	592	показателен взгляд Сьюзан Блэкмор .	.	Блэкмор	одна из крупнейших исследователей занимающихся изучением
25	328	сегодняшнем выпуске Истории науки .	.	Чарльз Доджсон	был как минимум четвертым Чарльзом в
26	646	Серджио Канаверо Sergio Canavero .	.	Канаверо	говорит о намерении пересадить голову парализованного
27	875	существенно повлиял Борис Успенский .	.	Михаил Бахтин	сильно повлиял на литературоведение особенно в
28	1976	основатели нового города Лондона .	.	Роджер Томлин	работает с табличкой На данный момент
29	1952	Тарелка идет на посадку .	.	Во	время спуска модуль будет собирать и
30	1886	поверхность Марса частиц комет .	.	Наконец	метан мог возникнуть в марсианских породах
31	345	ежедневной рубрики История науки .	.	Алексей Абрикосов	родился в очень необычной семье. Действительно
32	1029	о некоторых ошибках Энгельса .	.	Сталин	в 1939 году перечитывая Энгельса нашел
33	888	богословами той же Халленслебен .	.	Роуэн Уильямс	бывший архиепископ английской церкви написал книгу
34	1759	не играет в кости .	.	Эйнштейн	считал что на самом деле все
35	1902	участника проекта Exo Mars .	.	Приборы	орбитального аппарата способны обнаружить не только
36	1807	животного по конфигурации головы .	.	Галль	утверждал что каждое умственное или психическое
37	1117	за пределы геометрии Евклида .	.	Евклид	сформулировал правила для линий и форм
38	64	Зорин Водка. Национальный продукт 1	1	Сергей Хоружий	. Духовная и культурная традиции России
39	1532	упоминать в обществе. В 1580-х	1580-х	Мишель де Монтень	писал что гульфик это пустая и
40	613	автор Исторической поэтики 1870 1902	1902	Александр Веселовский	рассматривал такие сюжеты как постоянные величины
41	1139	до смерти Эльзы в 1936-м.	1936-м.	Эйнштейн	прибыл в Берлин в начале Первой
42	573	своих книг Эгоистичный ген 1976	1976	Докинз	рассуждает о том что отличает человека
43	149	пригласили Дадли Хершбаха химия 1986	1986	Эрика Маскина	экономика 2007 Ричарда Робертса физиология и
44	120	1986 Эрика Маскина экономика 2007	2007	Ричарда Робертса	физиология и медицина 1993 и Роя
45	1917	Schiaparelli на вибрационных испытаниях 2015	2015	Научные	приборы орбитального аппарата имеют собственные имена.
46	284	Архив Куренниеми или увидимся 2048-м	2048-м	Эркки Куренниеми	на протяжении своей плодотворной жизни был
47	348	теорминимум Ландау . В 23	23	Абрикосов	уже стал кандидатом наук написав под
48	464	образцов растений из которых 3000	3000	Коммерсон	описал как новые В 1776 году
49	1929	em высокого разрешения 4 5	5	Мп	. Она будет использована для создания
50	1386	чтении необходимо не меньше 500	500	Гц	. На илл. 3 изображены два
51	1580	5А иногда 4А или 6А	6А	Блейлера	так как главные ядерные симптомы шизофрении
52	1920	a io for M Ars	Ars	Discovery	это скомбинированные два инфракрасных и один
53	638	что сможет закрыть эксперимент Cannex.	Cannex.	Almasi	et al. Авторы рассчитывают что измеряя
54	3	сотрудниками IBM Almaden Research Center	Center	Дональдом Эйглером	и Эрхардом Швейцером в 1990 году
55	311	под руководством Данте Миннити Dante	Dante	Minniti	из Университета Андреса Белло и Родриго
56	715	провалил несколько экзаменов. Университет ETHZ	ETHZ	Эйнштейн	закончил в 1900 году с дипломом
57	1961	Schiaparelli Второй этап проекта Exo	Exo	Mars	должен начаться в 2018 или 2020
58	1901	rover второго участника проекта Exo	Exo	Mars	. Приборы орбитального аппарата способны обнаружить
59	1905	на первом этапе проекта Exo	Exo	Mars	уточнить свои представления о механизмах появления
60	1852	до начала воплощения проекта Exo	Exo	Mars	который в течение долгих лет готовят
61	1868	Хорхе Ваго участник проекта Exo	Exo	Mars	. И мы будем использовать его
62	1964	на Марс отправится марсоход Exo	Exo	Mars	rover. На планету будет спущена посадочная
63	1899	для посадки наземного аппарата Exo	Exo	Mars	rover второго участника проекта Exo Mars
64	1933	еще и нейронный детектор FREND	FREND	Fi	e Resolu io Epi hermal Neu
65	1896	вещество марсианской атмосферы. Trace Gas	Gas	Orbi	er будет оборудован высокоточными спектрометрами которые
66	1911	которые способен определять Trace Gas	Gas	Orbi	er есть также вода гидропероксил оксиды
67	1860	носит название TGO Trace Gas	Gas	Orbi	er . Находясь на орбите на
68	1915	частей на триллион. Trace Gas	Gas	Orbi	er и модуль Schiaparelli на вибрационных
69	711	на сайте британской компании Hotcourses.ru.	Hotcourses.ru.	Альберт Эйнштейн	Фамилия Эйнштейн пожалуй первой приходит на
70	624	от ПетраI до Николая II	II	Иван Курилла	автор книги История или Прошлое в
71	306	университета и Джанет Монтгомери Jannette	Jannette	Montgomery	у жертв голода имеется характерное соотношение
72	1918	аппарата имеют собственные имена. NOMAD	NOMAD	Nadir	a d Occul a io for
73	268	был математик доктор наук PHD	PHD	Тауно Куренниеми	матерью поэтесса автор детских песен Мариэтта
74	626	и фиванца. Harvard University Press	Press	Малкольм Девис	филолог-классицист из колледжа св. Иоанна в
75	336	Media Museum Global Look Press	Press	Доджсон	-математик и логик занимался как серьезной
76	1317	monoptericum. При описании рода Protopityospermum	Protopityospermum	Савицкая	не отметила его сходства с родом
77	1876	На нем установлен прибор SAM	SAM	Sample	A alysis a Mars предназначенный для
78	1925	установлена цветная стереокамера Ca SSIS	SSIS	Colour	a d S ereo Surface Imagi
79	1959	пылевых бурь. Макет модуля Schiaparelli	Schiaparelli	Второй	этап проекта Exo Mars должен начаться
80	719	университет. Изображение NSiomava ФОТОДОМ Shutterstock	Shutterstock	Александр Флеминг	Новатор исследователь и создатель первого антибиотика
81	733	Изображение Andrei Nekrassov ФОТОДОМ Shutterstock	Shutterstock	Зигмунд Фрейд	Зигмунд Фрейд главный психоаналитик всех времен
82	740	Изображение Kiev. Victor ФОТОДОМ Shutterstock	Shutterstock	Френсис Крик	и Джеймс Уотсон Имена Френсиса Крика
83	1927	a d S ereo Surface	Surface	Imagi	g Sys em высокого разрешения 4
84	1967	будет спущена посадочная платформа Surface	Surface	Scie	ce Pla form которая сама по
85	1858	программе. Он носит название TGO	TGO	Trace	Gas Orbi er . Находясь на
86	763	беспилотных транспортных средств Cognitive Technologies	Technologies	Юрий Минкин	. Это похоже на ситуацию с
87	1914	десятков частей на триллион. Trace	Trace	Gas	Orbi er и модуль Schiaparelli на
88	1859	Он носит название TGO Trace	Trace	Gas	Orbi er . Находясь на орбите
89	1910	веществ которые способен определять Trace	Trace	Gas	Orbi er есть также вода гидропероксил
90	1895	распространенное вещество марсианской атмосферы. Trace	Trace	Gas	Orbi er будет оборудован высокоточными спектрометрами
91	1307	роду - T. insignis Zalessky.	Zalessky.	М.Ф. Нейбург	в 1948 году воспроизвела изображения таибий
