	NE_num	file	genre	num_words	rubric
1	1	70398.txt	Лекции	1497	Физиология человека
2	3	7917.txt	Лекции	2080	История
3	1	43381.txt	Лекции	1041	Биология
4	1	47814.txt	Лекции	1079	История
5	1	45707.txt	Лекции	734	Физика
6	3	nplus1.ru-blog-2015-11-16-galaxies.txt	Блоги	1587	Космос
7	6	61275.txt	Лекции	1572	Общее
8	1	2012_03_29_meshcheryakov_.txt	Лекции	9152	Культура
9	1	nplus1.ru-blog-2017-04-26-Astrochannel-47.txt	Блоги	34	Общее
10	3	2007_02_15_klimenko_.txt	Лекции	10092	Науки о земле
11	1	nplus1.ru-blog-2016-10-31-Neandertals-and-someone-else.txt	Блоги	738	Биология
12	1	73039.txt	Лекции	1230	Культура
13	2	65231.txt	Лекции	1579	Экономика
14	2	2012_12_18_pg_.txt	Лекции	2514	Общее
15	1	12559.txt	Лекции	3559	Физика
16	1	47550.txt	Лекции	1292	Математика
17	3	50706.txt	Лекции	1330	Психология
18	1	75093.txt	Лекции	1357	Культура
19	15	2013_10_27_tahtadjyan_.txt	Лекции	9690	Математика
20	1	46378.txt	Лекции	1352	Физиология человека
21	2	75751.txt	Лекции	1296	Философия
22	6	35754.txt	Лекции	3856	Экономика
23	1	2005_07_05_pappe_.txt	Лекции	4835	Экономика
24	3	2007_01_29_kuznezov_.txt	Лекции	14580	Социология
25	2	7721.txt	Лекции	1413	История
26	1	72339.txt	Лекции	1938	Биология
28	2	82575.txt	Лекции	1521	Математика
29	3	37967.txt	Лекции	2871	История
30	1	39746.txt	Лекции	1156	Биология
31	1	71676.txt	Лекции	700	Космос
32	6	2006_04_04_valdman_.txt	Лекции	10521	Экономика
33	3	company_piter_blog_271886.txt	Блоги	2469	Физика
34	1	58549.txt	Лекции	2375	Физика
35	6	66423.txt	Лекции	2749	Культура
36	3	24472.txt	Лекции	1355	Общее
37	8	2016_08_13_smirnov_lecture_.txt	Лекции	9197	Культура
38	4	69070.txt	Лекции	1689	Экономика
39	7	2016_12_17_saburova_lecture_.txt	Лекции	8422	История
40	4	31223.txt	Лекции	4529	История
41	3	2010_01_14_severotsentrizm_.txt	Лекции	10996	Социология
42	4	79776.txt	Лекции	2679	Космос
43	4	2978.txt	Лекции	185	История
44	4	2978.txt	Лекции	3406	История
45	1	74648.txt	Лекции	1139	Математика
46	7	2008_11_21_gudkov_.txt	Лекции	14142	Социология
47	1	7276.txt	Лекции	958	Физика
48	1	66195.txt	Лекции	486	Физиология человека
49	2	79118.txt	Лекции	3059	История
50	2	company_audiomania_blog_242162.txt	Блоги	2083	Технологии
51	1	31679.txt	Лекции	453	История
52	1	2016_05_22_vlassov_lec1_.txt	Лекции	11354	Физиология человека
53	1	74128.txt	Лекции	1260	Математика
54	2	company_madrobots_blog_264468.txt	Блоги	696	Технологии
55	4	50668.txt	Лекции	1692	История
56	1	7764.txt	Лекции	30	Философия
57	2	company_audiomania_blog_252532.txt	Блоги	278	Технологии
58	15	company_piter_blog_274871.txt	Блоги	4661	Физиология человека
59	1	77177.txt	Лекции	1074	История
60	1	12739.txt	Лекции	309	Язык
61	4	nplus1.ru-blog-2017-06-14-Willard.txt	Блоги	386	Общее
62	2	16215.txt	Лекции	1428	Язык
63	1	67173.txt	Лекции	1302	Психология
64	4	38785.txt	Лекции	1059	Химия
65	7	55233.txt	Лекции	2560	Космос
66	12	2010_07_16_icon_.txt	Лекции	9599	Культура
67	6	2010_07_26_zaprety_.txt	Лекции	11030	Социология
68	1	2005_11_09_mudrak_.txt	Лекции	9995	Язык
69	4	45294.txt	Лекции	1456	Общее
70	2	2012_02_01_zubarevich_.txt	Лекции	9578	Общее
71	1	34977.txt	Лекции	2302	История
72	1	company_ibm_blog_279256.txt	Блоги	603	Computer Science
73	1	76484.txt	Лекции	1739	Физиология человека
74	3	2009_06_11_onischenko_.txt	Лекции	7940	Физика
75	3	nplus1.ru-blog-2015-11-11-delovoennyh.txt	Блоги	2374	Общее
85	4	392.txt	Лекции	88	Биология
86	4	392.txt	Лекции	185	Культура
87	4	392.txt	Лекции	1112	Математика
88	4	392.txt	Лекции	2794	Культура
89	4	392.txt	Лекции	2822	Культура
90	4	392.txt	Лекции	2433	Экономика
91	1	2013_11_10_arabskaya_vesna_.txt	Лекции	4910	Культура
92	4	66990.txt	Лекции	3234	История
93	1	company_scione_blog_281022.txt	Блоги	687	Физиология человека
95	2	66832.txt	Лекции	1609	Физиология человека
96	3	nplus1.ru-blog-2016-11-29-VR-crime-and-punishment.txt	Блоги	1046	Технологии
97	5	53685.txt	Лекции	2518	Общее
98	3	34726.txt	Лекции	988	Физиология человека
99	1	50071.txt	Лекции	991	История
100	1	nplus1.ru-blog-2015-05-18-vezdehod.txt	Блоги	272	Общее
101	5	2015_11_21_transformation_.txt	Лекции	9925	Социология
102	4	81793.txt	Лекции	2892	Культура
103	1	27962.txt	Лекции	1949	Космос
105	2	399.txt	Лекции	980	Физиология человека
106	2	399.txt	Лекции	1020	Биология
107	2	399.txt	Лекции	2026	Культура
108	2	399.txt	Лекции	2336	Социология
109	1	29125.txt	Лекции	1138	Физика
110	1	22241.txt	Лекции	929	История
111	1	68925.txt	Лекции	1083	История
112	1	73469.txt	Лекции	2697	История
113	1	21573.txt	Лекции	6161	Философия
114	8	2006_06_06_miller3_.txt	Лекции	9210	История
115	2	nplus1.ru-blog-2017-02-16-time-and-subjectivity.txt	Блоги	1812	Психология
116	1	71157.txt	Лекции	1248	История
117	1	2004_06_04_sudreforma_.txt	Лекции	9699	Социология
118	1	3967.txt	Лекции	3400	История
119	1	73754.txt	Лекции	1397	Физика
120	1	36581.txt	Лекции	289	История
121	4	7114.txt	Лекции	1178	Социология
122	3	2009_12_03_epshteyn_.txt	Лекции	11539	История
123	3	36801.txt	Лекции	2006	История
124	1	company_vertdider_blog_241116.txt	Блоги	145	Физика
126	1	80104.txt	Лекции	1208	Экономика
127	1	37964.txt	Лекции	286	Общее
128	3	2004_11_11_kagan_.txt	Лекции	10765	Науки о земле
129	1	47454.txt	Лекции	1215	Биология
130	1	51365.txt	Лекции	1102	Психология
131	1	82023.txt	Лекции	1689	Физиология человека
132	1	2010_08_12_riabov_.txt	Лекции	12409	Политология
133	4	company_misis_blog_278422.txt	Блоги	366	Физика
134	9	2011_05_06_bauman_.txt	Лекции	6197	Социология
135	2	nplus1.ru-blog-2017-03-10-voyage-of-time.txt	Блоги	299	Общее
136	2	25919.txt	Лекции	1922	История
137	1	41695.txt	Лекции	681	Физиология человека
139	1	66322.txt	Лекции	516	Биология
140	3	nplus1.ru-blog-2016-11-21-money-labour-satisfaction.txt	Блоги	944	Психология
141	3	2012_12_03_nuclear_.txt	Лекции	6973	Технологии
142	2	57524.txt	Лекции	1453	Язык
143	1	65720.txt	Лекции	1381	Общее
144	2	2008_05_23_geny_.txt	Лекции	7223	Биология
145	1	company_vertdider_blog_285264.txt	Блоги	150	Физиология человека
146	2	nplus1.ru-blog-2016-01-11-chimera.txt	Блоги	638	Общее
147	1	2006_06_26_polterovich_.txt	Лекции	10838	Экономика
148	1	82498.txt	Лекции	1643	Экономика
149	2	43843.txt	Лекции	1278	Культура
150	7	2005_06_15_yavlinsky_.txt	Лекции	13662	Политология
151	1	23290.txt	Лекции	4038	Физиология человека
152	1	33814.txt	Лекции	341	Общее
153	8	2010_12_10_bobrovsky_.txt	Лекции	9869	Химия
154	4	2006_06_02_tomchin_.txt	Лекции	8418	Социология
156	1	74126.txt	Лекции	2604	Математика
157	9	40882.txt	Лекции	1456	Культура
158	6	12110.txt	Лекции	2954	Общее
159	2	65366.txt	Лекции	781	Биология
160	1	38356.txt	Лекции	867	Психология
161	5	2016_06_05_authoritarianism_.txt	Лекции	10714	Политология
162	5	company_icover_blog_268308.txt	Блоги	922	Технологии
163	12	company_mailru_blog_292305.txt	Блоги	1438	Общее
164	1	14277.txt	Лекции	1387	Общее
166	2	47300.txt	Лекции	1473	История
167	1	21285.txt	Лекции	151	Физика
168	1	company_audiomania_blog_291039.txt	Блоги	643	Технологии
170	1	69456.txt	Лекции	753	Культура
172	1	68394.txt	Лекции	2955	История
