	Term	Freq
0	разработчик	55
1	соцсеть	50
2	программист	43
3	математик	42
4	робот	33
5	сервис	31
6	ноль	31
7	нейрон	30
8	вычисление	28
9	биология	27
10	код	25
11	смартфон	23
12	прима	19
13	изобретатель	18
14	биолог	17
15	гипотеза	17
16	распознавание	16
17	сми	16
18	информатика	16
19	программирование	15
20	процессор	15
21	робототехника	15
22	предсказание	14
23	визуализация	14
24	формат	14
25	аналогия	13
26	иллюстрация	13
27	аспирант	13
28	перемещение	13
29	аналог	13
30	интеллект	12
31	монитор	12
32	сервер	12
33	графика	12
34	инновация	12
35	веб	11
36	квадрат	11
37	теорема	11
38	интерфейс	11
39	мутация	11
40	обнаружение	11
41	дизайнер	10
42	комбинация	10
43	олимпиада	10
44	случайность	10
45	корреляция	10
46	лингвист	10
47	софт	10
48	землетрясение	10
49	социолог	10
50	электроника	10
51	динамик	10
52	индустрия	9
53	аналитик	9
54	интеграция	9
55	грант	9
56	подкрепление	9
57	анимация	9
58	мгу	9
59	модуль	9
60	доброволец	9
61	белка	8
62	портал	8
63	презентация	8
64	достоверность	8
65	индекс	8
66	контент	8
67	значимость	8
68	бот	8
69	чип	8
70	синапс	8
71	геометрия	8
72	матрица	8
73	максимум	8
74	планшет	8
75	тренд	8
76	аккаунт	8
77	борис	8
78	патент	8
79	кат	8
80	вашингтон	8
81	предпосылка	8
82	кодирование	8
83	настройка	8
84	написание	8
85	шашка	7
86	коммуникация	7
87	реж	7
88	симуляция	7
89	отклонение	7
90	магистр	7
91	переписка	7
92	выборка	7
93	прототип	7
94	диапазон	7
95	оригинал	7
96	фильтр	7
97	обзор	7
98	продвижение	7
99	химик	7
100	отдельность	7
101	секция	7
102	массив	7
103	астрономия	7
104	пиксел	7
105	шимпанзе	7
106	червь	7
107	ноутбук	7
108	нахождение	7
109	предшественник	7
110	исток	7
111	бесконечность	7
112	запуск	7
113	искажение	7
114	схожесть	7
115	рецензент	6
116	составление	6
117	идентификация	6
118	цитирование	6
119	текстура	6
120	альтернатива	6
121	правка	6
122	расшифровка	6
123	осознание	6
124	траектория	6
125	эмуляция	6
126	издержка	6
127	экономист	6
128	микрофон	6
129	слайд	6
130	злоумышленник	6
131	движок	6
132	тематика	6
133	днк	6
134	доцент	6
135	автоматизация	6
136	исправление	6
137	мор	6
138	прошедшее	6
139	экспонент	6
140	калькулятор	6
141	стимул	6
142	х	6
143	эвм	6
144	клавиатура	6
145	биоинформатика	6
146	спецслужба	6
147	эпидемия	6
148	датчик	6
149	логин	6
150	воз	6
151	длительность	6
152	спам	6
153	взаимосвязь	6
154	бактерия	6
155	координата	6
156	навигация	6
157	медик	6
158	сеул	6
159	астроном	6
160	ньютон	6
161	чувствительность	6
162	проигрыш	6
163	классификация	5
164	телескоп	5
165	аспирантура	5
166	диаграмма	5
167	зарождение	5
168	карьер	5
169	выживание	5
170	модификация	5
171	рекорд	5
172	конгресс	5
173	попадание	5
174	транзистор	5
175	поливать	5
176	кибербезопасность	5
177	наблюдатель	5
178	энтузиаст	5
179	приближение	5
180	мотивация	5
181	александрович	5
182	мозги	5
183	заголовок	5
184	утечка	5
185	аккумулятор	5
186	извлечение	5
187	упоминание	5
188	куратор	5
189	экспериментатор	5
190	контур	5
191	обучающийся	5
192	инфографика	5
193	сборка	5
194	триггер	5
195	биржа	5
196	ита	5
197	бриллиант	5
198	хакатон	5
199	анонимность	5
200	владение	5
201	лингвистика	5
202	ректор	5
203	прогнозирование	5
204	криптография	5
205	покер	5
206	манипуляция	5
207	отметка	5
208	разновидность	5
209	диагноз	5
210	нейроинтерфейс	5
211	нейробиология	5
212	генератор	5
213	электрод	5
214	полезность	5
215	зомби	5
216	перцептрон	5
217	пульс	5
218	плюс	5
219	чат	5
220	топология	5
221	кластер	5
222	кривой	5
223	ничья	5
224	невозможность	5
225	прообраз	5
226	парадокс	5
227	генетика	5
228	словосочетание	4
229	р	4
230	травма	4
231	оцифровка	4
232	филология	4
233	особа	4
234	машиностроение	4
235	маркетолог	4
236	контроллер	4
237	фантастика	4
238	кора	4
239	доступность	4
240	дендрит	4
241	глагол	4
242	сан	4
243	видеоролик	4
244	подключение	4
245	поддержание	4
246	соискатель	4
247	отображение	4
248	комбинаторика	4
249	осьминог	4
250	сканер	4
251	оптимизация	4
252	нано	4
253	симптом	4
254	сочи	4
255	электростанция	4
256	оптимизм	4
257	фреймворк	4
258	трансформация	4
259	метеоролог	4
260	трафик	4
261	прохождение	4
262	кибернетика	4
263	треугольник	4
264	насекомое	4
265	страничка	4
266	активация	4
267	резидент	4
268	нейрофизиолог	4
269	синхронизация	4
270	генерация	4
271	ячейка	4
272	гибрид	4
273	слежка	4
274	разумность	4
275	вертикаль	4
276	паразит	4
277	гаусс	4
278	стенд	4
279	продюсер	4
280	кибернетик	4
281	фотон	4
282	склонность	4
283	приемник	4
284	взаимоотношение	4
285	вознаграждение	4
286	останки	4
287	такжей	4
288	совпадение	4
289	авто	4
290	концепт	4
291	смертность	4
292	блокчейн	4
293	уязвимость	4
294	синоним	4
295	такжеигра	4
296	цитируемость	4
297	симулятор	4
298	мембрана	4
299	фора	4
300	кластеризация	4
301	особь	4
302	деление	4
303	найм	4
304	егэ	4
305	коммент	4
306	интерпретация	4
307	диабет	4
308	самоубийство	4
309	терминатор	4
310	республиканец	4
311	уточнение	4
312	функционал	4
313	винить	4
314	компетенция	4
315	вторжение	4
316	импульс	4
317	кандидатура	4
318	антивирус	4
319	аминокислота	4
320	палеонтолог	4
321	автопилот	4
322	теннис	4
323	послесловие	4
324	мкс	4
325	бит	4
326	метрика	4
327	пробирка	4
328	шаблон	4
329	вымирание	4
330	предпринимательство	4
331	пробел	4
332	предпочтение	4
333	виртуальность	4
334	наушник	4
335	псевдоним	4
336	юриспруденция	4
337	выработка	4
338	терабайт	4
339	реванш	4
340	пи	4
341	физиология	4
342	принтер	4
343	толщина	4
344	сдвиг	4
345	стартапер	4
346	толчок	4
347	эмпатия	3
348	крупица	3
349	нищета	3
350	популяризация	3
351	переезд	3
352	обочина	3
353	доработка	3
354	валентинович	3
355	разъяснение	3
356	автономность	3
357	гравитация	3
358	кардиограмма	3
359	размножение	3
360	замещение	3
361	пик	3
362	станок	3
363	поисковик	3
364	эндшпиль	3
365	перфекционист	3
366	медитация	3
367	исчезновение	3
368	обновление	3
369	ргг	3
370	марс	3
371	аксон	3
372	транзакция	3
373	противоположность	3
374	минск	3
375	окружность	3
376	противодействие	3
377	сетчатка	3
378	рей	3
379	болельщик	3
380	каталина	3
381	представительница	3
382	алгебра	3
383	футболист	3
384	выезд	3
385	документация	3
386	имплантат	3
387	сосредоточенность	3
388	оао	3
389	йод	3
390	автобиография	3
391	синтезатор	3
392	пресс	3
393	верификация	3
394	противостояние	3
395	существительное	3
396	освещение	3
397	комикс	3
398	вектор	3
399	работоспособность	3
400	троицкий	3
401	откровение	3
402	железка	3
403	боязнь	3
404	нит	3
405	адаптация	3
406	планка	3
407	флешка	3
408	диспетчер	3
409	ритейл	3
410	дисплей	3
411	предрасположенность	3
412	бессмертие	3
413	космонавтика	3
414	конфигуратор	3
415	посредник	3
416	правитель	3
417	мистер	3
418	транскрипция	3
419	латынь	3
420	шифр	3
421	саморазвитие	3
422	умолчание	3
423	вещание	3
424	респондент	3
425	терминология	3
426	галактика	3
427	быстрота	3
428	инопланетянин	3
429	мишень	3
430	электросеть	3
431	задачка	3
432	лазейка	3
433	несовершенство	3
434	коммерция	3
435	константинович	3
436	передвижение	3
437	досуг	3
438	кругозор	3
439	повреждение	3
440	самосознание	3
441	физиолог	3
442	воспроизведение	3
443	манускрипт	3
444	призрак	3
445	фокус	3
446	инструментарий	3
447	вариация	3
448	ас	3
449	пометка	3
450	рентген	3
451	радар	3
452	абстракция	3
453	нажатие	3
454	планирование	3
455	гранит	3
456	симпатия	3
457	перспективность	3
458	автоматика	3
459	демон	3
460	торрент	3
461	латы	3
462	лотерея	3
463	львович	3
464	ганновер	3
465	редкость	3
466	мэи	3
467	динозавр	3
468	кредо	3
469	перфокарта	3
470	отросток	3
471	вундеркинд	3
472	похожесть	3
473	лицей	3
474	манипулятор	3
475	возмущение	3
