	Term	Freq
0	разработчик	1612
1	гипотеза	1435
2	орбита	1387
3	астроном	1231
4	археолог	1078
5	робот	1057
6	соцсеть	1001
7	марс	986
8	запуск	960
9	бактерия	892
10	днк	884
11	биолог	863
12	электрон	826
13	ноль	799
14	толщина	675
15	телескоп	674
16	обнаружение	671
17	излучение	664
18	иллюстрация	614
19	прототип	613
20	галактика	610
21	насекомое	608
22	смартфон	603
23	нейрон	573
24	останки	571
25	мкс	562
26	биология	549
27	раскопка	527
28	мутация	514
29	водород	508
30	фотон	503
31	химик	497
32	аналог	482
33	белка	475
34	борис	469
35	датчик	463
36	протон	445
37	лазер	440
38	зонд	440
39	реж	440
40	популяция	436
41	повреждение	435
42	гравитация	433
43	мор	432
44	радиус	428
45	диапазон	427
46	фермент	419
47	юпитер	415
48	хищник	412
49	сми	407
50	аналогия	406
51	генетик	402
52	максимум	399
53	астероид	396
54	прима	395
55	математик	391
56	модуль	389
57	обезьяна	385
58	млекопитающее	383
59	импульс	372
60	комета	364
61	перемещение	361
62	планка	359
63	суша	358
64	доброволец	355
65	потомство	353
66	космонавт	353
67	медик	352
68	вакуум	352
69	палеонтолог	349
70	детектор	339
71	испытуемый	337
72	астрономия	335
73	наблюдатель	332
74	траектория	325
75	плутон	324
76	кристалл	323
77	предсказание	321
78	обзор	319
79	электрод	319
80	скелет	319
81	вашингтон	318
82	дальность	318
83	электроника	317
84	микроскоп	313
85	пик	306
86	экспериментатор	304
87	продолжительность	302
88	вычисление	301
89	древность	300
90	особь	300
91	вращение	300
92	аккумулятор	299
93	углерод	298
94	азот	297
95	комбинация	296
96	интенсивность	296
97	сборка	296
98	патент	294
99	сан	293
100	печень	293
101	ион	288
102	выброс	288
103	грант	287
104	сатурн	287
105	попадание	283
106	распад	283
107	тяга	282
108	взлет	281
109	изобретатель	281
110	предшественник	280
111	удаление	280
112	антибиотик	279
113	отклонение	277
114	выживание	276
115	чувствительность	276
116	кратер	275
117	венера	273
118	гелий	273
119	микроорганизм	272
120	рекорд	271
121	нейтрон	271
122	рецептор	270
123	физиология	270
124	шимпанзе	268
125	аспирант	267
126	яркость	267
127	графика	265
128	заряд	264
129	космодром	261
130	метан	261
131	колония	260
132	мгу	260
133	прохождение	258
134	емкость	258
135	примат	256
136	поселение	256
137	бак	254
138	социолог	254
139	обсерватория	254
140	сервис	253
141	программист	252
142	окрестность	251
143	захоронение	251
144	титан	250
145	ускорение	249
146	антрополог	249
147	размножение	248
148	ориентация	248
149	приближение	248
150	заражение	246
151	стресс	245
152	добавление	245
153	поддержание	243
154	экзопланета	242
155	корреляция	241
156	радар	241
157	отдельность	240
158	формулировка	239
159	европеец	239
160	нас	239
161	склонность	239
162	симптом	238
163	выборка	238
164	упоминание	238
165	длительность	237
166	астронавт	235
167	инновация	234
168	опухоль	234
169	артефакт	233
170	антенна	233
171	динозавр	232
172	травма	231
173	употребление	230
174	активация	229
175	эмбрион	228
176	астрофизик	228
177	препринт	227
178	кора	226
179	геном	226
180	плазма	225
181	квадрат	224
182	истребитель	224
183	динамик	224
184	нейтрино	224
185	мембрана	223
186	депрессия	222
187	оригинал	222
188	выработка	221
189	лингвист	220
190	передвижение	220
191	альтернатива	219
192	охлаждение	218
193	капсула	218
194	адаптация	217
195	коммуникация	216
196	кишечник	216
197	распознавание	215
198	эпидемия	215
199	кат	213
200	генератор	213
201	минерал	213
202	скопление	213
203	ловушка	212
204	пиксел	210
205	экономист	210
206	диагноз	210
207	воз	209
208	личинка	208
209	квадрокоптер	207
210	грунт	207
211	модификация	207
212	кремний	206
213	предпочтение	206
214	код	205
215	рим	205
216	отправка	204
217	промежуток	203
218	интерпретация	203
219	смертность	202
220	геолог	201
221	задержка	201
222	диабет	198
223	паразит	198
224	терапия	198
225	презентация	198
226	тысячелетие	197
227	иммунитет	197
228	манипулятор	197
229	пробирка	197
230	теоретик	197
231	формат	196
232	меркурий	194
233	особа	194
234	диета	193
235	пожилой	193
236	сородич	193
237	гормон	193
238	слияние	193
239	прочность	189
240	парадокс	189
241	алюминий	189
242	редкость	188
243	метеорит	188
244	монета	187
245	полюс	187
246	погребение	186
247	матрица	186
248	фильтр	184
249	помеха	184
250	мишень	184
251	медь	184
252	координата	184
253	трансляция	183
254	серебро	183
255	полигон	182
256	комплект	182
257	портал	181
258	местоположение	181
259	планшет	180
260	созвездие	180
261	графный	180
262	обломок	180
263	обозначение	179
264	грызунов	179
265	неандерталец	179
266	ожирение	179
267	космонавтика	178
268	невозможность	178
269	диагностика	178
270	взаимосвязь	178
271	разновидность	177
272	шкала	177
273	синдром	176
274	уран	176
275	ультрафиолет	176
276	землетрясение	175
277	вакцина	175
278	мыс	175
279	микрофон	175
280	пластик	175
281	инсульт	174
282	поглощение	174
283	миллиметр	174
284	интервал	174
285	астрофизика	173
286	исчезновение	173
287	червь	173
288	массив	173
289	манипуляция	172
290	кривой	172
291	радиация	172
292	миграция	171
293	зоолог	171
294	стимул	171
295	классификация	171
296	мотивация	170
297	социология	170
298	экватор	169
299	деление	169
300	освещение	168
301	трещина	168
302	конечность	167
303	плацебо	167
304	контейнер	166
305	гамма	165
306	случайность	165
307	детеныш	165
308	чип	164
309	сжатие	164
310	робототехника	163
311	интеллект	162
312	старение	162
313	прошедшее	162
314	микроб	162
315	подключение	161
316	искажение	161
317	маневр	160
318	аминокислота	160
319	ускоритель	160
320	подсчет	159
321	магнит	158
322	энтузиаст	158
323	бесконечность	158
324	ноутбук	158
325	электромобиль	158
326	принтер	158
327	деформация	157
328	сера	157
329	вибрация	157
330	загрязнение	157
331	тематика	157
332	выращивание	157
333	нагревание	156
334	мониторинг	156
335	вулкан	155
336	экология	155
337	значимость	155
338	линза	154
339	метаболизм	154
340	проникновение	154
341	сбой	154
342	окаменелость	154
343	дефект	154
344	отметка	154
345	сближение	154
346	кластер	153
347	пересадка	153
348	нахождение	153
349	вич	153
350	геометрия	153
351	вектор	152
352	рассылка	151
353	обновление	151
354	плюс	151
355	алмаз	150
356	уточнение	150
357	индекс	150
358	аполлон	150
359	заблуждение	150
360	наушник	149
361	лихорадка	149
362	парашют	149
363	рацион	148
364	работоспособность	148
365	прощение	148
366	бета	148
367	корма	148
368	доработка	147
369	обитатель	147
370	шизофрения	147
