	Term	Freq
0	биолог	400
1	бактерия	368
2	днк	340
3	насекомое	302
4	гипотеза	259
5	нейрон	216
6	популяция	216
7	мутация	208
8	белка	200
9	млекопитающее	195
10	хищник	194
11	потомство	194
12	палеонтолог	188
13	фермент	174
14	обезьяна	166
15	генетик	162
16	особь	154
17	личинка	137
18	размножение	136
19	геном	126
20	биология	125
21	сородич	121
22	останки	120
23	шимпанзе	119
24	рецептор	112
25	эмбрион	110
26	примат	106
27	зоолог	106
28	кишечник	104
29	антибиотик	102
30	печень	102
31	детеныш	99
32	заражение	96
33	энтомолог	94
34	грызунов	93
35	иммунитет	90
36	динозавр	88
37	микроорганизм	87
38	физиология	86
39	паразит	86
40	реж	85
41	колония	81
42	рептилия	80
43	медик	78
44	выживание	77
45	червь	77
46	суша	77
47	дрозофила	76
48	пробирка	76
49	повреждение	75
50	корма	75
51	гормон	75
52	активация	74
53	диабет	73
54	соцсеть	72
55	грызун	72
56	хромосома	70
57	спаривание	70
58	стресс	69
59	микроскоп	68
60	скелет	68
61	орнитолог	67
62	неволя	66
63	яйцеклетка	65
64	челюсть	65
65	вакцина	63
66	опухоль	63
67	адаптация	63
68	поливать	62
69	эпидемия	62
70	кора	62
71	микроб	61
72	экспрессия	60
73	вымирание	60
74	ожирение	60
75	окаменелость	59
76	митохондрия	59
77	выработка	59
78	смертность	58
79	аминокислота	58
80	старение	57
81	оплодотворение	57
82	сан	56
83	рацион	56
84	обнаружение	56
85	диета	56
86	воз	56
87	экспериментатор	55
88	терапия	55
89	чувствительность	54
90	метаболизм	54
91	малярия	54
92	леса	54
93	мембрана	54
94	моллюск	51
95	дрожжи	51
96	сперматозоид	51
97	матка	51
98	доброволец	51
99	симптом	50
100	воспаление	50
101	транскрипция	50
102	испытуемый	50
103	деление	50
104	синдром	49
105	археолог	49
106	аналог	49
107	мор	49
108	глюкоза	48
109	патоген	48
110	ископаемый	48
111	попадание	48
112	пересадка	48
113	продолжительность	47
114	конечность	46
115	окраска	46
116	вич	46
117	ноль	46
118	ловушка	46
119	экосистема	45
120	склонность	45
121	депрессия	44
122	водоросль	44
123	генетика	44
124	лихорадка	43
125	нуклеотид	43
126	инъекция	42
127	употребление	42
128	миграция	42
129	почка	42
130	диагноз	42
131	выборка	41
132	укус	41
133	микробиолог	41
134	эукариот	41
135	планка	41
136	исчезновение	40
137	выращивание	40
138	бета	40
139	стая	40
140	разработчик	40
141	неандерталец	40
142	европеец	39
143	рнк	39
144	аквариум	38
145	токсин	38
146	корреляция	38
147	возбудитель	38
148	шизофрения	38
149	электрод	38
150	предпочтение	37
151	приспособление	37
152	разновидность	37
153	толщина	37
154	травма	36
155	фотосинтез	36
156	фмрт	36
157	обзор	35
158	инсульт	35
159	перемещение	35
160	оптогенетика	35
161	иллюстрация	35
162	максимум	35
163	мгу	35
164	ион	35
165	архей	35
166	генотип	35
167	эколог	34
168	аутизм	34
169	регуляция	34
170	диагностика	34
171	вашингтон	34
172	водоем	34
173	поддержание	34
174	окрестность	34
175	удаление	34
176	ареал	34
177	аналогия	33
178	борис	33
179	антропогенез	33
180	робот	33
181	передвижение	33
182	ориентация	33
183	трансплантация	32
184	аспирант	32
185	химик	32
186	проникновение	32
187	содержимое	32
188	пожилой	32
189	фермер	32
190	антрополог	32
191	фенотип	32
192	добавление	31
193	грант	31
194	прима	31
195	предшественник	31
196	цитозин	31
197	комбинация	30
198	нейромедиатор	30
199	роды	30
200	распознавание	30
201	сперма	30
202	репликация	30
203	пигмент	30
204	отдельность	30
205	расстройство	30
206	азот	30
207	обоняние	30
208	раскопка	29
209	сетчатка	29
210	манипуляция	29
211	лазер	29
212	датчик	29
213	цитоплазма	29
214	скрещивание	29
215	ботаник	29
216	агрессия	29
217	матрица	29
218	импульс	29
219	донор	28
220	скопление	28
221	дофамин	28
222	диапазон	28
223	вакцинация	28
224	амфибия	28
225	зародыш	28
