	Term	Freq
0	археолог	811
1	раскопка	388
2	останки	250
3	захоронение	178
4	поселение	159
5	гипотеза	154
6	погребение	147
7	древность	137
8	артефакт	132
9	скелет	112
10	гробница	109
11	монета	93
12	украшение	90
13	рим	88
14	антрополог	70
15	упоминание	69
16	тысячелетие	65
17	обнаружение	63
18	правитель	59
19	неандерталец	59
20	керамика	56
21	династия	53
22	мор	52
23	серебро	48
24	тыс	46
25	афин	46
26	палеонтолог	44
27	мумия	43
28	археология	43
29	престол	42
30	днк	41
31	мозаика	40
32	некрополь	39
33	эль	39
34	суша	37
35	обломок	37
36	сражение	36
37	европеец	35
38	обитатель	35
39	глина	35
40	окрестность	35
41	земледелие	34
42	бронза	32
43	епископ	32
44	руина	32
45	окаменелость	31
46	летопись	31
47	выходец	31
48	повреждение	31
49	колония	30
50	землетрясение	30
51	пирамида	30
52	ритуал	30
53	античность	30
54	саркофаг	30
55	толщина	30
56	селение	29
57	фараон	29
58	перс	28
59	ожерелие	28
60	культ	28
61	трактат	28
62	расцвет	28
63	вашингтон	28
64	рельеф	28
65	фреска	28
66	медь	27
67	раковина	27
68	владение	27
69	реставрация	27
70	интерпретация	27
71	филолог	27
72	святилище	26
73	фундамент	26
74	динозавр	26
75	латынь	25
76	отложение	25
77	содержимое	25
78	алтарь	25
79	орнамент	25
80	аналогия	24
81	папирус	24
82	сохранность	24
83	кремль	24
84	майя	24
85	предшественник	24
86	рацион	23
87	отпечаток	23
88	грунт	23
89	раскоп	23
90	сан	22
91	геолог	22
92	черепок	22
93	особа	22
94	реж	22
95	сицилия	22
96	колесница	22
97	иллюстрация	22
98	жертвоприношение	22
99	скандинав	21
100	наследие	21
101	городище	21
102	распад	21
103	генетик	21
104	родство	20
105	царица	20
106	божество	20
107	переселенец	20
108	реставратор	20
109	аналог	20
110	руины	20
111	соплеменник	20
112	грабитель	20
113	экспозиция	20
114	статуэтка	20
115	паломник	20
116	рассылка	20
117	набег	20
118	амфора	20
119	скотоводство	20
120	месопотамий	20
121	промежуток	19
122	покойник	19
123	эпидемия	19
124	вторжение	19
125	гравюра	19
126	мрамор	19
127	кувшин	19
128	лингвист	19
129	египтолог	19
130	хищник	19
131	бусина	18
132	поместье	18
133	конечность	18
134	житие	18
135	вилла	18
136	письменность	18
137	идентификация	18
138	ремесленник	18
139	употребление	18
140	надгробие	18
141	проникновение	18
142	гавань	18
143	чернила	18
144	герцог	17
145	травма	17
146	вал	17
147	стамбул	17
148	выживание	17
149	прототип	17
150	цезарь	17
151	манускрипт	17
152	отметина	17
153	подвеска	17
154	ассириец	17
155	возведение	17
156	планка	17
157	горшок	17
158	мифология	17
159	неолит	17
160	бактерия	17
161	жрец	17
162	скиф	16
163	значимость	16
164	изложение	16
165	береста	16
166	луксор	16
167	каннибализм	16
168	палестина	16
169	углубление	16
170	песчаник	16
171	граффити	16
172	исчезновение	15
173	микроскоп	15
174	пир	15
175	прощение	15
176	ров	15
177	аббатство	15
178	павсание	15
179	сенат	15
180	редкость	15
181	австралопитек	15
182	приношение	15
183	свиток	15
184	свинец	15
185	обряд	15
186	национализм	15
187	местечко	15
188	случайность	15
189	кинжал	15
190	миграция	15
191	диета	15
192	челюсть	15
193	х	15
194	королевство	15
195	одиссея	15
196	бусы	15
197	барельеф	15
198	ноль	15
199	пан	15
200	всеволод	14
201	султан	14
202	земледелец	14
203	левант	14
204	инвентарь	14
205	хронология	14
206	методология	14
207	осада	14
208	атрибут	14
209	экспонат	14
210	мечеть	14
211	усыпальница	14
212	католик	14
213	ваза	14
214	иерархия	14
215	виноград	14
216	прибытие	14
217	наконечник	14
218	завоеватель	14
219	метрополия	14
220	палеолит	14
221	местоположение	14
222	оазис	14
223	ячмень	14
224	обозначение	14
225	соратник	14
226	резиденция	14
227	резьба	14
228	популяция	13
229	кловис	13
230	пик	13
231	императрица	13
232	сапиенс	13
233	консервация	13
234	сага	13
235	всадник	13
236	историография	13
237	поселенец	13
238	александрия	13
239	ландшафт	13
240	рамзес	13
241	кораблекрушение	13
242	иудаизм	13
243	ископаемый	13
244	астроном	13
245	полемика	13
246	переписка	13
247	язычник	13
248	фальсификация	13
249	гоминид	13
250	оригинал	13
251	химик	13
252	максимум	13
253	углерод	13
254	моллюск	13
255	крещение	13
256	оппонент	13
257	легионер	13
258	пелопоннес	13
259	азот	13
260	этнография	13
261	древесина	12
262	луция	12
263	пресс	12
264	кроманьонец	12
265	публицист	12
266	ножны	12
267	монография	12
268	взаимоотношение	12
269	очистка	12
270	протестант	12
271	астрономия	12
272	гравировка	12
273	виндоланд	12
274	кочевник	12
275	самоубийство	12
276	монт	12
277	полководец	12
278	антропогенез	12
279	ирландец	12
280	невозможность	12
281	становление	12
282	репрессия	12
283	минерал	12
284	пряжка	12
285	стела	12
286	либерал	12
287	германец	12
288	известняк	12
289	питие	12
290	посвящение	12
291	математик	12
292	насыпь	12
293	уточнение	12
294	персия	12
295	перстень	12
296	преемственность	12
297	колонист	12
298	словосочетание	11
299	расшифровка	11
300	рудник	11
301	злак	11
302	взятие	11
303	заблуждение	11
304	противостояние	11
305	бальзамирование	11
306	македонский	11
307	серьга	11
308	геркуланум	11
309	этруск	11
310	дворянство	11
311	княжество	11
312	этнос	11
313	просо	11
314	коллективизация	11
315	тит	11
316	неаполь	11
317	казна	11
318	гимназия	11
319	ледник	11
320	акведук	11
321	рыболовство	11
322	иврит	11
323	собирательство	11
324	кулон	11
325	кора	11
326	иероглиф	11
327	бивень	11
328	мыс	11
329	террор	11
330	извлечение	11
331	насекомое	11
332	амулет	11
333	абориген	11
334	лагер	11
335	византиец	11
336	проклятие	11
337	местонахождение	11
338	прах	11
339	разновидность	11
