	Term	Freq
0	орбита	1225
1	астроном	1070
2	марс	805
3	запуск	611
4	телескоп	580
5	галактика	547
6	электрон	525
7	мкс	491
8	излучение	473
9	зонд	395
10	юпитер	374
11	фотон	350
12	гравитация	350
13	гипотеза	347
14	астероид	331
15	протон	328
16	комета	315
17	плутон	295
18	космонавт	286
19	водород	285
20	обнаружение	271
21	ноль	261
22	сатурн	252
23	космодром	234
24	толщина	226
25	радиус	224
26	кратер	224
27	венера	224
28	детектор	217
29	обсерватория	215
30	экзопланета	214
31	яркость	213
32	гелий	206
33	нас	203
34	нейтрон	203
35	астрономия	201
36	астронавт	198
37	вакуум	198
38	наблюдатель	188
39	лазер	184
40	импульс	183
41	разработчик	182
42	вращение	181
43	бак	180
44	модуль	179
45	диапазон	177
46	нейтрино	177
47	астрофизик	174
48	метан	166
49	траектория	165
50	меркурий	163
51	соцсеть	161
52	плазма	154
53	азот	153
54	предсказание	152
55	астрофизика	152
56	титан	151
57	планка	151
58	скопление	149
59	созвездие	146
60	космонавтика	143
61	метеорит	142
62	препринт	142
63	ускорение	137
64	мыс	132
65	кристалл	130
66	нептун	128
67	иллюстрация	126
68	слияние	123
69	ион	123
70	пуск	123
71	ускоритель	122
72	максимум	122
73	аполлон	121
74	церер	121
75	интенсивность	121
76	заряд	120
77	полюс	119
78	тяга	117
79	кварк	117
80	сближение	116
81	туманность	116
82	распад	115
83	уран	114
84	антенна	113
85	углерод	111
86	выброс	110
87	вычисление	109
88	аналогия	108
89	экватор	107
90	гамма	107
91	пик	105
92	прохождение	105
93	окрестность	104
94	пиксел	103
95	аналог	102
96	отправка	102
97	теоретик	102
98	робот	101
99	капсула	100
100	электроника	99
101	грунт	98
102	отклонение	98
103	шаттлы	96
104	светимость	94
105	охлаждение	94
106	маневр	94
107	невесомость	93
108	датчик	92
109	кремний	92
110	парашют	91
111	пролет	91
112	рекорд	90
113	комбинация	89
114	прототип	89
115	планетоид	89
116	радиоволна	89
117	поляризация	88
118	приближение	87
119	поглощение	86
120	радиация	86
121	смещение	85
122	сми	85
123	сборка	84
124	длительность	84
125	светило	82
126	квазар	82
127	прима	82
128	математик	81
129	обзор	80
130	стыковка	80
131	обломок	80
132	кат	79
133	светова	78
134	пучок	78
135	чувствительность	77
136	координата	76
137	экспериментатор	75
138	пульсар	75
139	торможение	75
140	мор	75
141	антиматерия	75
142	ориентация	75
143	спуск	74
144	притяжение	73
145	квадрат	73
146	трансляция	72
147	перемещение	72
148	позитрон	72
149	планетолог	72
150	космология	72
151	мюон	71
152	реактор	71
153	карлик	71
154	удаление	71
155	задержка	70
156	спираль	70
157	радиодиапазон	70
158	погрешность	69
159	продолжительность	69
160	ультрафиолет	69
161	античастица	69
162	глюон	69
163	промежуток	68
164	сверхпроводник	68
165	скафандр	67
166	вулкан	67
167	химик	67
168	симметрия	67
169	трещина	66
170	бор	66
171	телеметрия	66
172	графика	66
173	амплитуда	65
174	парадокс	65
175	минерал	65
176	симуляция	65
177	сжатие	65
178	поливать	64
179	магнит	64
180	оригинал	64
181	вашингтон	63
182	формулировка	63
183	предшественник	63
184	биология	62
185	алюминий	62
186	изотоп	62
187	бактерия	62
188	алмаз	61
189	линза	61
190	графный	61
191	анимация	61
192	ловушка	61
193	спектрометр	61
194	работоспособность	60
195	инопланетянин	59
196	бозон	59
197	константа	59
198	приемник	59
199	испарение	59
200	кубит	59
201	коллайдер	58
202	интервал	57
203	геолог	57
204	кластер	57
205	бесконечность	57
206	массив	56
207	сверхпроводимость	56
208	облучение	55
209	попадание	55
210	высадка	55
211	повреждение	55
212	дейтерий	55
213	поперечник	55
214	трение	54
215	реж	54
216	суша	54
217	кривой	54
218	свечение	54
219	микроскоп	53
220	дефект	53
221	аномалия	53
222	оптик	53
223	коллапс	53
224	геометрия	52
225	возмущение	52
226	помеха	52
227	борис	52
228	квант	52
229	искажение	52
230	емкость	52
231	аппаратура	52
232	прошедшее	51
233	полупроводник	51
234	сера	51
235	вибрация	51
236	радиосигнал	51
237	флуктуация	51
238	суперпозиция	50
239	окислитель	50
240	аммиак	50
241	манипулятор	50
242	луноход	50
243	динамик	50
244	перигелий	49
245	ледник	49
