	Term	Freq
0	социолог	90
1	гипотеза	68
2	социология	63
3	экономист	52
4	прощение	43
5	аналогия	38
6	сми	36
7	европеец	34
8	мор	34
9	ноль	34
10	коммуникация	33
11	археолог	33
12	карьер	33
13	рим	32
14	александрович	32
15	альтернатива	30
16	ввп	30
17	интерпретация	29
18	распад	29
19	политолог	28
20	консенсус	28
21	поддержание	28
22	ритуал	28
23	уточнение	28
24	левада	27
25	культ	27
26	либерал	27
27	мгу	27
28	рассылка	27
29	реж	26
30	реставрация	26
31	метафора	25
32	особа	25
33	максимум	25
34	ориентация	25
35	филолог	25
36	наследие	24
37	вашингтон	24
38	мотивация	24
39	капитализм	24
40	биология	24
41	склонность	24
42	стимул	24
43	упоминание	23
44	реставратор	23
45	парадокс	23
46	оригинал	23
47	инновация	23
48	стенограмма	22
49	терминология	22
50	кремль	22
51	социум	22
52	иллюстрация	22
53	античность	22
54	динамик	22
55	математик	21
56	противостояние	20
57	слайд	20
58	вертикаль	20
59	дискурс	20
60	исток	20
61	становление	20
62	террор	20
63	экспозиция	20
64	древность	20
65	фольклор	20
66	антрополог	20
67	колония	19
68	пик	19
69	издержка	19
70	искусствовед	19
71	бюрократия	19
72	взаимоотношение	19
73	преодоление	19
74	реформатор	19
75	нюанс	19
76	полемика	19
77	миграция	19
78	грант	19
79	мозги	19
80	тренд	19
81	траектория	18
82	парадигма	18
83	заимствование	18
84	невозможность	18
85	посредник	18
86	правитель	18
87	тыс	18
88	аннотация	18
89	политология	18
90	плюс	18
91	осознание	17
92	раскопка	17
93	сан	17
94	заблуждение	17
95	трансформация	17
96	формат	17
97	редкость	17
98	монография	17
99	иерархия	17
100	идентичность	17
101	солидарность	17
102	мобильность	17
103	мифология	17
104	предпосылка	17
105	графика	17
106	выживание	16
107	марксизм	16
108	демократ	16
109	тематика	16
110	обряд	16
111	аналог	16
112	кгб	16
113	холст	16
114	агрессия	16
115	насекомое	16
116	либерализм	16
117	пожилой	16
118	преемственность	16
119	апелляция	15
120	конгресс	15
121	выборка	15
122	значимость	15
123	прибалтика	15
124	муниципалитет	15
125	утопия	15
126	монополия	15
127	экология	15
128	сражение	15
129	тоталитаризм	15
130	репрессия	15
131	аспирантура	15
132	спад	15
133	переписка	15
134	корреляция	15
135	респондент	15
136	продвижение	15
137	мемориал	15
138	глобализация	15
139	биолог	15
140	воскресение	15
141	авторитаризм	14
142	инфляция	14
143	приближение	14
144	заработок	14
145	просвещение	14
146	рефлексия	14
147	аспирант	14
148	нахождение	14
149	интеллектуал	14
150	национализм	14
151	предпочтение	14
152	фундамент	14
153	фашизм	14
154	употребление	14
155	микрофон	14
156	махмут	14
157	легитимность	14
158	формулировка	14
159	лингвист	14
160	украшение	14
161	воровство	14
162	кража	14
163	номенклатура	14
164	предшественник	14
165	параллель	14
166	гареев	14
167	медик	14
168	бюрократ	13
169	прототип	13
170	доцент	13
171	престиж	13
172	оправдание	13
173	общность	13
174	самоубийство	13
175	самореализация	13
176	католик	13
177	бомж	13
178	воспроизводство	13
179	подавление	13
180	индустриализация	13
181	застой	13
182	адаптация	13
183	поселение	13
184	пьяный	13
185	пирамида	13
186	планирование	13
187	государственность	13
188	рождаемость	13
189	связка	13
190	разработчик	13
191	теоретик	13
192	суша	13
193	обозначение	13
194	оппонент	13
195	ментальность	13
196	периферия	13
197	самодержавие	13
198	бурдие	13
199	мыслитель	13
200	принуждение	13
201	произвол	12
202	господство	12
203	серебро	12
204	промежуток	12
205	презентация	12
206	пресс	12
207	изложение	12
208	гулаг	12
209	злодей	12
210	вебер	12
211	методология	12
212	престол	12
213	отпечаток	12
214	безобразие	12
215	лояльность	12
216	концепт	12
217	смертность	12
218	стипендия	12
219	трактат	12
220	компетенция	12
221	самоорганизация	12
222	предпринимательство	12
223	цензура	12
224	астроном	12
225	вхождение	12
226	мвд	12
227	археология	12
228	мониторинг	12
229	выходец	12
230	вектор	12
231	дилемма	12
232	покровитель	12
233	полюс	12
234	вмешательство	12
235	фокус	12
236	гражданство	12
237	ректор	12
238	культуролог	12
239	политбюро	12
240	эмиграция	12
241	дифференциация	12
242	инерция	12
243	этнография	12
244	фреска	12
245	написание	12
246	менталитет	11
247	цитирование	11
248	ориентир	11
249	индустрия	11
250	интеграция	11
251	роды	11
252	благополучие	11
253	артефакт	11
254	творец	11
255	божество	11
256	возмущение	11
257	хранитель	11
258	скелет	11
259	трансляция	11
260	вторжение	11
261	имитация	11
262	кинокафе	11
263	реформирование	11
264	деградация	11
265	антропология	11
266	классификация	11
267	литератор	11
268	отрицание	11
269	институция	11
270	импорт	11
271	социография	11
272	фальсификация	11
273	бунт	11
274	планка	11
275	мозаика	11
276	консерватор	11
277	фасад	11
278	постмодернизм	11
279	отдельность	11
280	донос	11
281	хаос	11
282	венеция	11
283	отметка	11
284	разновидность	11
285	ведомость	11
286	подобие	11
287	диагноз	11
288	этнограф	11
289	несоответствие	11
290	тысячелетие	11
291	ловушка	11
292	маргарета	11
293	гудок	11
294	алтарь	11
295	откат	11
296	популяция	10
297	исчезновение	10
298	проекция	10
299	отклик	10
300	пропорция	10
301	обитатель	10
302	монета	10
303	кооперация	10
304	диктатура	10
305	продолжительность	10
306	аборт	10
307	примат	10
308	манипуляция	10
309	конвенция	10
310	пародия	10
311	преступность	10
312	сарычев	10
313	эпидемия	10
314	взлет	10
315	расцвет	10
316	грунт	10
317	грабеж	10
318	ранхигс	10
319	расстрел	10
320	несправедливость	10
321	порождение	10
322	отклонение	10
323	предатель	10
324	гравюра	10
325	фиксация	10
326	проповедь	10
327	аркадиевич	10
328	расхождение	10
329	проникновение	10
330	пастернак	10
331	владение	10
332	санкция	10
333	мафия	10
334	пафос	10
335	переселение	10
336	останки	10
337	литературовед	10
338	х	10
339	млекопитающее	10
340	дань	10
341	издержки	10
342	династия	10
343	величие	10
344	субкультура	10
345	алкоголизм	10
346	канализация	10
347	жрец	10
348	словосочетание	9
349	братство	9
350	демократизация	9
351	демограф	9
352	интеллигент	9
353	расшифровка	9
354	противоположность	9
355	билингва	9
356	просветитель	9
357	выезд	9
358	толерантность	9
359	законодатель	9
360	гу	9
361	будапешт	9
362	низы	9
363	обзор	9
364	перераспределение	9
365	регламент	9
366	дворянство	9
367	байка	9
368	публицист	9
369	юкос	9
370	куб	9
371	притча	9
372	прозрачность	9
373	повестка	9
374	этнос	9
375	негр	9
376	брюссель	9
377	толкование	9
378	экспонат	9
379	сложение	9
380	гробница	9
381	заглавие	9
382	обезьяна	9
383	берет	9
384	кинокритика	9
385	пытка	9
386	марсель	9
387	псевдоним	9
388	поговорка	9
389	протестантизм	9
390	фсб	9
391	искажение	9
392	брошюра	9
393	забастовка	9
394	сдвиг	9
395	подсчет	9
396	дефолт	9
397	погребение	9
398	дизайнер	9
399	риторика	9
400	идентификация	9
401	олимпиада	9
402	случайность	9
403	марс	9
404	иммигрант	9
405	выстраивание	9
406	нацист	9
407	националист	9
408	гоголь	9
409	индекс	9
410	наблюдатель	9
411	людмила	9
412	заголовок	9
413	изобретатель	9
414	окрестность	9
415	палестина	9
416	пессимист	9
417	леса	9
418	фашист	9
419	продюсер	9
420	муссолини	9
421	удаление	9
422	актуальность	9
423	афин	9
424	экспансия	9
425	клан	9
426	подчинение	9
427	хищник	9
428	особь	9
429	реалия	9
430	вестернизация	9
431	патриот	9
432	соратник	9
433	маркер	9
