	Term	Freq
0	математик	39
1	гипотеза	23
2	ноль	18
3	геометрия	15
4	теорема	12
5	квадрат	11
6	траектория	9
7	треугольник	9
8	клэй	9
9	диагональ	8
10	кривой	8
11	криптография	7
12	вычисление	7
13	окружность	7
14	рассылка	7
15	бесконечность	7
16	радиус	7
17	аннотация	6
18	комбинация	6
19	случайность	6
20	код	6
21	размерность	6
22	константа	6
23	предсказание	6
24	ниу	6
25	препринт	6
26	модуль	6
27	топология	6
28	формулировка	6
29	гаусс	6
30	куб	6
31	классификация	5
32	решка	5
33	горизонталь	5
34	пик	5
35	умножение	5
36	монета	5
37	стенограмма	5
38	информатика	5
39	пуанкара	5
40	аспирант	5
41	двойка	5
42	программист	5
43	биолог	4
44	бросание	4
45	составление	4
46	матрица	4
47	слайд	4
48	максимум	4
49	олимпиада	4
50	тематика	4
51	мирзахань	4
52	метрика	4
53	реж	4
54	днк	4
55	х	4
56	дробь	4
57	контрпример	4
58	интеграл	4
59	астрономия	4
60	шень	4
61	иллюстрация	4
62	энтропия	4
63	окрестность	4
64	биология	4
65	графика	4
66	гильберт	4
67	комбинаторика	4
68	отрезка	4
69	симметрия	4
70	отрезок	4
71	аналог	4
72	вертикаль	4
73	континуум	4
74	грант	4
75	парадокс	4
76	периодичность	3
77	определенность	3
78	бублик	3
79	гипотенуза	3
80	экспонент	3
81	склонность	3
82	мгу	3
83	шашка	3
84	конфигурация	3
85	шестиугольник	3
86	пеано	3
87	политолог	3
88	плато	3
89	четырехугольник	3
90	бит	3
91	пятерка	3
92	координата	3
93	обзор	3
94	разложение	3
95	демография	3
96	насекомое	3
97	четверка	3
98	пересечение	3
99	око	3
100	проекция	3
101	аксиома	3
102	множитель	3
103	рекорд	3
104	пропорциональность	3
105	плюс	3
106	предпочтение	3
107	миша	3
108	переписка	3
109	аналогия	3
110	алгебра	3
111	ферзь	3
112	мат	3
113	механика	3
114	трактат	3
115	монетка	3
116	сложение	3
117	отдельность	3
118	гильденстерна	3
119	погрешность	3
120	выпадение	3
121	ничья	3
122	пи	3
123	школьница	3
124	уточнение	3
125	физ	3
126	экономист	3
127	лотерея	3
128	сдвиг	3
129	блуждание	3
130	тор	3
131	розенкранц	3
132	древность	3
133	вектор	3
134	классификатор	3
135	интервал	2
136	паркет	2
137	пружинка	2
138	мотивация	2
139	дима	2
140	торт	2
141	сговор	2
142	популяризация	2
143	неопределенность	2
144	пройда	2
145	гомеоморфизм	2
146	джентльмен	2
147	биллиард	2
148	протяженность	2
149	мор	2
150	особа	2
151	кривизна	2
152	ханиевич	2
153	индукция	2
154	длительность	2
155	заузлить	2
156	бином	2
157	добронравов	2
158	прошедшее	2
159	парта	2
160	чейтина	2
161	ориентация	2
162	планка	2
163	ом	2
164	стык	2
165	манна	2
166	чатуранга	2
167	многоугольник	2
168	сечение	2
169	суматоха	2
170	самопересечение	2
171	вибрация	2
172	поощрение	2
173	прародитель	2
174	лежандр	2
175	терстон	2
176	эрдеши	2
177	ладья	2
178	робот	2
179	гранат	2
180	канат	2
181	контур	2
182	осциллятор	2
183	отметка	2
184	лепесток	2
185	старшеклассник	2
186	шифр	2
187	социология	2
188	крендель	2
189	разновидность	2
190	мид	2
191	шаташвили	2
192	наташа	2
193	квадратик	2
194	маша	2
195	нф	2
196	шах	2
197	неравенство	2
198	докта	2
199	затмение	2
200	вепрев	2
201	подпоследовательность	2
202	промежуток	2
203	разработчик	2
204	сми	2
205	задачка	2
206	головоломка	2
207	тополог	2
208	продвижение	2
209	мотидзука	2
210	сомножитель	2
211	сбережение	2
212	сянци	2
213	поляризация	2
214	клинопись	2
215	амплитуда	2
216	бросок	2
217	сжатие	2
218	гриша	2
219	константинович	2
220	дырочка	2
221	красноярск	2
222	перемещение	2
223	программирование	2
224	испытуемый	2
225	вишенка	2
226	искомый	2
227	кодирование	2
228	рояль	2
229	меридиан	2
230	каркас	2
231	пробел	2
232	чехословакия	2
233	непредсказуемость	2
234	чистилище	2
235	суммирование	2
236	андреевич	2
237	формат	2
238	спецкурс	2
239	шестерка	2
240	кавитация	2
241	шатуранга	2
242	биограф	2
243	мультиоператор	2
244	фундамент	2
245	ньютон	2
246	вбросы	2
247	продолжительность	2
248	самсон	2
249	генетик	2
250	рожа	2
251	анабелиоида	2
252	присмотр	2
253	шулер	2
254	вращение	2
255	арифметика	2
256	ботелла	2
257	хищник	2
258	орбита	2
259	кортевег	2
260	расклад	2
261	индекс	2
262	удочка	2
263	багаж	2
264	тензор	2
265	декан	2
266	кантор	2
267	радар	2
268	интерпретация	2
269	выкладка	2
270	рокетбанк	2
271	оптимальность	2
272	замощение	2
273	ножницы	2
274	прошение	2
275	витание	2
276	вакуум	2
277	искажение	2
278	груша	2
279	клеточка	2
280	колесница	2
281	финетти	2
282	наблюдатель	2
283	нахождение	2
284	толщина	2
285	бюр	2
286	брошюра	2
287	пират	2
288	компетенция	2
289	постдок	2
290	обозначение	2
291	фробеноиды	2
292	числитель	2
293	неполнота	2
294	подмножество	2
295	истинность	2
296	пешка	2
297	шахматист	2
298	полуночь	2
299	фриз	2
300	струна	2
301	пиковер	2
302	тааи	2
303	кошелек	2
304	сочи	2
305	написание	2
306	состязание	2
307	гироид	2
308	проигрыш	2
309	динамик	2
310	харанга	2
311	толчок	2
312	приближение	2
313	генетика	2
314	чек	2
315	арифметик	2
316	деформация	2
317	змей	1
318	выручка	1
319	фея	1
320	лоточек	1
321	обтекание	1
322	сипай	1
323	укладка	1
324	красильщик	1
325	журавль	1
326	нейрон	1
327	троица	1
328	взаимодействовать	1
329	структурирование	1
330	квадратура	1
331	хромосома	1
332	биохимик	1
333	целебес	1
334	лион	1
335	рецензент	1
336	неудобство	1
337	исповедь	1
338	юра	1
339	мандарин	1
340	шнур	1
341	развязывание	1
342	клумба	1
343	клубок	1
344	преамбула	1
345	ма	1
346	лемер	1
347	каббала	1
348	интеллектуал	1
349	бруклин	1
350	остроградский	1
351	рылеев	1
352	боксер	1
353	бах	1
354	диастола	1
355	третьекурсник	1
356	травма	1
357	джао	1
358	гласный	1
359	технэ	1
360	катушечка	1
361	ницца	1
362	твент	1
363	гармоничность	1
364	белка	1
365	фридманна	1
366	джаффа	1
367	вундеркинд	1
368	галиля	1
369	медиапропаганда	1
370	дискета	1
371	метафора	1
372	сулавеси	1
373	упрощение	1
374	вовк	1
375	гулько	1
376	заполнитель	1
377	непотизм	1
378	фанфара	1
379	полноторий	1
380	сережа	1
381	лоток	1
382	добряк	1
383	прощение	1
384	обод	1
