	Term	Freq
0	гипотеза	294
1	биолог	234
2	днк	217
3	иллюстрация	212
4	соцсеть	200
5	бактерия	200
6	разработчик	179
7	химик	178
8	дальность	152
9	нейрон	147
10	насекомое	144
11	истребитель	141
12	ноль	133
13	электрон	129
14	биология	127
15	робот	125
16	хищник	123
17	доброволец	118
18	обнаружение	114
19	толщина	113
20	запуск	112
21	археолог	106
22	математик	106
23	белка	105
24	реж	104
25	мутация	100
26	повреждение	99
27	млекопитающее	96
28	фермент	96
29	аналог	94
30	потомство	94
31	популяция	93
32	прототип	89
33	радиус	89
34	аналогия	87
35	испытуемый	86
36	обезьяна	85
37	особь	85
38	лазер	83
39	шимпанзе	80
40	генетик	79
41	поливать	77
42	диапазон	77
43	астроном	77
44	прима	77
45	примат	75
46	излучение	75
47	фотон	74
48	микроскоп	73
49	останки	72
50	радар	71
51	полигон	70
52	мор	69
53	антибиотик	69
54	водород	68
55	планка	68
56	суша	68
57	сми	68
58	орбита	68
59	максимум	67
60	протон	66
61	склонность	66
62	колония	66
63	углерод	65
64	выживание	64
65	перемещение	63
66	квадрат	63
67	продолжительность	62
68	импульс	62
69	сборка	62
70	аспирант	61
71	тяга	61
72	предпочтение	60
73	борис	60
74	взаимосвязь	60
75	кристалл	60
76	заражение	59
77	попадание	59
78	детектор	59
79	раскопка	59
80	инновация	59
81	грант	58
82	астрономия	57
83	отдельность	57
84	калибр	57
85	антрополог	57
86	корреляция	57
87	вакуум	57
88	экспериментатор	56
89	смартфон	55
90	микроорганизм	55
91	сан	55
92	социолог	55
93	удаление	55
94	серебро	54
95	медь	54
96	рецептор	54
97	марс	54
98	выборка	54
99	медик	54
100	травма	53
101	пик	53
102	эмбрион	53
103	физиология	53
104	стресс	53
105	отклонение	52
106	употребление	52
107	предшественник	52
108	интенсивность	52
109	добавление	52
110	траектория	51
111	датчик	51
112	размножение	51
113	мембрана	51
114	печень	51
115	заряд	50
116	вычисление	50
117	ориентация	50
118	комбинация	50
119	боеприпасы	50
120	паразит	50
121	алюминий	50
122	электроника	50
123	графика	49
124	авиабаза	49
125	поддержание	49
126	мгу	49
127	шкала	49
128	телескоп	48
129	вашингтон	48
130	распад	48
131	коммуникация	48
132	патент	48
133	выработка	48
134	моллюск	48
135	формат	47
136	скелет	47
137	древность	47
138	чувствительность	46
139	формулировка	46
140	диета	46
141	водоизмещение	46
142	нейтрон	46
143	мишень	45
144	активация	45
145	опухоль	45
146	неволя	45
147	взлет	45
148	доработка	44
149	ион	44
150	гормон	44
151	модуль	44
152	вращение	44
153	экспрессия	44
154	обзор	44
155	предсказание	44
156	адаптация	43
157	кишечник	43
158	особа	43
159	модификация	43
160	нейтрино	43
161	пожилой	43
162	пластик	43
163	динамик	43
164	плацебо	42
165	европеец	42
166	рекорд	42
167	окраска	42
168	экономист	42
169	наблюдатель	42
170	зоолог	42
171	динозавр	42
172	интерпретация	42
173	кремний	42
174	обозначение	42
175	симптом	41
176	интеллект	41
177	метаболизм	41
178	емкость	41
179	приближение	40
180	сородич	40
181	червь	40
182	личинка	40
183	азот	40
184	нагревание	40
185	просветитель	40
186	длительность	40
187	стимул	40
188	теоретик	40
189	кат	40
190	генератор	40
191	электрод	40
192	миллиметр	39
193	кластер	39
194	реставрация	39
195	палеонтолог	39
196	яйцеклетка	39
197	планшет	39
198	эпидемия	39
199	детеныш	39
200	лингвист	39
201	корма	39
202	депрессия	39
203	фермер	39
204	интервал	38
205	распознавание	38
206	спаривание	38
207	ожирение	38
208	охлаждение	38
209	выращивание	38
210	авианосец	38
211	экология	38
212	упоминание	37
213	индекс	37
214	социология	37
215	геометрия	36
216	массив	36
217	регуляция	36
218	миграция	36
219	прочность	36
220	агрессия	36
221	манипуляция	36
222	терапия	36
223	парадокс	36
224	гравитация	36
225	теорема	36
226	пересадка	36
227	геном	36
228	грызунов	36
229	невозможность	35
230	идентификация	35
231	кора	35
232	шизофрения	35
233	деформация	35
234	пробирка	35
235	бомбардировщик	35
236	выброс	35
237	пробел	35
238	минерал	35
239	прохождение	35
240	отметка	35
241	ловушка	35
242	промежуток	34
243	взаимоотношение	34
244	дефект	34
245	аминокислота	34
246	стимуляция	34
247	нанесение	34
248	программист	34
249	экосистема	34
250	поглощение	34
251	винт	34
252	антенна	34
253	бесконечность	34
254	редкость	34
255	лихорадка	34
256	номинация	34
257	р	34
258	дрозофила	34
259	катализатор	33
260	нейрофизиолог	33
261	агрегат	33
262	перегрузка	33
263	подсчет	33
264	достоверность	33
265	передвижение	33
266	сперматозоид	33
267	водоросль	33
268	сплав	33
269	галактика	33
270	монета	32
271	изоляция	32
272	освещение	32
273	вектор	32
274	оригинал	32
275	калий	32
276	лженаука	32
277	видеоролик	32
278	тематика	32
279	помеха	32
280	классификация	32
281	эукариот	32
282	контейнер	32
283	тысячелетие	32
284	презентация	31
285	смертность	31
286	препринт	31
287	выходец	31
288	случайность	31
289	проникновение	31
290	бор	31
291	вибрация	31
292	неандерталец	31
293	воскресение	31
294	трещина	31
295	никель	31
296	маньшина	31
297	сервис	31
298	стая	31
299	тендер	31
300	цилиндр	31
301	шасси	31
302	конечность	30
303	заблуждение	30
304	кремль	30
305	бета	30
306	координата	30
307	антропология	30
308	загрязнение	30
309	местоположение	30
310	деление	30
311	задержка	30
312	артефакт	30
313	ультрафиолет	30
314	графный	30
315	бак	30
316	ускорение	29
317	магнит	29
318	астрофизик	29
319	изобретатель	29
320	наночастица	29
321	расхождение	29
322	окрестность	29
323	алмаз	29
324	ископаемый	29
325	иммунитет	29
326	гомеопатия	29
327	сера	29
328	спираль	29
329	сжатие	29
330	кривой	29
331	проводник	29
332	окаменелость	28
333	портал	28
334	порошок	28
335	искажение	28
336	заголовок	28
337	захоронение	28
338	воз	28
339	аннотация	28
340	микроб	28
341	рептилия	28
342	фреска	28
343	написание	28
344	значимость	28
345	старение	28
346	латынь	28
347	репликация	28
348	фундамент	28
349	раковина	28
350	подавление	28
351	работоспособность	28
352	аккумулятор	28
353	продвижение	28
354	сбой	28
355	альфа	27
356	оплодотворение	27
357	воспроизведение	27
358	челюсть	27
359	наушник	27
360	свечение	27
361	титан	27
362	боезапас	27
363	вскрытие	27
364	облучение	27
365	вич	27
366	нуклеотид	27
367	респондент	27
368	хаос	27
369	симметрия	27
370	дрожжи	27
371	династия	27
372	фюзеляж	27
373	анатомия	26
374	геолог	26
375	комплект	26
376	целостность	26
377	уран	26
378	мониторинг	26
379	диаграмма	26
380	разрез	26
381	фильтр	26
382	поселение	26
383	треугольник	26
384	капсула	26
385	рацион	26
