	Term	Freq
0	выброс	51
1	геолог	51
2	гипотеза	47
3	мор	46
4	палеонтолог	46
5	суша	42
6	минерал	40
7	соцсеть	39
8	вулкан	38
9	потепление	34
10	землетрясение	32
11	ледник	32
12	останки	31
13	извержение	30
14	геофизик	30
15	климатолог	30
16	засуха	29
17	толщина	29
18	динозавр	28
19	эколог	24
20	мантия	23
21	магнитуда	22
22	отложение	20
23	экосистема	19
24	метан	19
25	метеоролог	18
26	максимум	18
27	экология	18
28	бактерия	18
29	вымирание	18
30	окаменелость	17
31	популяция	17
32	трещина	17
33	загрязнение	17
34	насекомое	17
35	хищник	17
36	таяние	17
37	биолог	17
38	исчезновение	16
39	марс	16
40	астероид	16
41	осадки	16
42	влажность	16
43	интенсивность	16
44	водоем	15
45	рекорд	15
46	керн	15
47	поливать	15
48	фауна	15
49	углерод	15
50	скелет	15
51	млекопитающее	15
52	лава	15
53	сми	15
54	ископаемый	15
55	кора	14
56	полюс	14
57	продолжительность	14
58	борис	14
59	ландшафт	14
60	геология	14
61	перемещение	14
62	рельеф	13
63	грант	13
64	экватор	13
65	прима	13
66	магма	13
67	древность	13
68	миграция	12
69	кратер	12
70	охлаждение	12
71	иллюстрация	12
72	литосфера	12
73	эль	12
74	ноль	12
75	стратосфера	12
76	фермер	12
77	пластик	12
78	пик	11
79	микроорганизм	11
80	сера	11
81	разлом	11
82	приближение	11
83	биосфера	11
84	алмаз	11
85	окрестность	11
86	леса	11
87	отходы	11
88	шкала	11
89	флора	11
90	аналог	11
91	кристалл	11
92	цельсий	10
93	обитатель	10
94	метеорология	10
95	ящер	10
96	тысячелетие	10
97	толща	10
98	эпицентр	10
99	моллюск	10
100	грунт	10
101	планктон	10
102	водоросль	10
103	графика	10
104	мониторинг	9
105	промежуток	9
106	орбита	9
107	мыс	9
108	электростанция	9
109	поселение	9
110	биология	9
111	челюсть	9
112	редкость	9
113	град	9
114	изотоп	9
115	фотосинтез	9
116	особь	9
117	датчик	9
118	обнаружение	9
119	гляциолог	9
120	рептилия	9
121	тропики	9
122	бурение	8
123	сан	8
124	др	8
125	экономист	8
126	адаптация	8
127	тундра	8
128	осадок	8
129	доцент	8
130	оползень	8
131	примесь	8
132	примат	8
133	отметка	8
134	мчс	8
135	циркон	8
136	свинец	8
137	вашингтон	8
138	археолог	8
139	ископаемое	8
140	обломок	8
141	аэрозоль	8
142	динамик	8
143	подсчет	8
144	антрополог	8
145	приспособление	7
146	колония	7
147	коммуникация	7
148	дамба	7
149	расплав	7
150	конечность	7
151	ботаник	7
152	геохимик	7
153	индекс	7
154	сочи	7
155	радиус	7
156	базальт	7
157	фильтр	7
158	антропоцен	7
159	ливень	7
160	повреждение	7
161	ячейка	7
162	сейсмолог	7
163	прогнозирование	7
164	удаление	7
165	испарение	7
166	венера	7
167	астрономия	7
168	красноярск	7
169	биоразнообразие	7
170	аспирант	7
171	погружение	7
172	руда	7
173	гидросфера	7
174	плато	7
175	впадина	7
176	океанолог	7
177	инерция	7
178	кальций	7
179	азот	7
180	г	7
181	раковина	7
182	излучение	7
183	гондвана	6
184	лавина	6
185	составление	6
186	супервулкан	6
187	отклонение	6
188	древесина	6
189	урожайность	6
190	минералогия	6
191	тамбор	6
192	циркуляция	6
193	цианобактерия	6
194	вулканолог	6
195	неурожай	6
196	кальдера	6
197	айсберг	6
198	поглощение	6
199	отопление	6
200	амазония	6
201	упоминание	6
202	метеорит	6
203	предсказание	6
204	удобрение	6
205	ввп	6
206	артефакт	6
207	предотвращение	6
208	конвекция	6
209	эрозия	6
210	низина	6
211	вырубка	6
212	периодичность	6
213	матрица	6
214	носорог	6
215	прошедшее	6
216	мгу	6
217	эвакуация	6
218	альбедо	6
219	циклон	6
220	очистка	6
221	выращивание	6
222	стимул	6
223	разработчик	6
224	конвенция	6
225	бур	6
226	тренд	6
227	сжигание	6
228	личинка	6
229	водохранилище	6
230	нефтепродукт	6
231	эпидемия	6
232	таймыр	6
233	голоцен	6
234	предшественник	6
235	магний	6
236	тайфун	6
237	координата	6
238	периферия	6
239	миллиметр	6
240	ловушка	6
241	социолог	6
242	волокно	6
243	сдвиг	6
244	уран	5
245	классификация	5
246	особа	5
247	размножение	5
248	субтропики	5
249	диаграмма	5
250	контраст	5
251	реж	5
252	сицилия	5
253	европеец	5
254	рацион	5
255	поддержание	5
256	конденсация	5
257	попадание	5
258	оптимизация	5
259	тоб	5
260	тропосфера	5
261	энтузиаст	5
262	диапазон	5
263	чайка	5
264	глобус	5
265	утечка	5
266	слайд	5
267	прохождение	5
268	зоопланктон	5
269	амфибия	5
270	латынь	5
271	подвид	5
272	покров	5
273	туризм	5
274	самар	5
275	опреснение	5
276	радиация	5
277	тираннозавр	5
278	квота	5
279	крымск	5
280	владение	5
281	варшава	5
282	гранит	5
283	коготь	5
284	энтомолог	5
285	озон	5
286	этна	5
287	соя	5
288	орошение	5
289	соленость	5
290	утилизация	5
291	лазер	5
292	панцирь	5
293	корма	5
294	математик	5
295	червь	5
296	кальцит	5
297	мелководье	5
298	торнадо	5
299	обезьяна	5
300	пласт	5
301	напряженность	5
302	комета	5
303	потомство	5
304	гималаи	5
305	тайга	5
306	параллель	5
307	фитопланктон	5
308	прилив	5
309	тоннель	5
310	метеостанция	5
311	социология	5
312	затопление	5
313	плюс	5
314	распад	5
315	фундамент	5
316	сейсмология	5
317	выработка	5
318	гольфстрим	5
319	кривой	5
320	перенос	5
321	выпадение	5
322	обсерватория	5
323	углеводород	5
324	этнография	5
325	пират	5
326	бедствие	5
327	пинатубо	5
328	толчок	5
329	подотряд	4
330	неудобство	4
331	фосфор	4
332	проектировщик	4
333	лавразия	4
334	демограф	4
335	машиностроение	4
336	альтернатива	4
337	робот	4
338	портал	4
339	случайность	4
340	водород	4
341	выживание	4
342	кубань	4
343	рудник	4
344	аналогия	4
345	понижение	4
346	плейстоцен	4
347	оксид	4
348	значимость	4
349	окраска	4
350	сероводород	4
351	пресс	4
352	освещение	4
353	рим	4
354	прочность	4
355	трубопровод	4
356	жизнедеятельность	4
357	норильск	4
358	астрофизик	4
359	нанометр	4
360	таз	4
361	транспортировка	4
362	диета	4
363	зоолог	4
364	тематика	4
365	обыкновение	4
366	захоронение	4
367	углекислота	4
368	задержка	4
369	глина	4
370	стихия	4
371	электрон	4
372	обзор	4
373	долгота	4
374	калмыкия	4
375	расхождение	4
376	суперконтинент	4
377	стая	4
378	благополучие	4
379	миоцен	4
380	креветка	4
381	трение	4
382	абориген	4
383	местоположение	4
384	окисление	4
385	облачность	4
386	песочник	4
387	динамит	4
388	эверест	4
389	латы	4
390	рыжий	4
391	питие	4
392	плюм	4
393	пангея	4
394	палеонтология	4
395	коми	4
396	алюминий	4
397	биомасса	4
398	наклон	4
399	снегопад	4
400	детеныш	4
401	отлив	4
402	йеллоустон	4
403	бухта	4
404	укрупнение	4
405	кинг	4
406	первооткрыватель	4
407	изоляция	4
408	п	4
409	плантация	4
410	несоответствие	4
411	тюлень	4
412	истощение	4
413	шимпанзе	4
414	частичка	4
415	интерпретация	4
416	замерзание	4
417	жерло	4
418	атлас	4
419	риф	4
420	уточнение	4
421	инфаркт	4
422	ареал	4
423	расцвет	4
424	строматолит	4
425	импульс	4
426	воз	4
427	деформация	4
428	ранхигс	4
429	архей	4
430	гейзер	4
431	оледенение	4
432	песчаник	4
433	вулканизм	4
434	вибрация	4
435	тополь	4
436	инверсия	4
437	мерзлота	4
438	альпинист	4
439	пингвин	4
440	печень	4
441	геохимия	4
442	меридиан	4
443	добавление	4
444	возрастание	4
445	генетик	4
446	забайкалье	4
447	межледниковье	4
448	гектар	4
449	меркурий	4
450	гранула	4
451	графит	4
452	нас	4
453	опустынивание	4
454	боулдер	4
455	континентнаука	4
456	майя	4
457	интервал	3
458	апокалипсис	3
459	донор	3
460	владивосток	3
461	хлор	3
462	аэростат	3
463	е	3
464	телескоп	3
465	гравитация	3
466	олимпиада	3
467	даль	3
468	сейсмометр	3
469	замедление	3
470	морфология	3
471	фантастика	3
472	энергопотребление	3
473	нагревание	3
474	траектория	3
475	вологда	3
476	смартфон	3
477	раскопка	3
478	серебро	3
479	исландец	3
480	вв	3
481	видеоролик	3
482	пружина	3
483	спад	3
484	аналитик	3
485	формация	3
486	лос	3
487	достоверность	3
488	виноград	3
489	валун	3
490	думалнаука	3
491	микроэлемент	3
492	ртуть	3
493	тверская	3
494	тюмень	3
495	родиния	3
496	оливин	3
497	полградус	3
498	курилы	3
499	прототип	3
500	газопровод	3
501	копоть	3
502	заблуждение	3
503	дюна	3
504	животноводство	3
505	гоминид	3
506	насос	3
507	паводок	3
508	птичка	3
509	кемерово	3
510	новороссийск	3
511	террор	3
512	оригинал	3
513	александрович	3
514	филиппин	3
515	фумаролы	3
516	варакин	3
517	шквал	3
518	трансформация	3
519	хобби	3
520	пемза	3
521	прибытие	3
522	радиолокатор	3
523	изобретатель	3
524	каноэ	3
525	корреляция	3
526	маракайбо	3
527	теропод	3
528	контур	3
529	правитель	3
530	мистер	3
531	геологоразведка	3
532	саморазвитие	3
533	аммиак	3
534	фораминифер	3
535	затмение	3
536	эскимос	3
537	криль	3
538	майами	3
539	очертание	3
540	краб	3
541	эоцен	3
542	висмут	3
543	инсульт	3
544	полушарие	3
545	тыс	3
546	гематит	3
547	такжероссия	3
548	зародыш	3
549	проникновение	3
550	фокус	3
551	формулировка	3
552	дайка	3
553	аквариум	3
554	бум	3
555	иридий	3
556	отдельность	3
557	бор	3
558	рентген	3
559	разгар	3
560	мельбурн	3
561	лукойл	3
562	катархей	3
563	известняк	3
564	полюсунаука	3
565	дейтерий	3
566	кермадек	3
567	продуктивность	3
568	юпитер	3
569	кв	3
570	энергетик	3
571	цемент	3
572	коротаев	3
573	луг	3
574	смерч	3
575	подвох	3
576	метеослужба	3
577	возмущение	3
578	закисление	3
579	башкортостан	3
580	сатурн	3
581	плотина	3
582	летопись	3
583	актуальность	3
584	кобальт	3
585	дефект	3
586	торий	3
587	потоп	3
588	гном	3
589	поднятие	3
590	натуралист	3
591	х	3
592	совпадение	3
593	енисей	3
594	антенна	3
595	левада	3
596	намагниченность	3
597	сородич	3
598	подобие	3
599	диагноз	3
600	химикат	3
601	манитоба	3
602	набег	3
603	желоб	3
604	западник	3
605	теоретик	3
606	биотопливо	3
607	пальма	3
608	субдукция	3
609	полиуретан	3
610	водораздел	3
611	архангельск	3
612	мембрана	3
613	кремль	3
614	чиксулуб	3
615	датирование	3
616	античность	3
617	мореплаватель	3
618	весиля	3
619	кат	3
620	гуща	3
621	обь	3
622	бурятия	3
623	планетолог	3
624	неаполь	3
625	вылов	3
626	саммит	3
627	воронка	3
628	океанограф	3
629	мифология	3
630	электрод	3
631	компетенция	3
632	ионосфера	3
633	полуночь	3
634	сани	3
635	грабеж	3
636	сток	3
637	лепта	3
638	эмиграция	3
639	калий	3
640	кашалот	3
641	зимовка	3
642	длительность	3
