	Term	Freq
0	либерал	18
1	социология	18
2	сми	16
3	авторитаризм	15
4	кремль	15
5	социолог	15
6	альтернатива	14
7	политолог	14
8	демократ	13
9	прощение	13
10	аналогия	12
11	экономист	12
12	распад	12
13	консенсус	12
14	трансформация	11
15	диктатура	11
16	максимум	11
17	идентичность	11
18	европеец	10
19	противостояние	10
20	нато	10
21	суверенитет	10
22	дискурс	10
23	оппонент	10
24	предпосылка	10
25	гипотеза	10
26	солидарность	9
27	бюрократия	9
28	капитализм	9
29	формулировка	9
30	ноль	9
31	вашингтон	9
32	произвол	8
33	риторика	8
34	коалиция	8
35	вмешательство	8
36	либерализм	8
37	лояльность	8
38	преодоление	8
39	стимул	8
40	общность	8
41	монополия	8
42	полемика	8
43	иерархия	8
44	становление	8
45	украинск	7
46	демократизация	7
47	снг	7
48	заблуждение	7
49	мотивация	7
50	иллюстрация	7
51	молдова	7
52	левада	7
53	интерпретация	7
54	периферия	7
55	инерция	7
56	воскресение	7
57	тоталитаризм	7
58	динамик	7
59	классификация	6
60	ограниченность	6
61	коммуникация	6
62	осознание	6
63	выстраивание	6
64	кпрф	6
65	противодействие	6
66	кгб	6
67	значимость	6
68	вто	6
69	неготовность	6
70	наблюдатель	6
71	интеграция	6
72	полюс	6
73	доктрина	6
74	продвижение	6
75	мобилизация	6
76	благосостояние	6
77	управленец	6
78	электорат	6
79	ввп	6
80	провокация	6
81	мандат	6
82	манипуляция	6
83	сталинизм	6
84	обозначение	6
85	либерализация	6
86	цензура	6
87	югославия	6
88	аналог	6
89	невозможность	6
90	вхождение	6
91	парадокс	6
92	владивосток	5
93	конфронтация	5
94	полис	5
95	постулат	5
96	фашизм	5
97	прецедент	5
98	траектория	5
99	реж	5
100	спс	5
101	иммигрант	5
102	промежуток	5
103	спад	5
104	выживание	5
105	геноцид	5
106	националист	5
107	стенограмма	5
108	политкорректность	5
109	заложник	5
110	издержка	5
111	фальсификация	5
112	рим	5
113	централизация	5
114	грант	5
115	толерантность	5
116	индикатор	5
117	александрович	5
118	оптимизм	5
119	слайд	5
120	будапешт	5
121	правитель	5
122	госпожа	5
123	консерватор	5
124	перечисление	5
125	демография	5
126	мемориал	5
127	майдан	5
128	социалист	5
129	метрополия	5
130	отдельность	5
131	фашист	5
132	пикет	5
133	хаос	5
134	избрание	5
135	актор	5
136	повестка	5
137	наследие	5
138	клан	5
139	рассылка	5
140	муниципалитет	5
141	бремя	5
142	республиканец	5
143	уточнение	5
144	люстрация	5
145	интеллектуал	5
146	самоорганизация	5
147	плюрализм	5
148	политология	5
149	кпсс	5
150	сепаратизм	5
151	исток	5
152	добродетель	5
153	плюс	5
154	предпочтение	5
155	фундамент	5
156	определенность	4
157	еэс	4
158	донор	4
159	особа	4
160	даль	4
161	политизация	4
162	выходец	4
163	контраст	4
164	апелляция	4
165	отрицание	4
166	неравенство	4
167	посредственность	4
168	ротация	4
169	противоположность	4
170	минск	4
171	поддержание	4
172	подавление	4
173	налогоплательщик	4
174	виталиевич	4
175	резон	4
176	правосудие	4
177	индекс	4
178	прототип	4
179	газопровод	4
180	симптом	4
181	пресс	4
182	пропорция	4
183	марксизм	4
184	террор	4
185	кошмар	4
186	бунт	4
187	доминирование	4
188	адаптация	4
189	социум	4
190	умолчание	4
191	низы	4
192	доцент	4
193	многопартийность	4
194	терминология	4
195	треугольник	4
196	манипулирование	4
197	заработок	4
