	Term	Freq
0	испытуемый	44
1	депрессия	22
2	шкала	20
3	гипотеза	20
4	экспериментатор	18
5	склонность	16
6	симптом	16
7	доброволец	15
8	стресс	14
9	фмрт	13
10	реж	13
11	выборка	12
12	пожилой	11
13	гормон	10
14	предпочтение	10
15	нейрон	9
16	мотивация	9
17	аутизм	9
18	корреляция	9
19	респондент	9
20	стимул	9
21	расстройство	9
22	социолог	9
23	библиография	9
24	экономист	9
25	вознаграждение	8
26	удовлетворенность	8
27	шизофрения	8
28	эмпатия	7
29	незнакомец	7
30	плацебо	7
31	интеллект	7
32	диагноз	7
33	раса	7
34	поливать	7
35	самоконтроль	7
36	щедрость	6
37	диета	6
38	горизонталь	6
39	кора	6
40	грусть	6
41	случайность	6
42	лингвист	6
43	сми	6
44	ожирение	6
45	освещение	6
46	антрополог	6
47	кортизол	5
48	альтруизм	5
49	планка	5
50	психотерапия	5
51	предрасположенность	5
52	самооценка	5
53	религиозность	5
54	активация	5
55	психиатрия	5
56	печаль	5
57	стимуляция	5
58	вертикаль	5
59	йог	5
60	становление	5
61	профилактика	5
62	оптимизм	4
63	примат	4
64	аннотация	4
65	взаимосвязь	4
66	коммуникация	4
67	тяга	4
68	имитация	4
69	осознание	4
70	синдром	4
71	медитация	4
72	аппетит	4
73	регуляция	4
74	выживание	4
75	гипноз	4
76	суицид	4
77	атеист	4
78	благосостояние	4
79	чувствительность	4
80	пристрастие	4
81	употребление	4
82	интерпретация	4
83	значимость	4
84	аналог	4
85	невозможность	4
86	агрессивность	4
87	заблуждение	4
88	лингвистика	4
89	наблюдатель	4
90	толщина	4
91	электрод	4
92	окситоцин	4
93	антропология	4
94	уныние	3
95	деменция	3
96	белка	3
97	дизайнер	3
98	ругательство	3
99	боязнь	3
100	ухудшение	3
101	сердцебиение	3
102	дофамин	3
103	ориентация	3
104	настойчивость	3
105	ноль	3
106	научность	3
107	искушение	3
108	агрессия	3
109	честность	3
110	компетентность	3
111	робот	3
112	лофтус	3
113	маркер	3
114	электроэнцефалограмма	3
115	контейнер	3
116	нейронаука	3
117	гиперактивность	3
118	доступность	3
119	задержка	3
120	социология	3
121	фобия	3
122	код	3
123	ровесник	3
124	сан	3
125	экстраверсия	3
126	математик	3
127	интенсивность	3
128	карьер	3
129	смертность	3
130	европеец	3
131	продвижение	3
132	синхронизация	3
133	монстр	3
134	этнограф	3
135	теоретик	3
136	метаболизм	3
137	невротизм	3
138	конфета	3
139	инсульт	3
140	метаанализ	3
141	монитор	3
142	беженец	3
143	мимика	3
144	ритуал	3
145	шимпанзе	3
146	фокус	3
147	бессонница	3
148	грамматика	3
149	галлюцинация	3
150	контент	3
151	нажатие	3
152	обезьяна	3
153	физиология	3
154	видеоклип	3
155	изгой	3
156	аспирант	3
157	терапия	3
158	ошибочность	3
159	нахождение	3
160	велотренажер	3
161	обозначение	3
162	следование	3
163	птср	3
164	толерантность	3
165	психотерапевт	3
166	генетика	3
167	биолог	2
168	привязанность	2
169	эмиграция	2
170	роды	2
171	поглаживание	2
172	сдвг	2
173	афроамериканец	2
174	лексика	2
175	эйфория	2
176	жаворонок	2
177	листовка	2
178	сухарев	2
179	бек	2
180	погон	2
181	эспандер	2
182	бегун	2
183	ограниченность	2
184	длительность	2
