	Term	Freq
0	социолог	73
1	социология	48
2	экономист	46
3	гипотеза	41
4	прощение	32
5	сми	30
6	ноль	26
7	коммуникация	25
8	альтернатива	25
9	александрович	25
10	ввп	25
11	политолог	24
12	аналогия	24
13	карьер	24
14	либерал	23
15	распад	23
16	консенсус	22
17	мотивация	22
18	стимул	22
19	левада	21
20	максимум	20
21	уточнение	20
22	динамик	20
23	парадокс	19
24	издержка	18
25	реформатор	18
26	капитализм	18
27	бюрократия	17
28	биология	17
29	мгу	17
30	инновация	17
31	траектория	16
32	слайд	16
33	иерархия	16
34	миграция	16
35	террор	16
36	склонность	16
37	тренд	16
38	ориентация	16
39	трансформация	15
40	терминология	15
41	метафора	15
42	кремль	15
43	реж	15
44	спад	15
45	поддержание	15
46	солидарность	15
47	мобильность	15
48	мозги	15
49	мор	15
50	интерпретация	15
51	графика	15
52	осознание	14
53	европеец	14
54	выборка	14
55	демократ	14
56	муниципалитет	14
57	корреляция	14
58	политология	14
59	плюс	14
60	марксизм	13
61	прибалтика	13
62	преодоление	13
63	тоталитаризм	13
64	грант	13
65	мемориал	13
66	либерализм	13
67	легитимность	13
68	глобализация	13
69	номенклатура	13
70	предпосылка	13
71	произвол	12
72	колония	12
73	пик	12
74	выживание	12
75	конгресс	12
76	бюрократ	12
77	тематика	12
78	вертикаль	12
79	экология	12
80	парадигма	12
81	вашингтон	12
82	невозможность	12
83	становление	12
84	идентичность	12
85	особа	12
86	бомж	12
87	застой	12
88	респондент	12
89	математик	12
90	политбюро	12
91	пожилой	12
92	принуждение	12
93	апелляция	11
94	авторитаризм	11
95	стенограмма	11
96	инфляция	11
97	противостояние	11
98	дискурс	11
99	наследие	11
100	смертность	11
101	монополия	11
102	нюанс	11
103	самоорганизация	11
104	репрессия	11
105	аспирантура	11
106	фашизм	11
107	кгб	11
108	индустриализация	11
109	посредник	11
110	социум	11
111	правитель	11
112	связка	11
113	дифференциация	11
114	самодержавие	11
115	медик	11
116	преемственность	11
117	значимость	10
118	заблуждение	10
119	интеграция	10
120	гулаг	10
121	формат	10
122	вебер	10
123	аборт	10
124	лояльность	10
125	престиж	10
126	компетенция	10
127	интеллектуал	10
128	реформирование	10
129	предпочтение	10
130	полемика	10
131	мвд	10
132	микрофон	10
133	адаптация	10
134	агрессия	10
135	продвижение	10
136	гражданство	10
137	рождаемость	10
138	рассылка	10
139	теоретик	10
140	оппонент	10
141	ментальность	10
142	биолог	10
143	инерция	10
144	бурдие	10
145	цитирование	9
146	ориентир	9
147	пресс	9
148	приближение	9
149	доцент	9
150	заработок	9
151	диктатура	9
152	просвещение	9
153	взаимоотношение	9
154	манипуляция	9
155	повестка	9
156	оправдание	9
157	самоубийство	9
158	аспирант	9
159	самореализация	9
160	исток	9
161	предпринимательство	9
162	деградация	9
163	забастовка	9
164	дефолт	9
165	мониторинг	9
166	воспроизводство	9
167	индекс	9
168	полюс	9
169	аркадиевич	9
170	консерватор	9
171	пирамида	9
172	махмут	9
173	иллюстрация	9
174	формулировка	9
175	хаос	9
176	планирование	9
177	мафия	9
178	государственность	9
179	кража	9
180	издержки	9
181	обозначение	9
182	гареев	9
183	рента	9
184	гудок	9
185	запуск	9
186	менталитет	8
187	демограф	8
188	увольнение	8
189	перераспределение	8
190	электорат	8
191	юкос	8
192	безобразие	8
193	прозрачность	8
194	стагнация	8
195	конвенция	8
196	общность	8
197	преступность	8
198	утопия	8
199	котельник	8
200	католик	8
201	национализм	8
202	вхождение	8
203	классификация	8
204	олимпиада	8
205	институция	8
206	националист	8
207	подавление	8
208	соцсеть	8
209	фальсификация	8
210	вектор	8
211	оригинал	8
212	дилемма	8
213	вмешательство	8
214	пьяный	8
215	химик	8
216	донос	8
217	санкция	8
218	ректор	8
219	правозащитник	8
220	суверенитет	8
221	разновидность	8
222	диссидент	8
223	воровство	8
224	несоответствие	8
225	эмиграция	8
226	аннотация	8
227	канализация	8
228	откат	8
229	травма	7
230	интеллигент	7
231	менеджмент	7
232	неравенство	7
233	индустрия	7
234	коалиция	7
235	аналитик	7
236	домохозяйство	7
237	правосудие	7
238	оптимизм	7
239	гу	7
240	членство	7
241	сословие	7
242	марксист	7
243	биржа	7
244	кооперация	7
245	злодей	7
246	байка	7
247	методология	7
248	прописка	7
249	мандат	7
250	рефлексия	7
251	актор	7
252	стипендия	7
253	коллективизация	7
254	берет	7
255	грабеж	7
256	занятость	7
257	магарить	7
258	координата	7
259	заимствование	7
260	сражение	7
261	кластер	7
262	аналог	7
263	гласность	7
264	сдвиг	7
265	риторика	7
266	выходец	7
267	случайность	7
268	противодействие	7
269	нацист	7
270	предатель	7
271	импорт	7
272	социография	7
273	магистратура	7
274	бунт	7
275	фиксация	7
276	расхождение	7
277	задачка	7
278	лидерство	7
279	мобилизация	7
280	тыс	7
281	фокус	7
282	инструментарий	7
283	пессимист	7
284	социализация	7
285	муссолини	7
286	экспансия	7
287	ведомость	7
288	разработчик	7
289	клан	7
290	диагноз	7
291	подчинение	7
292	деление	7
293	колея	7
294	импульс	7
295	патриот	7
296	предшественник	7
297	аристократия	7
298	хайк	7
299	маркер	7
300	периферия	7
301	филолог	7
302	правоприменение	7
303	шаблон	7
304	шкала	7
305	стабилизация	7
306	алкоголизм	7
307	сегмент	7
308	дмитриевич	7
309	антрополог	7
310	словосочетание	6
311	братство	6
312	демократизация	6
313	комбинация	6
314	господство	6
315	правопорядок	6
316	спс	6
317	виталик	6
318	промежуток	6
319	билингва	6
320	презентация	6
321	азербайджанец	6
322	урбанизация	6
323	выезд	6
324	ксенофобия	6
325	кузичев	6
326	рим	6
327	изложение	6
328	девальвация	6
329	пропорция	6
330	толерантность	6
331	старение	6
332	законодатель	6
333	децентрализация	6
334	упоминание	6
335	потрясение	6
336	регламент	6
337	иммиграция	6
338	благополучие	6
339	позитив	6
340	продолжительность	6
341	публицист	6
342	легализация	6
343	прогнозирование	6
344	продуктивность	6
345	редкость	6
346	негр	6
347	алкоголик	6
348	сбережение	6
349	астрономия	6
350	жесткость	6
351	западник	6
352	скелет	6
353	суицид	6
354	вердикт	6
355	сарычев	6
356	найм	6
357	настрой	6
358	взлет	6
359	нахождение	6
360	чадаев	6
361	харьков	6
362	позиционирование	6
363	переселенец	6
364	радиостанция	6
365	норматив	6
366	развал	6
367	цензура	6
368	несправедливость	6
369	пытка	6
370	расслоение	6
371	поговорка	6
372	перенос	6
373	нанесение	6
374	страховка	6
375	сговор	6
376	негатив	6
377	идентификация	6
378	сель	6
379	нацизм	6
380	прецедент	6
381	легитимация	6
382	снг	6
383	сервис	6
384	отклонение	6
385	иммигрант	6
386	выстраивание	6
387	магистр	6
388	ботаник	6
389	паритет	6
390	употребление	6
391	монополист	6
392	наблюдатель	6
393	людмила	6
394	индикатор	6
395	неопределенность	6
396	заголовок	6
397	планка	6
398	милитаризация	6
399	леонидович	6
400	постмодернизм	6
401	ритуал	6
402	благосостояние	6
403	лагер	6
404	управленец	6
405	отдельность	6
406	наивность	6
407	фашист	6
408	взаимопонимание	6
409	вциом	6
410	переселение	6
411	преамбула	6
412	управляемость	6
413	заинтересованность	6
414	парламентарий	6
415	матрица	6
416	автомобилист	6
417	бакалавриат	6
418	реалист	6
419	аксиома	6
420	красноярск	6
421	культуролог	6
422	спецслужба	6
423	узбек	6
424	дань	6
425	егэ	6
426	амбиция	6
427	идеолог	6
428	субкультура	6
429	ловушка	6
430	воскресение	6
431	конкурентоспособность	6
432	владивосток	5
433	кооператив	5
434	криминал	5
435	популяция	5
436	замещение	5
437	маркетолог	5
438	сигма	5
439	миллионер	5
440	расшифровка	5
441	опоздание	5
442	тюремщик	5
443	доступность	5
444	исчезновение	5
445	результативность	5
446	землячество	5
447	прирост	5
448	клеймо	5
449	неуважение	5
450	слияние	5
451	нравственность	5
452	администрирование	5
453	изъятие	5
454	несостоятельность	5
455	спид	5
456	латынь	5
457	низы	5
458	очевидность	5
459	обзор	5
460	унижение	5
461	пакт	5
462	пьянство	5
463	предсказание	5
464	мена	5
465	туризм	5
466	отчетность	5
467	атеист	5
468	модерн	5
469	рельс	5
470	цинизм	5
471	триада	5
472	монография	5
473	выброс	5
474	возмущение	5
475	честность	5
476	гибкость	5
477	этнос	5
478	помеха	5
479	аккаунт	5
480	озабоченность	5
481	реестр	5
482	эмигрант	5
483	толкование	5
484	базис	5
485	калининград	5
486	декан	5
487	эпидемия	5
488	ландшафт	5
489	вторжение	5
490	ранхигс	5
491	имитация	5
492	регулятор	5
493	мехмат	5
494	археолог	5
495	эмансипация	5
496	надбавка	5
497	белорус	5
498	фундамент	5
499	дондурей	5
500	ильин	5
501	жулик	5
502	юриспруденция	5
503	выработка	5
504	дискриминация	5
505	присяга	5
506	фсб	5
507	претендент	5
508	искажение	5
509	проигрыш	5
510	подсчет	5
511	институционалист	5
512	присвоение	5
513	дубинка	5
514	постулат	5
515	даль	5
516	реорганизация	5
517	мож	5
518	сплетня	5
519	консолидация	5
520	як	5
521	порождение	5
522	декларация	5
523	предлог	5
524	модификация	5
525	нанотехнология	5
526	уголовник	5
527	программирование	5
528	революционер	5
529	чехословакия	5
530	налогоплательщик	5
531	переписка	5
532	попадание	5
533	мегаполис	5
534	спекуляция	5
535	профессура	5
536	конъюнктура	5
537	достаток	5
538	теорема	5
539	поселение	5
540	таджик	5
541	мозаика	5
542	изобретатель	5
543	проповедь	5
544	экстраполяция	5
545	развилка	5
546	колонизация	5
547	демография	5
548	индивидуум	5
549	индус	5
550	метрополия	5
551	ивановна	5
552	эстонец	5
553	нтв	5
554	квота	5
555	андропов	5
556	седаков	5
557	реставрация	5
558	сатаров	5
559	погон	5
560	веневец	5
561	пессимизм	5
562	мент	5
563	нонсенс	5
564	х	5
565	мгимо	5
566	адамович	5
567	подобие	5
568	жестокость	5
569	закрытость	5
570	особь	5
571	самоидентификация	5
572	ошибочность	5
573	мифология	5
574	олигархия	5
575	воз	5
576	соратник	5
577	стык	5
578	параллель	5
579	гормон	5
580	фукуй	5
581	величие	5
582	пробирка	5
583	стресс	5
584	пересечение	5
585	фермер	5
586	устранение	5
587	бесконечность	5
588	прерогатива	5
589	монетизация	5
590	неспециалист	5
591	кривой	5
592	мыслитель	5
593	госплан	5
594	написание	5
595	одевать	5
596	бюджетник	4
597	подтекст	4
598	говорити	4
599	постмодерн	4
600	станок	4
601	закавказье	4
602	посредственность	4
603	сан	4
604	противоположность	4
605	законность	4
606	нек	4
607	убыль	4
608	якия	4
609	себестоимость	4
610	осмысленность	4
611	резон	4
612	прожект	4
613	отклик	4
614	туберкулез	4
615	унификация	4
616	причастность	4
617	журналистика	4
618	упрек	4
619	кнут	4
620	государственник	4
621	суверен	4
622	кошмар	4
623	колхозник	4
624	евсей	4
625	расселение	4
626	ремарка	4
627	рациональность	4
628	умолчание	4
629	обоснованность	4
630	добрий	4
631	саркозить	4
632	перечисление	4
633	код	4
634	госслужба	4
635	радикал	4
636	самодержец	4
637	отчуждение	4
638	паровоз	4
639	монарх	4
640	самосознание	4
641	майдан	4
642	социалист	4
643	политтехнолог	4
644	бакалавр	4
645	дворянство	4
646	инсульт	4
647	романтик	4
648	резолюция	4
649	исправление	4
650	клевета	4
651	теология	4
652	центробанк	4
653	отпечаток	4
654	науковедение	4
655	артефакт	4
656	пренебрежение	4
657	лукойл	4
658	законотворчество	4
659	выравнивание	4
660	осуждение	4
661	куб	4
662	оккупация	4
663	башкир	4
664	творец	4
665	дима	4
666	притча	4
667	чапаев	4
668	горизонталь	4
669	незнание	4
670	несогласие	4
671	рффи	4
672	приверженность	4
673	боярин	4
674	конвейер	4
675	пословица	4
676	крестьянство	4
677	дивиденд	4
678	вознаграждение	4
679	листочек	4
680	передел	4
681	аргументация	4
682	генсек	4
683	укрупнение	4
684	концлагерь	4
685	концепт	4
686	панацея	4
687	интервьюер	4
688	антитеза	4
689	табу	4
690	разгром	4
691	культ	4
692	уклад	4
693	патент	4
694	объективность	4
695	заглавие	4
696	сосуществование	4
697	трансляция	4
698	данность	4
699	устремление	4
700	пласт	4
701	фланг	4
702	вонь	4
703	люстрация	4
704	нурей	4
705	джентльмен	4
706	кинофильм	4
707	гимназия	4
708	исчерпание	4
709	специфическа	4
710	модератор	4
711	конфигурация	4
712	феодализм	4
713	кпсс	4
714	подмена	4
715	ракурс	4
716	требовательность	4
717	фюрер	4
718	кондиция	4
719	инвариант	4
720	расстрел	4
721	черкасов	4
722	госкомстат	4
723	креативность	4
724	либерализация	4
725	слом	4
726	сотоварищ	4
727	весь	4
728	перемещение	4
729	типология	4
730	пробел	4
731	астроном	4
732	новшество	4
733	депопуляция	4
734	башкирия	4
735	ирландец	4
736	волонтер	4
737	ванкувер	4
738	активизация	4
739	квинтэссенция	4
740	донбасс	4
741	следование	4
742	истинность	4
743	эпистемология	4
744	беслан	4
745	каденко	4
746	клише	4
