	Term	Freq
0	разработчик	1054
1	робот	691
2	смартфон	435
3	прототип	342
4	соцсеть	269
5	датчик	237
6	аккумулятор	202
7	квадрокоптер	179
8	запуск	178
9	взлет	162
10	патент	151
11	толщина	150
12	ноль	144
13	дальность	136
14	электромобиль	133
15	изобретатель	130
16	электромотор	125
17	сервис	122
18	перемещение	121
19	модуль	121
20	манипулятор	120
21	емкость	120
22	комплект	118
23	подключение	118
24	электрод	114
25	передвижение	113
26	радар	110
27	лазер	110
28	генератор	109
29	электроника	108
30	программист	105
31	принтер	100
32	дисплей	100
33	сборка	100
34	обнаружение	98
35	планшет	97
36	прима	95
37	распознавание	94
38	портал	93
39	иллюстрация	93
40	повреждение	88
41	робототехника	88
42	ноутбук	87
43	аналог	84
44	контроллер	83
45	диапазон	81
46	электрон	81
47	микрофон	80
48	обновление	79
49	днк	79
50	наушник	75
51	фюзеляж	75
52	презентация	74
53	код	74
54	концепт	73
55	злоумышленник	71
56	доработка	71
57	радиус	71
58	отправка	70
59	истребитель	69
60	доброволец	69
61	сан	69
62	чип	69
63	автопилот	69
64	кабель	68
65	пиксел	67
66	полигон	66
67	местоположение	66
68	сми	66
69	рекорд	65
70	попадание	65
71	антенна	65
72	обзор	65
73	помеха	65
74	пластик	65
75	добавление	64
76	излучение	64
77	шасси	64
78	винт	63
79	светодиод	63
80	инновация	63
81	водород	62
82	формат	62
83	навигация	62
84	бактерия	62
85	грант	62
86	прохождение	62
87	клавиатура	62
88	гироскоп	60
89	привод	59
90	тяга	59
91	фильтр	59
92	интерфейс	59
93	продолжительность	58
94	вашингтон	58
95	мор	58
96	насекомое	58
97	акселерометр	58
98	нажатие	57
99	диагностика	57
100	графный	57
101	кристалл	57
102	программирование	56
103	зарядка	55
104	модификация	55
105	удаление	55
106	электродвигатель	54
107	ротор	54
108	планер	53
109	капсула	53
110	сертификация	53
111	сервер	52
112	линза	51
113	прочность	51
114	микроскоп	51
115	биология	51
116	суша	50
117	вычисление	50
118	умолчание	50
119	контейнер	50
120	освещение	49
121	матрица	49
122	травма	48
123	уязвимость	48
124	ускорение	48
125	максимум	48
126	цилиндр	48
127	массив	47
128	заряд	47
129	мониторинг	47
130	панель	47
131	биолог	47
132	транспортировка	46
133	экзоскелет	46
134	перелет	46
135	вибрация	46
136	задержка	46
137	выброс	46
138	трансляция	46
139	мгу	46
140	динамик	46
141	вращение	45
142	видеоролик	45
143	процессор	45
144	алюминий	45
145	медик	45
146	диагональ	44
147	пик	44
148	альтернатива	44
149	пульт	44
150	магнит	44
151	вентилятор	44
152	настройка	44
153	импульс	43
154	деформация	43
155	протез	43
156	охлаждение	43
157	координата	42
158	каркас	42
159	энтузиаст	42
160	комбинация	42
161	поддержание	42
162	погружение	42
163	аналогия	41
164	приближение	41
165	грузоподъемность	41
166	отдельность	41
167	фотон	41
168	вакуум	41
169	дизайнер	40
170	боеприпасы	40
171	углепластик	40
172	протяженность	40
173	аспирант	39
174	чувствительность	39
175	тоннель	39
176	сбой	39
177	нейрон	38
178	траектория	38
179	медь	38
180	препринт	38
181	отклонение	38
182	ион	38
183	предшественник	38
184	электростанция	38
185	титан	38
186	химик	38
187	обозначение	38
188	миллиметр	37
189	интенсивность	37
190	длительность	37
191	реж	37
192	монитор	37
193	приемник	37
194	кат	37
195	лопасть	36
196	конфигурация	36
197	вмешательство	36
198	детектор	36
199	манипуляция	36
200	реактор	36
201	мембрана	36
202	светофор	35
203	инцидент	35
204	наночастица	35
205	кремний	35
206	контент	35
207	катод	35
208	очистка	35
209	автопроизводитель	35
210	орбита	35
211	испытуемый	35
212	конденсатор	35
213	плюс	35
214	передатчик	34
215	идентификация	34
216	наблюдатель	34
217	оригинал	34
218	законцовка	34
219	индустрия	34
220	аэротакси	34
221	влажность	34
222	конечность	33
223	интеграция	33
224	крепление	33
225	консоль	33
226	торможение	33
227	визуализация	33
228	парашют	33
229	метка	33
230	работоспособность	33
231	разновидность	33
232	стабилизация	33
233	веб	32
234	редуктор	32
235	рельс	32
236	опухоль	32
237	нанесение	32
238	анимация	32
239	связка	32
240	графика	32
241	белка	32
242	ячейка	32
243	рендер	32
244	индикатор	32
245	симулятор	32
246	сжатие	32
247	чехол	31
248	транзистор	31
249	активация	31
250	растяжение	31
251	гипотеза	31
252	автономность	31
253	выборка	31
254	приземление	31
255	энергопотребление	30
256	насос	30
257	медикамент	30
258	нанотехнология	30
259	осмотр	30
260	вал	29
261	микросхема	29
262	пульс	29
263	марс	29
264	анод	29
265	математик	29
266	маневр	29
267	нагревание	29
268	сканер	29
269	чернила	29
270	воздухозаборник	29
271	шкала	29
272	аппаратура	29
273	микроорганизм	28
274	закрылок	28
275	микроконтроллер	28
276	мишень	28
277	агрегат	28
278	волокно	28
279	загрязнение	28
280	софт	28
281	написание	28
282	сопло	28
283	терапия	28
284	ультрафиолет	28
285	проектор	28
286	прибытие	28
287	маневренность	27
288	ввод	27
289	мотоцикл	27
290	тематика	27
291	оптимизация	27
292	габарит	27
293	продвижение	27
294	пересадка	27
295	тренд	27
296	клапан	26
297	секция	26
298	переключение	26
299	невозможность	26
300	олимпиада	26
301	авиакомпания	26
302	воспроизведение	26
303	кпд	26
304	калибр	26
305	аксессуар	26
306	механика	26
307	тачскрин	26
308	компрессор	26
309	стенд	26
310	скелет	26
311	борис	26
312	меллоно	26
313	текстура	26
314	катушка	26
315	стая	26
316	фермент	26
317	усилитель	26
318	мкс	26
319	станок	25
320	коррозия	25
321	сервопривод	25
322	макет	25
323	уточняться	25
324	гель	25
325	планирование	25
326	функциональность	25
327	информатика	25
328	коммуникация	25
329	спуск	25
330	функционал	25
331	аспирантура	25
332	камаз	25
333	бот	25
334	подкрепление	25
335	ректор	25
336	водоизмещение	25
337	гарнитур	25
338	бак	25
339	автоматизация	24
340	землетрясение	24
341	актуатор	24
342	управляемость	24
343	ориентация	24
344	предсказание	24
345	пластина	24
346	диабет	24
347	выработка	24
348	полость	24
349	сплав	24
350	тендер	24
351	подсветка	24
352	плазма	24
353	тормоз	24
354	фермер	24
355	тепловизор	23
356	смещение	23
357	перенос	23
358	искажение	23
359	составление	23
360	вождение	23
361	мифь	23
362	вектор	23
363	планка	23
364	генерация	23
365	панорама	23
366	разгон	23
367	перегрев	23
368	отображение	23
369	предотвращение	23
370	гексакоптер	22
371	порошок	22
372	преодоление	22
373	гибкость	22
374	утечка	22
375	адаптация	22
376	наклон	22
377	нейроинтерфейс	22
378	расшифровка	22
379	пружина	22
380	светова	22
381	авианосец	22
382	сообщаться	22
383	джойстик	22
384	клавиша	22
385	физиология	22
386	объектив	22
387	пожилой	22
388	поливать	21
389	вышка	21
390	отдача	21
391	жесткость	21
392	предпочтение	21
393	приспособление	21
394	комплектация	21
395	хранилище	21
396	авиабаза	21
397	себестоимость	21
398	начинка	21
399	бомбардировщик	21
400	флешка	21
401	контур	21
402	выращивание	21
403	навигатор	21
404	звучание	21
405	отходы	21
406	ветряк	21
407	корреляция	21
408	авиасалон	21
409	резервуар	21
410	картридж	21
411	депрессия	21
412	гелий	21
413	стресс	21
414	инсульт	20
415	трение	20
416	вознаграждение	20
417	авто	20
418	астрономия	20
419	имитация	20
420	пицца	20
421	заголовок	20
422	диспетчер	20
423	гугломобиль	20
424	материаловедение	20
425	пробирка	20
426	урбань	20
427	пропеллер	20
428	изложение	20
429	экспериментатор	20
430	биотопливо	20
431	экология	20
432	репозиторий	20
433	классификация	20
434	синхронизация	20
435	разъем	20
436	диагноз	20
437	углерод	20
438	консорциум	20
439	сегмент	20
440	ооо	20
441	проводник	20
442	аналитик	19
443	электрогенератор	19
444	упоминание	19
445	отпечаток	19
446	инженерия	19
447	автоматика	19
448	прозрачность	19
449	твита	19
450	стратосфера	19
451	стимуляция	19
452	извлечение	19
453	провизия	19
454	яркость	19
455	метан	19
456	росатый	19
457	походка	19
458	погрешность	19
459	стабилизатор	19
460	редкость	19
461	куб	19
462	нахождение	19
463	аэросъемка	19
464	цаги	19
465	терминал	19
466	отметка	19
467	хищник	19
468	маркер	19
469	пересечение	19
470	кривой	19
471	транспортник	19
472	поисковик	18
473	серебро	18
474	слежение	18
475	аккаунт	18
476	обезьяна	18
477	синдром	18
478	разрез	18
479	индекс	18
480	употребление	18
481	графеновый	18
482	х	18
483	композит	18
484	компоновка	18
485	кейс	18
486	обломок	18
487	сгибание	18
488	доступность	18
489	древесина	18
490	надстройка	18
491	подвижность	18
492	углеволокно	18
493	девайс	18
494	взаимосвязь	18
495	сражение	18
496	силикон	18
497	имплантат	18
498	местонахождение	18
499	совпадение	18
500	трансмиссия	18
501	печень	18
502	разметка	18
503	интервал	17
504	катализатор	17
505	промежуток	17
506	заблуждение	17
507	коммерциализация	17
508	дефект	17
509	фа	17
510	амплитуда	17
511	толчок	17
512	фокусировка	17
513	поглощение	17
514	глонасс	17
515	прошивка	17
