	Term	Freq
0	электрон	366
1	фотон	235
2	протон	168
3	излучение	163
4	ноль	151
5	детектор	146
6	лазер	131
7	нейтрон	125
8	импульс	120
9	кристалл	109
10	вакуум	102
11	нейтрино	100
12	толщина	100
13	гравитация	91
14	кварк	90
15	гипотеза	89
16	ион	88
17	заряд	86
18	бак	83
19	плазма	80
20	водород	78
21	ускоритель	78
22	распад	77
23	теоретик	73
24	предсказание	72
25	вычисление	71
26	обнаружение	69
27	сверхпроводник	68
28	экспериментатор	66
29	пучок	64
30	соцсеть	63
31	мюон	62
32	аналогия	60
33	охлаждение	60
34	радиус	59
35	реактор	58
36	поляризация	58
37	глюон	58
38	магнит	57
39	галактика	56
40	формулировка	56
41	кубит	56
42	интенсивность	56
43	диапазон	55
44	сверхпроводимость	55
45	графный	55
46	позитрон	54
47	планка	54
48	симметрия	54
49	электроника	54
50	ускорение	53
51	наблюдатель	53
52	бор	53
53	разработчик	53
54	коллайдер	52
55	химик	51
56	гелий	51
57	античастица	50
58	суперпозиция	49
59	бозон	49
60	орбита	49
61	пик	48
62	полупроводник	48
63	аналог	48
64	иллюстрация	47
65	математик	47
66	антиматерия	46
67	квадрат	45
68	амплитуда	45
69	комбинация	44
70	препринт	44
71	запуск	44
72	кремний	43
73	ловушка	43
74	астроном	42
75	траектория	40
76	прототип	40
77	координата	40
78	квант	39
79	облучение	39
80	вращение	39
81	микроскоп	38
82	алмаз	38
83	дефект	38
84	чувствительность	38
85	прима	38
86	парадокс	37
87	отклонение	37
88	транзистор	36
89	приближение	36
90	электрод	36
91	поглощение	35
92	генерация	35
93	телескоп	34
94	диэлектрик	34
95	резонатор	34
96	константа	34
97	теорема	34
98	емкость	34
99	трение	33
100	геометрия	33
101	длительность	33
102	фермион	33
103	азот	33
104	проводник	33
105	светова	32
106	антинейтрино	32
107	нагревание	31
108	поливать	31
109	дубно	31
110	рассеяние	30
111	нанометр	30
112	биология	30
113	слияние	29
114	погрешность	29
115	ячейка	29
116	массив	29
117	прохождение	29
118	углерод	29
119	бесконечность	29
120	лептон	28
121	интерференция	28
122	уран	28
123	максимум	28
124	изотоп	28
125	проводимость	28
126	сжатие	28
127	медь	27
128	смещение	27
129	астрономия	27
130	корреляция	27
131	адрон	27
132	токамак	27
133	генератор	27
134	бит	27
135	чип	26
136	мишень	26
137	возмущение	26
138	тритий	26
139	перемещение	26
140	добавление	26
141	неопределенность	26
142	астрофизик	26
143	гравитон	26
144	космология	26
145	сборка	25
146	диаграмма	25
147	прочность	25
148	дейтерий	25
149	кат	25
150	детектирование	25
151	графика	25
152	модуль	25
153	кривой	25
154	притяжение	24
155	линза	24
156	рентген	24
157	фонон	24
158	кельвин	24
159	деформация	24
160	итэр	24
161	ньютон	24
162	рекорд	23
163	задержка	23
164	платин	23
165	резонанс	23
166	вектор	23
167	днк	23
168	оптик	23
169	мезон	23
170	предшественник	23
171	динамик	23
172	борис	22
173	датчик	22
174	осцилляция	22
175	искажение	22
176	спектроскопия	22
177	радиоволна	22
178	приемник	22
179	голограмма	22
180	флуктуация	22
181	интервал	21
182	гамма	21
183	аспирант	21
184	вязкость	21
185	сечение	21
186	конфигурация	21
187	антикварка	21
188	волокно	21
189	струна	21
190	антипротон	21
191	полость	21
192	магнетизм	21
193	наночастица	21
194	ориентация	21
195	вихорь	21
196	промежуток	20
197	ферромагнетик	20
198	электромагнетизм	20
199	антивещество	20
200	катод	20
201	антикварк	20
202	сдвиг	20
203	особа	20
204	катушка	20
205	процессор	20
206	удаление	20
207	цилиндр	20
208	астрофизика	20
209	энтропия	20
210	термодинамика	20
211	вибрация	20
212	нит	19
213	вашингтон	19
214	сверхтекучесть	19
215	попадание	19
216	изобретатель	19
217	примесь	19
218	алюминий	19
219	антенна	19
220	мембрана	19
221	калий	19
222	барион	19
223	теплопроводность	19
224	настройка	19
225	графит	19
226	обсерватория	19
227	альтернатива	18
228	неоднородность	18
229	свинец	18
230	аномалия	18
231	невозможность	18
232	расхождение	18
233	отдельность	18
234	кпд	18
235	яркость	18
236	нанотрубка	18
237	испускание	18
238	микрон	18
239	мгу	18
240	микроэлектроника	18
241	испарение	18
242	протекание	18
243	интерпретация	18
244	бактерия	18
245	герц	18
246	вертикаль	17
247	микромир	17
248	землетрясение	17
249	подсчет	17
250	кривизна	17
251	реж	17
252	материаловед	17
253	фильтр	17
254	радиация	17
255	мор	17
256	миллисекунда	17
257	арсенид	17
258	совпадение	17
259	конденсатор	17
260	изолятор	17
261	ионизация	17
262	светимость	16
263	обзор	16
264	натрий	16
265	манипуляция	16
266	патент	16
267	литий	16
268	тоннель	16
269	пион	16
270	случайность	16
271	достоверность	16
272	оригинал	16
273	сплав	16
274	анод	16
275	визуализация	16
276	материаловедение	16
277	спираль	16
278	матрица	16
279	отметка	16
280	коллапс	16
281	биолог	16
282	белка	15
283	удержание	15
284	отклик	15
285	горизонталь	15
286	пластина	15
287	напряженность	15
288	боз	15
289	робот	15
290	вольт	15
291	марс	15
292	симуляция	15
293	модификация	15
294	ртуть	15
295	нано	15
296	треугольник	15
297	содержимое	15
298	усилитель	15
299	инерция	15
300	радиоактивность	14
301	переносчик	14
302	цельсий	14
303	иофф	14
304	аннигиляция	14
305	отталкивание	14
306	выброс	14
307	прозрачность	14
308	очистка	14
309	помеха	14
310	растяжение	14
311	нахождение	14
312	никель	14
313	ультрафиолет	14
314	миллиметр	14
315	кодирование	14
316	рябь	14
317	кабель	14
318	минерал	14
319	окружность	14
320	разность	14
321	неустойчивость	14
322	сера	14
323	грант	14
324	светодиод	14
325	окрестность	14
326	дифракция	14
327	рассылка	14
328	тэватрон	14
329	уточнение	14
330	аннотация	14
331	сми	14
332	спектрометр	14
333	фотодетектор	14
334	аппаратура	14
335	излучатель	14
336	инновация	14
337	исчезновение	13
338	когерентность	13
339	механика	13
340	трещина	13
341	индукция	13
342	злоумышленник	13
343	антимюон	13
344	продолжительность	13
345	передатчик	13
346	каон	13
347	нуклон	13
348	топ	13
349	бета	13
350	пикосекунда	13
351	тяга	13
352	нанотехнология	13
353	аккумулятор	13
354	полюс	13
355	гейм	13
356	насекомое	13
357	нитрид	13
358	резервуар	13
359	наложение	13
360	намагниченность	13
361	калибровка	13
362	пластик	13
363	смартфон	12
364	индустрия	12
365	множитель	12
366	расщепление	12
367	титан	12
368	прошедшее	12
369	фотосинтез	12
370	супер	12
371	макромир	12
372	кадзит	12
373	переключение	12
374	номинация	12
375	кластер	12
376	толчок	12
377	постулат	12
378	фотоэлемент	12
379	поддержание	12
380	конденсация	12
381	применимость	12
382	пузырь	12
383	гейзенберг	12
384	разложение	12
385	кипа	12
386	пиксел	12
387	телепортация	12
388	деление	12
389	полуцелое	12
390	ксенон	12
391	антиферромагнетик	12
392	неравенство	11
393	электродинамика	11
394	значимость	11
395	плазмон	11
396	плутоний	11
397	мейснер	11
398	редкость	11
399	калтех	11
400	внутренность	11
401	взаимосвязь	11
402	дуга	11
403	микросхема	11
404	сгусток	11
405	р	11
406	наноуровень	11
