	Term	Freq
0	мутация	152
1	соцсеть	137
2	бактерия	129
3	днк	126
4	нейрон	113
5	испытуемый	102
6	медик	102
7	симптом	93
8	гипотеза	90
9	фермент	84
10	печень	84
11	плацебо	82
12	воз	81
13	генетик	81
14	белка	77
15	рецептор	77
16	диагноз	77
17	инсульт	73
18	опухоль	73
19	вакцина	71
20	депрессия	69
21	терапия	68
22	антибиотик	67
23	биология	67
24	смертность	66
25	диабет	66
26	физиология	65
27	стресс	62
28	обезьяна	61
29	синдром	60
30	повреждение	60
31	заражение	58
32	ожирение	58
33	реж	57
34	биолог	57
35	активация	56
36	лихорадка	56
37	иммунитет	56
38	экспериментатор	53
39	воспаление	53
40	останки	53
41	вич	50
42	популяция	49
43	обзор	49
44	диета	49
45	гормон	49
46	эпидемия	48
47	травма	46
48	выработка	46
49	аналог	46
50	геном	46
51	диагностика	45
52	прима	45
53	кишечник	45
54	пожилой	45
55	доброволец	44
56	шизофрения	42
57	туберкулез	41
58	чувствительность	41
59	сми	41
60	расстройство	41
61	старение	40
62	разработчик	40
63	пробирка	40
64	неандерталец	40
65	выборка	39
66	химиотерапия	39
67	профилактика	39
68	антрополог	39
69	фармацевт	38
70	трансплантация	37
71	пересадка	37
72	комбинация	36
73	употребление	36
74	иллюстрация	36
75	возбудитель	36
76	электрод	36
77	ноль	36
78	вакцинация	35
79	самовнушение	35
80	склонность	35
81	нейромедиатор	34
82	эмбрион	34
83	археолог	34
84	кора	34
85	формулировка	34
86	инъекция	33
87	интеллект	33
88	инфаркт	33
89	мембрана	32
90	инсулин	32
91	микроскоп	31
92	спид	31
93	патология	31
94	млекопитающее	31
95	генетика	31
96	продолжительность	30
97	метаболизм	30
98	малярия	30
99	корреляция	30
100	заболеваемость	30
101	микроб	30
102	кровоток	29
103	поливать	29
104	купон	29
105	мишень	29
106	бета	29
107	глюкоза	29
108	витамин	29
109	почка	29
110	грызунов	29
111	беременность	29
112	действенность	28
113	микроорганизм	28
114	примат	28
115	мотивация	28
116	хромосома	28
117	максимум	28
118	удаление	28
119	предшественник	28
120	выживание	27
121	митохондрия	27
122	обнаружение	27
123	стимуляция	27
124	химик	27
125	дофамин	26
126	сустав	26
127	деление	26
128	аутизм	25
129	шимпанзе	25
130	предрасположенность	25
131	потомство	25
132	эпилепсия	25
133	донор	24
134	борис	24
135	отклонение	24
136	проникновение	24
137	графика	24
138	толщина	24
139	осложнение	23
140	экспрессия	23
141	медикамент	23
142	синапс	23
143	манипуляция	23
144	скелет	23
145	углевод	23
146	ингибитор	23
147	отдельность	23
148	фмрт	23
149	рацион	22
150	патент	22
151	аминокислота	22
152	патоген	22
153	пневмония	22
154	галлюцинация	22
155	лимфоцит	22
156	грант	22
157	паразит	22
158	яйцеклетка	21
159	токсин	21
160	бодрствование	21
161	вашингтон	21
162	холестерин	21
163	предпочтение	21
164	альфа	21
165	антиген	21
166	попадание	21
167	психиатрия	21
168	адаптация	21
169	планка	21
170	связывание	21
171	кат	21
172	импульс	21
173	кашель	21
174	простуда	21
175	интервал	20
176	пик	20
177	скрининг	20
178	бессонница	20
179	древность	20
180	эритроцит	20
181	сперматозоид	20
182	европеец	19
183	аналогия	19
184	упоминание	19
185	осторожность	19
186	самоубийство	19
187	добавление	19
188	паралич	19
189	метастаз	19
190	математик	19
191	оглавление	19
192	смартфон	18
193	сан	18
194	заблуждение	18
195	распознавание	18
196	регуляция	18
197	датчик	18
198	длительность	18
199	взаимосвязь	18
200	гипертония	18
201	слюна	18
202	транскрипция	18
203	онкология	18
204	противопоказание	18
205	х	18
206	передозировка	18
207	интенсивность	18
208	выживаемость	18
209	кровотечение	18
210	неврология	17
211	аспирин	17
212	роды	17
213	дефект	17
214	размножение	17
215	робот	17
216	поддержание	17
217	подавление	17
218	деменция	17
219	гель	17
220	физиолог	17
221	разновидность	17
222	ион	17
223	раса	17
224	раскопка	16
225	анатомия	16
226	задержка	16
227	предсказание	16
228	артерия	16
229	антидепрессант	16
230	импакт	16
231	редкость	16
232	пенициллин	16
233	пульс	16
234	карьер	16
235	имплантат	16
236	мор	16
237	атлас	16
238	язва	16
239	написание	16
240	калория	15
241	промежуток	15
242	конечность	15
243	диапазон	15
244	невролог	15
245	кофеин	15
246	артрит	15
247	выращивание	15
248	искажение	15
249	астма	15
250	оригинал	15
251	фильтр	15
252	насекомое	15
253	гипоталамус	15
254	выздоровление	15
255	ухудшение	15
256	наушник	15
257	матка	15
258	осознание	14
259	прототип	14
260	экстракт	14
261	родство	14
262	рецидив	14
263	гемоглобин	14
264	пищеварение	14
265	пептид	14
266	социолог	14
267	моча	14
268	аномалия	14
269	наследственность	14
270	поликлиника	14
271	мозги	14
272	захоронение	14
273	вмешательство	14
274	адреналин	14
275	миндалина	14
276	лейкоцит	14
277	сбой	14
278	тромбоз	14
279	хищник	14
280	нейробиология	14
281	диарея	14
282	пустышка	14
283	расшифровка	13
284	гепатит	13
285	значимость	13
286	никотин	13
287	австралопитек	13
288	аспирант	13
289	нахождение	13
290	норадреналин	13
291	рвота	13
292	невозможность	13
293	тромб	13
294	имплантация	13
295	модификация	13
296	насморк	13
297	оплодотворение	13
298	прохождение	13
299	челюсть	13
300	мгу	13
301	связка	13
302	тысячелетие	13
303	капилляр	13
304	особь	13
305	интерпретация	13
306	дрожжи	13
307	вычисление	13
308	биотехнология	13
309	протез	13
310	электростимуляция	13
311	шкала	13
312	биохимия	13
313	алкоголизм	13
314	цирроз	13
315	сонливость	13
316	эмпатия	12
317	окаменелость	12
318	кардиограмма	12
319	исчезновение	12
320	индустрия	12
321	медсестра	12
322	биохимик	12
323	лейкоз	12
324	судорога	12
325	фибробласт	12
326	муковисцидоз	12
327	гамк	12
328	минздрав	12
329	вознаграждение	12
330	изоляция	12
331	слизь	12
332	вскрытие	12
333	цитоплазма	12
334	программист	12
335	интерферон	12
336	миграция	12
337	мазь	12
338	изобретатель	12
339	наночастица	12
340	респондент	12
341	электрон	12
342	кровообращение	12
343	клиническ	12
344	мелатонина	12
345	дозировка	12
346	холера	12
347	ориентация	12
348	гипоксия	12
349	кальций	12
350	плюс	12
351	воскресение	12
352	каскад	12
353	кривой	12
354	вакуум	12
355	гуанин	11
356	коммуникация	11
357	альтернатива	11
358	терапевт	11
359	код	11
360	зуд	11
361	теломер	11
362	зародыш	11
363	кардиология	11
364	окситоцин	11
365	стоматолог	11
366	метафора	11
367	выброс	11
368	волшебник	11
369	панацея	11
370	амплитуда	11
371	восприимчивость	11
372	полезность	11
373	вторжение	11
374	добавка	11
375	заряд	11
376	регенерация	11
377	перемещение	11
378	пробел	11
379	спортзал	11
380	психотерапевт	11
381	классификация	11
382	р	11
383	кровоснабжение	11
384	сервис	11
385	медитация	11
386	гомеопатия	11
387	оспа	11
388	грызун	11
389	рефлекс	11
390	апоптоз	11
391	агрессия	11
392	бешенство	11
393	отторжение	11
394	фокус	11
395	содержимое	11
