	Term	Freq
0	марс	37
1	орбита	28
2	робот	22
3	гравитация	20
4	космонавт	19
5	галактика	16
6	ноль	15
7	астронавт	15
8	мкс	13
9	иллюстрация	13
10	гипотеза	13
11	фантастика	12
12	разработчик	11
13	астероид	11
14	днк	11
15	биология	11
16	вакуум	11
17	нас	11
18	бактерия	10
19	электрон	10
20	астроном	10
21	запуск	10
22	колония	9
23	протон	9
24	прототип	9
25	комета	9
26	скафандр	9
27	вычисление	9
28	тяга	9
29	ускорение	9
30	колонизация	9
31	интерстеллар	9
32	фотон	8
33	интерфейс	8
34	лазер	8
35	выращивание	8
36	венера	8
37	киборг	8
38	кат	8
39	полюс	8
40	обнаружение	8
41	инопланетянин	8
42	модуль	8
43	программист	8
44	телескоп	7
45	водород	7
46	биолог	7
47	невесомость	7
48	предсказание	7
49	ловушка	7
50	перемещение	7
51	колонист	7
52	титан	7
53	излучение	7
54	смартфон	6
55	интеллект	6
56	гамма	6
57	сценарист	6
58	энтузиаст	6
59	грунт	6
60	изобретатель	6
61	прима	6
62	сми	6
63	спецэффект	6
64	радиация	6
65	вращение	6
66	обломок	6
67	электроника	6
68	нейрон	5
69	алюминий	5
70	выброс	5
71	сатурн	5
72	траектория	5
73	индустрия	5
74	кипа	5
75	выживание	5
76	нанотехнология	5
77	метан	5
78	аналогия	5
79	борис	5
80	цельсий	5
81	утопия	5
82	квадрат	5
83	сатира	5
84	экватор	5
85	вектор	5
86	диагностика	5
87	кратер	5
88	задержка	5
89	шкала	5
90	азот	5
91	окрестность	5
92	генетик	5
93	содержимое	5
94	автостоп	5
95	микрогравитация	5
96	избыток	5
97	парадокс	5
98	юпитер	5
99	белка	4
100	максимум	4
101	комбинация	4
102	оазис	4
103	альтернатива	4
104	диаграмма	4
105	отправка	4
106	выдумка	4
107	эдинбург	4
108	регуляция	4
109	червоточина	4
110	плутон	4
111	тренд	4
112	астрономия	4
113	суша	4
114	углерод	4
115	экзотика	4
116	фермент	4
117	мутация	4
118	мегаполис	4
119	соцсеть	4
120	патент	4
121	имплантат	4
122	фиоп	4
123	датчик	4
124	электрод	4
125	таяние	4
126	прочность	4
127	тор	4
128	парашют	4
129	мозги	4
130	робототехника	4
131	длительность	4
132	биотехнология	4
133	нейтрон	4
134	вашингтон	4
135	протез	4
136	обзор	4
137	бак	4
138	фэнтези	4
139	визуализация	4
140	зонд	4
141	пульс	4
142	детектор	4
143	голливуд	4
144	добавление	4
145	графика	4
146	бесконечность	4
147	док	4
148	кривой	4
149	гермес	4
150	перенос	4
151	абстракция	4
152	хаос	4
153	аналог	4
154	меркурий	4
155	письменность	4
156	принтер	4
157	динозавр	3
158	классификация	3
159	дизайнер	3
160	мор	3
161	наклон	3
162	град	3
163	постулат	3
164	макфлай	3
165	коммуникация	3
166	экранизация	3
167	телепатия	3
168	переключатель	3
169	вулкан	3
170	узи	3
171	расшифровка	3
172	осознание	3
173	планшет	3
174	испарение	3
175	сервис	3
176	энергопотребление	3
177	цилиндр	3
178	случайность	3
179	притяжение	3
180	реалист	3
181	прокат	3
182	айтишник	3
183	симуляция	3
184	массив	3
185	глагол	3
186	математик	3
187	промежуток	3
188	бомбардировка	3
189	видеоролик	3
190	плазма	3
191	концепт	3
192	встраивание	3
193	европеец	3
194	предлог	3
195	аналитик	3
196	монтаж	3
197	презентация	3
198	криптовалюта	3
199	подключение	3
200	кинопоиск	3
201	помеха	3
202	синоним	3
203	эукариот	3
204	программирование	3
205	кб	3
206	теоретик	3
207	непредсказуемость	3
208	бездна	3
209	ягненок	3
210	жестокость	3
211	катушка	3
212	стругацкий	3
213	транзистор	3
214	антиутопия	3
215	моллюск	3
216	индекс	3
217	употребление	3
218	деление	3
219	прочтение	3
220	эпидемия	3
221	слияние	3
222	микроорганизм	3
223	экология	3
224	терминатор	3
225	реалистичность	3
226	обезьяна	3
227	футуролог	3
228	осадки	3
229	уточнение	3
230	воронка	3
231	аспирант	3
232	наблюдатель	3
233	компетенция	3
234	обозначение	3
235	интеграция	3
236	насос	3
237	растениеводство	3
238	космология	3
239	кремний	3
240	мобильность	3
241	яйцеклетка	3
242	вторжение	3
243	сплав	3
244	манер	3
245	загрязнение	3
246	биосфера	3
247	биохимик	3
248	старение	3
249	насыщение	3
250	клон	3
251	оптимизм	3
252	внутренность	3
253	нит	3
254	олово	3
255	прибытие	3
256	поселение	3
257	шлюз	3
258	конфигурация	3
259	вымысел	3
260	охлаждение	3
261	карусель	3
262	упоминание	3
263	маркер	3
264	метеорит	3
265	тоннель	3
266	пробирка	3
267	сварка	3
268	периферия	3
269	медь	3
270	хабрахабер	3
271	купол	3
272	миллиметр	3
273	интенсивность	3
274	задачка	3
275	шаблон	3
276	стресс	3
277	продвижение	3
278	разгерметизация	3
279	штык	3
280	сражение	3
281	вымирание	3
282	опухоль	3
283	прокариот	3
284	передвижение	3
285	повреждение	3
286	плюс	3
287	воспроизведение	3
288	реголит	3
289	информатика	3
290	абсурд	3
291	формат	3
292	разгон	3
293	афиша	3
294	биоинженер	3
295	микрометеорит	3
296	ньютон	3
297	гибрид	3
298	онкология	3
299	хайнлайн	3
300	рентген	3
301	рая	3
302	аппаратура	3
303	санкция	3
304	артефакт	3
305	стимуляция	3
306	планирование	3
307	проводник	3
308	невозможность	3
309	гром	3
310	яркость	3
311	звездолет	3
312	углеводород	3
313	киноиндустрия	3
314	толщина	3
315	митохондрия	3
316	конкурентоспособность	3
317	парус	3
318	прогнозирование	3
319	луноход	3
320	редкость	3
321	динамик	3
322	подсчет	3
323	кака	3
324	генетика	3
325	оттаивание	2
326	центрифуга	2
327	прикидка	2
328	творец	2
329	осязание	2
330	словосочетание	2
331	определенность	2
332	соя	2
333	апокалипсис	2
334	обрыв	2
335	р	2
336	порошок	2
337	бродская	2
338	мохава	2
339	киношник	2
340	ада	2
341	цемент	2
342	составление	2
343	спорщик	2
344	криптография	2
345	процветание	2
346	скейт	2
347	повелевание	2
348	матрица	2
349	погон	2
350	манипулятор	2
351	доработка	2
352	рецептор	2
353	горизонталь	2
354	индивидуализация	2
355	забава	2
356	вечеринка	2
357	просвещение	2
358	хроматин	2
359	прошедшее	2
360	башкортостан	2
361	борг	2
362	трепет	2
363	бурение	2
364	склонность	2
365	веб	2
366	калькулятор	2
367	инструктор	2
368	размножение	2
369	почет	2
370	кровоток	2
371	пик	2
372	передатчик	2
373	детектив	2
374	удаление	2
375	подлет	2
376	обогрев	2
377	гуманоид	2
378	взаимоотношение	2
379	трансгуманизм	2
380	шаттлы	2
381	карантин	2
382	функциональность	2
383	айфон	2
384	колонизатор	2
385	радиоволна	2
386	скептицизм	2
387	тв	2
388	обливиона	2
389	теплота	2
390	метастаз	2
391	ненадобность	2
392	глюон	2
393	отметка	2
394	вейдер	2
395	аргументация	2
396	кора	2
397	преодоление	2
398	циклон	2
399	портал	2
400	гибкость	2
401	прокол	2
402	исчезновение	2
403	обновление	2
404	полиэтилен	2
405	реж	2
406	суперспособность	2
407	разновидность	2
408	результативность	2
409	дуб	2
410	инжиниринг	2
411	наташа	2
412	комбайн	2
413	микрометр	2
414	корма	2
415	ремесленник	2
416	шах	2
417	экспансия	2
418	ведомость	2
419	наследие	2
420	севастьянов	2
421	допущение	2
422	упущение	2
423	забег	2
424	состоятельность	2
425	древесина	2
426	карьер	2
427	намагниченность	2
428	нострадамус	2
429	изотоп	2
430	уязвимость	2
431	фотосинтез	2
432	подобие	2
433	вить	2
434	клавиатура	2
435	монстр	2
436	противодействие	2
437	фермион	2
438	сжигание	2
439	расизм	2
440	флинн	2
441	нелепость	2
442	ковальск	2
443	космодром	2
444	биоинформатика	2
445	поддержание	2
446	рекорд	2
447	светимость	2
448	удел	2
449	конгресс	2
450	электромагнит	2
451	оранжерея	2
452	сближение	2
453	прогнозист	2
454	набухание	2
455	наводка	2
456	скелет	2
457	хелена	2
458	радиопередача	2
459	телепортация	2
460	кварк	2
461	урбанизация	2
462	магистр	2
463	полупроводник	2
464	фонетика	2
465	джедай	2
466	клапан	2
467	лайк	2
468	заложник	2
469	тысячелетие	2
470	вольфрам	2
471	глас	2
472	слюна	2
473	суперпозиция	2
474	нуклеотид	2
475	шимпанзе	2
476	червь	2
477	супер	2
478	механика	2
479	базис	2
480	толща	2
481	нейроинтерфейс	2
482	поликлиника	2
