	Term	Freq
0	химик	122
1	соцсеть	58
2	водород	53
3	толщина	43
4	углерод	40
5	электрон	36
6	кристалл	35
7	электрод	28
8	нагревание	27
9	формулировка	25
10	графный	24
11	прочность	23
12	ион	22
13	наночастица	22
14	биология	21
15	азот	20
16	минерал	19
17	кремний	19
18	катализатор	18
19	калий	18
20	алмаз	18
21	сплав	17
22	емкость	17
23	бор	17
24	метан	16
25	фермент	16
26	аспирант	16
27	заряд	16
28	хлор	15
29	разработчик	15
30	грант	15
31	диапазон	15
32	бактерия	15
33	электроника	15
34	белка	14
35	предсказание	14
36	аналог	14
37	алюминий	13
38	серебро	13
39	мембрана	13
40	органика	13
41	экспериментатор	13
42	сжатие	13
43	волокно	13
44	вакуум	13
45	цельсий	12
46	оксид	12
47	проводимость	12
48	ноль	12
49	отходы	12
50	охлаждение	12
51	ультрафиолет	12
52	днк	12
53	нанотрубка	12
54	примесь	12
55	гипотеза	12
56	катод	11
57	мгу	11
58	полиэтилен	11
59	растяжение	11
60	полупроводник	11
61	патент	11
62	сера	11
63	никель	11
64	аккумулятор	11
65	платин	11
66	титан	11
67	фтор	10
68	лазер	10
69	очистка	10
70	облучение	10
71	биолог	10
72	анод	10
73	прима	10
74	астроном	10
75	ячейка	10
76	сверхпроводимость	10
77	нанесение	10
78	фосфор	9
79	смартфон	9
80	прототип	9
81	олово	9
82	изобретатель	9
83	дисплей	9
84	магний	9
85	растворитель	9
86	медик	9
87	висмут	9
88	натрий	9
89	физиология	9
90	твердость	9
91	порошок	8
92	фотон	8
93	первооткрыватель	8
94	нанотехнология	8
95	палладий	8
96	датчик	8
97	суперконденсатор	8
98	композит	8
99	свинец	8
100	нанометр	8
101	фильтр	8
102	нит	8
103	аминокислота	8
104	электропроводность	8
105	катализ	8
106	доцент	8
107	зарядка	8
108	медь	8
109	метанол	8
110	графит	8
111	электролит	8
112	реактив	8
113	хрупкость	7
114	прозрачность	7
115	комбинация	7
116	робот	7
117	коррозия	7
118	органик	7
119	микрометр	7
120	микроскоп	7
121	расплав	7
122	модификация	7
123	ртуть	7
124	попадание	7
125	транзистор	7
126	протон	7
127	индекс	7
128	микроорганизм	7
129	осаждение	7
130	йод	7
131	нано	7
132	электростанция	7
133	загрязнение	7
134	деформация	7
135	поглощение	7
136	добавка	7
137	насекомое	7
138	гелий	7
139	мышьяк	7
140	материаловедение	7
141	повреждение	7
142	пластик	7
143	бензол	7
144	окисление	7
145	кпд	7
146	углеводород	7
147	спектроскопия	7
148	излучение	7
149	уран	6
150	огановый	6
151	матрица	6
152	рецептор	6
153	материалахва	6
154	неон	6
155	рутений	6
156	наноматериал	6
157	дефект	6
158	доступность	6
159	анион	6
160	математик	6
161	катенан	6
162	этан	6
163	сжигание	6
164	цирконий	6
165	целлюлоза	6
166	фотокатализатор	6
167	микрочастица	6
168	литий	6
169	имплантат	6
170	нобелиат	6
171	геттинген	6
172	перовскит	6
173	витамин	6
