	Term	Freq
0	экономист	26
1	инфляция	20
2	ввп	20
3	ноль	17
4	социолог	14
5	инновация	14
6	издержка	13
7	гипотеза	13
8	спад	11
9	тренд	11
10	ипотека	11
11	пузырь	11
12	рецессия	10
13	импорт	10
14	перераспределение	10
15	максимум	9
16	глобализация	9
17	стимул	9
18	облигация	9
19	сбережение	9
20	графика	9
21	конкурентоспособность	9
22	банкир	8
23	конгресс	8
24	слайд	8
25	либерал	8
26	планирование	8
27	альтернатива	7
28	кредитование	7
29	мотивация	7
30	спекулянт	7
31	сми	7
32	капитализм	7
33	биржа	7
34	дефляция	7
35	динамик	7
36	заемщик	6
37	пик	6
38	дивиденд	6
39	преодоление	6
40	европеец	6
41	налогоплательщик	6
42	проректор	6
43	цб	6
44	национализация	6
45	парадигма	6
46	девальвация	6
47	александрович	6
48	неопределенность	6
49	депозит	6
50	демография	6
51	заимствование	6
52	стабилизация	6
53	консенсус	6
54	сдвиг	6
55	еэс	5
56	мгу	5
57	стагнация	5
58	коммуникация	5
59	политолог	5
60	бернанка	5
61	менеджмент	5
62	декларация	5
63	аналитик	5
64	презентация	5
65	рассылка	5
66	себестоимость	5
67	аналогия	5
68	оао	5
69	металлургия	5
70	юань	5
71	занятость	5
72	прощение	5
73	гу	5
74	параллель	5
75	политология	5
76	евро	5
77	регулятор	5
78	макроэкономика	5
79	социология	5
80	ликвидность	5
81	регламент	5
82	предпосылка	5
83	рента	5
84	бухгалтерия	5
85	баррель	5
86	отдельность	5
87	доходность	5
88	налогообложение	5
89	санкция	5
90	выравнивание	5
91	сговор	4
92	дефолт	4
93	составление	4
94	мор	4
95	машиностроение	4
96	взаимоотношение	4
97	прецедент	4
98	доступность	4
99	реж	4
100	серебро	4
101	неравенство	4
102	ведомость	4
103	индустрия	4
104	разработчик	4
105	автоваз	4
106	бюрократ	4
107	преступность	4
108	долл	4
109	понижение	4
110	мвф	4
111	бухгалтер	4
112	индекс	4
113	слияние	4
114	монополия	4
115	издержки	4
116	вто	4
117	аспирант	4
118	стимулирование	4
119	арбитраж	4
120	компетенция	4
121	изложение	4
122	интеграция	4
123	финансист	4
124	реалия	4
125	электростанция	4
126	демократ	4
127	поглощение	4
128	оптимизм	4
129	теорема	4
130	адаптация	4
131	бюрократия	4
132	бартер	4
133	аннотация	4
134	изобретатель	4
135	конфигурация	4
136	тематика	4
137	вашингтон	4
138	задержка	4
139	консерватор	4
140	гринспенный	4
141	периферия	4
142	инерция	4
143	отчетность	4
144	либерализация	4
