	Term	Freq
0	лингвист	103
1	глагол	42
2	диалект	38
3	гипотеза	37
4	лингвистика	34
5	лексика	34
6	грамматика	32
7	употребление	29
8	филолог	24
9	существительное	21
10	звучание	21
11	грамматик	20
12	заимствование	20
13	письменность	20
14	синтаксис	19
15	согласный	18
16	произношение	18
17	родство	17
18	ударение	16
19	частотность	16
20	античность	16
21	классификация	14
22	фонетика	14
23	суффикс	14
24	слог	14
25	обозначение	14
26	морфология	13
27	предлог	13
28	упоминание	13
29	латынь	13
30	рассылка	13
31	словосочетание	12
32	оригинал	12
33	обезьяна	12
34	ноль	12
35	аннотация	12
36	морфема	12
37	филология	11
38	падеж	11
39	иллюстрация	11
40	прошедшее	11
41	аналог	11
42	написание	11
43	реж	10
44	аналогия	10
45	прощение	10
46	биология	10
47	местоимение	10
48	фонема	10
49	мор	10
50	синоним	10
51	семантика	10
52	археолог	10
53	отрицание	9
54	европеец	9
55	владимировна	9
56	терминология	9
57	х	9
58	гласный	9
59	прилагательное	9
60	лексикон	9
61	иврит	9
62	алексеевич	9
63	популяция	8
64	орфография	8
65	коммуникация	8
66	расшифровка	8
67	кора	8
68	исчезновение	8
69	иероглиф	8
70	планка	8
71	транскрипция	8
72	мгу	8
73	алфавит	8
74	маша	8
75	говор	8
76	разработчик	8
77	шимпанзе	8
78	интерпретация	8
79	предпочтение	8
80	генетик	8
81	антрополог	8
82	фонология	7
83	макросемья	7
84	кириллица	7
85	случайность	7
86	пиджин	7
87	переписка	7
88	латиница	7
89	энтузиаст	7
90	слайд	7
91	тыс	7
92	пометка	7
93	вариативность	7
94	древность	7
95	перепись	7
96	математик	7
97	бант	7
98	артикль	7
99	прочтение	7
100	династия	7
101	праязык	7
102	параллель	7
103	сми	7
104	распад	7
105	прилагательный	7
106	генетика	7
107	украинск	6
108	нейрон	6
109	комбинация	6
110	даль	6
111	робот	6
112	санскрит	6
113	билингва	6
114	овладение	6
115	стенограмма	6
116	выборка	6
117	значимость	6
118	числительный	6
119	микрофон	6
120	грант	6
121	александрович	6
122	подлежащее	6
123	земледелие	6
124	владение	6
125	хаос	6
126	индоевропеистика	6
127	совпадение	6
128	правописание	6
129	лейпциг	6
130	испытуемый	6
131	информант	6
132	тысячелетие	6
133	дань	6
134	биолог	6
135	склонение	6
136	исток	6
137	социолог	6
138	типология	6
139	маори	6
140	программист	6
141	подсчет	6
142	оджибва	5
143	составление	5
144	особа	5
145	идентификация	5
146	веб	5
147	востоковед	5
148	серебро	5
149	отклонение	5
150	противоположность	5
151	пунктуация	5
152	гадание	5
153	просветитель	5
154	бурлак	5
155	документация	5
156	этимология	5
157	почерк	5
158	миграция	5
159	рим	5
160	саскачеван	5
161	сочетаемость	5
162	мотивация	5
163	языкознание	5
164	адаптация	5
165	извлечение	5
166	корреляция	5
167	ер	5
168	литературоведение	5
169	расхождение	5
170	ы	5
171	око	5
172	социолингвистика	5
173	ять	5
174	манускрипт	5
175	отпечаток	5
176	билингвизм	5
177	метафора	5
178	компаративист	5
179	склонность	5
180	летопись	5
181	обрывок	5
182	гимн	5
183	гамлет	5
184	клавиатура	5
185	хинди	5
186	этнограф	5
187	теоретик	5
188	толкование	5
189	мимика	5
190	мутация	5
191	причастие	5
192	уточнение	5
193	чернила	5
194	манер	5
195	чередование	5
196	рифма	5
197	маркер	5
198	пергамен	5
199	предпосылка	5
200	справочник	5
201	астроном	5
202	невозможность	5
203	полемика	5
204	доброволец	5
205	прообраз	5
206	майя	5
207	грамотность	5
208	упрощение	4
209	коса	4
210	ройтберг	4
211	аспирантура	4
212	олимпиада	4
213	омоним	4
214	выходец	4
215	катя	4
216	поисковик	4
217	лексическа	4
218	смартфон	4
219	гунн	4
220	палимпсест	4
221	сан	4
222	арканзас	4
223	кузнец	4
224	интеллект	4
225	достоверность	4
226	аспирантка	4
227	гоголь	4
228	подавление	4
229	прародина	4
230	произнесение	4
231	прототип	4
232	индоевропеец	4
233	унификация	4
234	кузичев	4
235	изложение	4
236	перс	4
237	азбука	4
238	словообразование	4
239	пропорция	4
240	вектор	4
241	тюрок	4
242	составитель	4
243	распознавание	4
244	петя	4
245	басня	4
246	игорев	4
247	прагматик	4
248	агрессия	4
249	тематика	4
250	прима	4
251	хутор	4
252	венгр	4
253	повреждение	4
254	воспроизведение	4
255	кант	4
256	абориген	4
257	исправление	4
258	фокус	4
259	формулировка	4
260	методология	4
261	вариация	4
262	отдельность	4
263	психолингвист	4
264	пафос	4
265	редкость	4
266	твердость	4
267	монография	4
268	примат	4
269	максимум	4
270	рефлексия	4
271	взаимоотношение	4
272	транслитерация	4
273	разновидность	4
274	епископ	4
275	книжечка	4
276	манитоба	4
277	амслен	4
278	словоформа	4
279	спряжение	4
280	трактат	4
281	мягкость	4
282	творог	4
283	заглавие	4
284	навахо	4
285	лик	4
286	аспирант	4
287	свиток	4
288	двойка	4
289	суахили	4
290	оклахома	4
291	импульс	4
292	ранхигс	4
293	предшественник	4
294	усадьба	4
295	писец	4
296	взаимосвязь	4
297	периферия	4
298	пересечение	4
299	ловушка	4
300	эсперанто	4
301	пергамент	4
302	нововведение	4
303	воскресение	4
304	квас	4
305	уроженец	4
306	отчество	4
307	поговорка	4
308	иранец	4
309	кластер	4
310	ванкувер	4
311	ножницы	4
312	отсылка	4
313	чех	4
314	усвоение	4
315	тюркизм	4
316	антропология	4
317	интервал	3
318	префикс	3
319	терем	3
320	травма	3
321	охват	3
322	роса	3
323	избыточность	3
324	эгида	3
325	принцесса	3
326	ивка	3
327	размножение	3
328	калька	3
329	топоним	3
330	портал	3
331	раскопка	3
332	микроскоп	3
333	видеоролик	3
334	карьер	3
335	презентация	3
336	модификация	3
337	расизм	3
338	кострома	3
339	фактура	3
340	азербайджанец	3
341	поддержание	3
342	юпик	3
343	программирование	3
344	тюдоров	3
345	веточка	3
346	ниу	3
347	наполнение	3
348	урбанизация	3
349	ботаник	3
350	кол	3
351	иомдин	3
352	компаративистика	3
353	писание	3
354	отклик	3
355	квадрат	3
356	наблюдатель	3
357	таракан	3
358	сливка	3
359	экономист	3
360	гоминид	3
361	диапазон	3
